isolation_source,count
hospital shower hose biofilm,74
Nose,72
rectal,72
sinus,70
estuarine open water surface layer,70
ocular surface of healthy person,70
10 mM sulfoquinovose-amended vegetarian human fecal microcosm,70
Bay water,70
swab,69
glacier,69
gut,68
ectocervical mucosa,68
clinical specimen,67
gills,66
anaerobic bioreactor effluent; solid retention time of 6 days,66
feces day 21 after weanning,66
Chesapeake Bay,65
Dairy farm,64
Farm workers,64
bay water,64
bile,63
hot springs sediment,63
swine,63
fish,63
cleanroom floor,63
anal swab,61
porcine fecal sample,61
activated sludge from Aved_18-Q3-R54-62,60
groundwater filtered through a a 3.0 um filter and then through a 0.2 um filter,60
nasal,59
coral surface mucus layer and tissue,58
"anaerobic bioreactor effluent; Solids-removed thin stillage fed, 6 d SRT, 35C, pH 5.5",57
anoxic ACE-degrading consortia enriched using acesulfame as the sole carbon source with nitrate as the electron acceptor in anaerobic condition; seeded with activated sludge sampled from Sha Tin WWTPs,57
nasopharyngeal,57
Skin Swab,57
Madrid,57
Cerebro-Spinal Fluid,57
"pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)",56
marine sponge,56
respiratory,55
alpine spring water,55
kidney,54
shrimp,53
Subiliac Lymph Node,53
dental plaque,53
activated sludge from Lyne_18-Q3-R50-59,52
fracture fluid,52
BAL,52
activated sludge from AalW_18-Q3-R10-53,51
Poultry Farm,51
bloodstream,51
Laboratory strain,51
Supermarket,51
activated sludge from EsbW_18-Q3-R4-48,50
"Brackish water, Black Sea St. 301",49
throat,49
anaerobic digester,49
Chicken processing plant,49
hospital NICU surfaces and sink samples,49
Rifle well CD01 at time point 6 / F; 5m depth; 0.2 filter,49
Greek mizithra cheese,48
Rock nearby Barbacenia macrantha specimens,48
spleen,48
river water,48
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point D,47
Rifle well CD01 at time point 1 / A; 5m depth; 0.2 filter,47
pig,46
activated sludge from Fred_18-Q3-R57-64,46
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point A,46
groundwater filtered through a 3.0 um filter,46
wastewater,45
lesion swab,45
Clinic,44
salt crust,44
milk sample,44
root nodule of Trifolium repens growing with Lolium perenne in a breeding trial plot,44
leachate from a leachate well at an active municipal landfill in Southern Ontario,43
root nodule of Trifolium repens growing with Lolium perenne in an organic farm field,43
environment,42
anammox reactor,42
Rectal Swab,42
freshwater sediment,42
Ammonium sulfate bioreactor,42
Suspended Particulate Matter (SPM) from the Black Sea western gyre,42
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point C,42
groundwater filtered on filters,42
Rectum,41
oropharyngeal swab,41
Kilo Moana Hydrothermal plume 60m,41
environmental watersal,41
skin swab,40
Retail table eggs,40
skin lesion from farm animal,40
Stromatolite,40
eye,40
activated sludge from Skiv_18-Q3-R9-52,40
activated sludge from EsbE_18-Q3-R3-47,40
bulk soil from sugarcane field,40
Portion of Sputum,40
periprosthetic tissue,39
bottom of first year landfast sea ice,39
Thiocyanate ramp bioreactor,39
Rifle well CD01 at time point 3 / C; 5m depth; 0.2 filter,39
gill,38
Infection,38
"Commercial building tap, chloraminated drinking water",38
activated sludge from AalE_18-Q3-R2-46,38
Rhizosphere of Barbacenia macrantha specimens,38
pig feces,38
Subgingival dental plaque,38
enrichment culture of hot tap water,38
pond water,38
laboratory-scale deammonification bioreactor inoculated with effluent from wastewater treatment plant,37
activated sludge from Bjer_18-Q3-R1-45,37
Cooling tower,37
rare earth elements-acid mine drainage (REEs-AMD) contaminated river water,37
feces from endurance ride Fontainebleau,37
partial-nitration anammox reactor sludge sample,36
Respiratory specimen,36
Bronchoalveolar lavage fluid,36
freshwater cyanobacterial bloom,36
hot spring,36
pharyngeal mucosa,36
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point B,36
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point B,36
trachea,36
Epidemic materials,35
brain,35
"anaerobic bioreactor effluent: Solids-removed thin stillage fed, 6 d SRT, 35C, pH 5.5",35
gastrointestinal tract,35
urethral swab,35
Oyster Pond,35
granules from a lab-scale partial nitritation/anammox bioreactor,35
activated sludge from Rand_18-Q3-R56-63,34
activated sludge from Hade_18-Q3-R52-61,34
cornea,34
Chicken meat,34
CSF,34
P3 gut compartment,34
rhizosphere soil from sugare cane field,34
Surface seawater,33
animal,33
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point C,33
adult feces,32
Incubator,32
nasopharyngeal swab,32
Human fecal samples,32
hydrothermal vent,32
nares,32
ceacal content,32
Raw chicken meat,32
Hadal surficial sediment,32
Vaginal,32
Silage,31
activated sludge from Hirt_18-Q3-R61-65,31
beef,31
activated sludge from Ega_18-Q3-R5-49,31
Urethral,31
coral reef seawater,31
Tahi Moana Above plume background,31
Microcosm inoculated with Labrador Shelf sediment and amended with petroleum hydrocarbons,31
plaque,31
cloacal swab,30
laboratory-scale bioreactor denitrification and anammox communities,30
NA,30
human oral cavity,30
respiratory tract,30
ocean water from marine abyssalpelagic zone,30
nasophraynx,30
Venous Blood,29
chicken meat,29
granular activated carbon biofilter from drinking water treatment plant (DWTP),29
catheter,29
tonsil,29
activated sludge from OdNE_18-Q3-R46-58,29
hepatopancreas,29
Ixodes pacificus,29
Slaughterhouse-environment,29
sputum from CF patient,29
Environmental bootie,29
Nasopharyngeal swabs,29
deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm,29
activated sludge from Ejby_18-Q3-R6-50,28
biopsy,28
"sludge from two different bioreactors, each one run at a different temprature (R1 at 35 C, R2 at 25 C), artificial municipal wastewater",28
activated sludge from Mari_18-Q3-R65-66,28
Tuberculosis Patient,28
ocean water,28
deep-sea hydrothermal vent sediments from dive 4569_2 depth 12-15 cm,28
mesenteric lymph node,28
Enviromental,27
anammox granular sludge freshwater column reactor,27
beach sand,27
activated sludge from OdNW_18-Q3-R42-56,27
Ice-cream,27
bioreactors innoculated with microbial mats from alkaline soda lake,27
"anaerobic bioreactor effluent; Solids-removed thin stillage fed, 6 d SRT, 55C, pH 5.0",27
marine benthic turfs,27
wound swab sample,27
marine environment,27
partial denitrification and anammox bioreactor,26
Lower respiratory tract,26
equine fecal microbiome,26
rectal swab neonate,26
bronchoalveolar lavage fluid,26
leachate from a composite leachate cistern at an active municipal landfill in Southern Ontario,26
activated sludge from Damh_18-Q3-R51-60,26
"groundwater from cold water geyser, filtered on 0.1um pore size filters",26
activated sludge from Ribe_18-Q3-R11-54,26
deep-sea hydrothermal vent,26
cecum,26
Shengli oilfield at Shandong province,26
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point A,26
bronchoaspiration material,26
Catheter,25
freshwater lake Microcystis colony,25
Hot spring water,25
P1 gut compartment,25
biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate,25
infection,25
seawater from Yellow Sea,25
wound/abscess,25
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point D,25
"anaerobic bioreactor effluent; Solids-removed thin stillage fed, 1 d SRT, 35C, pH 5.5",24
Bumble bee gut,24
clinically healthy pig,24
endotracheal aspirate,24
Respiratory Sample,24
cheese,24
hydrothermal vent sediment,24
Perineum swab,24
wet market,24
well water,24
Ocean,24
(MES) mesopelagic zone,24
Water column,23
seawater from mariculture cage of adult gilthead seabream (Sparus aurata),23
"anaerobic bioreactor effluent; Thin stillage fed, 6 d SRT, 35C, pH 5.5",23
Rhizosphere of Vellozia epidendroides specimens,23
trach asp,23
Textile industry effluent,23
Nasopharygneal lavage,23
salmon,23
pig farm,23
urethal swab,23
cystic fibrosis patient,23
activated sludge from EBPR Bioreactor,23
Rectal,22
root,22
anaerobic digester - waste activated sludge,22
single cell amplified by WGA-X;hydrothermal vent fluid,22
Lomas Bayas Desert Soil Beside Boulder,22
abscess,22
lungs,22
Tracheal Secretion,22
leaf,22
Plant,22
N/A,22
Cyanide and thiocyanate bioreactor,22
"Water column of Rimov Reservoir, Czechia",22
Probiotic,22
Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,22
biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate until 250 mg/L maintanence,22
aquarium water,22
Neck/Axilla,22
feces; 1 single-cell amplified by MDA combined with human gut metagenome reads,21
vaginal,21
hospital patient,21
mangrove sediment,21
Shallow soil patches nearby Vellozia epidendroides specimens,21
anaerobic digester - thermal hydrolysis pre-treatment sludge,21
airway culture,21
Mid-Cayman Rise Vent Fluids,21
intestine content,21
lab-scale wastewater treatment bioreactor,21
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point A,21
plant,21
hypersaline soda lake brine,21
Not Applicable,21
pharyngeal swab,21
Mariner hydrothermal plume 25m,21
slaughterhouse,20
"granules from the full-scale anammox reactor of Dokhaven-Sluisjesdijk wastewater treatment plant, further enriched at TU Delft in a chemostat over two months prior to sampling",20
activated sludge from Vibo_18-Q3-R45-57,20
nose,20
brown biofilm from alkaline hot spring,20
feces; 3 single-cells amplified by MDA combined with human gut metagenome reads,20
intestine,20
green biofilm from alkaline hot spring,20
bronchoalveolar lavage (BAL),20
deep sea sediment,20
Wastewater (Primary Effluent),20
basaltic crustal fluids,20
Tissues,20
Dairy,20
Coastal seawater,20
Airway secretion,20
alkaline hot spring microbial mat,19
diarrhea sample from child under the age of five,19
freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,19
anammox sludge,19
human feces,19
nose swab,19
bay water summer N sample 29 PSU in less than .8 micron size fraction,19
Wastewater (Final Effluent),19
methanogen symbiont from mussel gill epithellium,19
autopsy,19
bodily cavity,19
sea water,19
periorbital,19
Dilute Hydrothermal Plume,19
biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate until 250 mg/L maintanence and no molasses,19
fresh water,18
Deep Tissue,18
activated sludge from Viby_18-Q3-R106-67,18
coal samples cultured in anaerobic conditions in minimal salts plus yeast media,18
bone,18
not available,18
sewage,18
patients,18
rhizosphere,18
Laboratory reference strain,18
thiotroph symbiont from mussel gill epithellium,18
River,18
"antrum, stomach",18
deeply circulating subsurface aquifer fluids,18
saline water including plankton,18
deep-sea hydrothermal vent sediments from dive 4569_9 depth 9-12 cm,18
suspension,18
air medium,17
pork from market,17
water from electronic waste dumpsite,17
Pelagic sediment,17
produced fluids from hydraulically fractured shales,17
Skin lesion swab,17
rectum,17
hospital sewage,17
Artificial municipal wastewater,17
Bronchial aspirate,17
supermarket,17
rhizosphere soil,17
surface mucus layer,17
lymph node,17
ZC4 (Zoo Composter number 4) at the Sao Paulo Zoo,17
deepsea hydrothermal sulfide chimney,17
excreted bodily substance,17
University Hospital of Abidjan-Cocody,17
Diarrheal patient,17
urethra,17
Rifle well CD01 at time point 5 / E; 5m depth; 0.2 filter,17
Abe hydrothermal plume 200m,17
2.8-km deep subsurface aquifer,17
various material,17
Oropharinx,17
Thiocyanate stock bioreactor,17
broncho-alveolar lavage,17
geothermal water,17
Tissue,16
"anaerobic bioreactor effluent: Thin stillage fed, 6 d SRT, 35C, pH 5.5",16
Sediment sample,16
synovial fluid,16
fresh river water,16
Dahi fermented milk product,16
Gastric biopsy,16
library,16
roots,16
Tracheal secretion,16
agricultural soil,16
drainage fluid,16
Diphtheritic lesion,16
household water source,16
"Water column of Lake Zurich, Switzerland",16
blood sample,16
intestinal content,16
Tui Malila hydrothermal plume 10m,16
3.0 m mixolimnion layer of meromictic lake,16
sample BD02T64 sea water enriched with oil for 64 days,16
Rifle well CD01 at time point 4 / D; 5m depth; 0.2 filter,16
Human patient,16
Bay warer,16
Wound swab,16
first pond of the CYC serial dairy industry stabilization pond system,16
groundwater well,16
meat environment,16
Endotracheal aspirate,15
leaves,15
Wound secretion,15
stool from neonate,15
Urethral discharge,15
skin of face; 6 single-cells amplified by MDA combined with human skin metagenome reads,15
whole bodies,15
waste water treatment plant,15
surface coastal seawater,15
root nodules,15
secretion,15
patient fluids,15
Shore seawater,15
WOUND/ABSCESS,15
Food and food processing environment,15
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point C,15
deep sea sediments associated with petroleum seepage,15
Abattoir,15
deep-sea hydrothermal vent sediments from dive 4569_2 depth 21-24 cm,15
microbes were collected at JL-Dive100-S03,15
HOE Legacy IIB net trap,15
retail chicken,15
colon biopsy,15
diffuse vent DFF1,15
(DCM) deep chlorophyll maximum layer,15
Seaweed,15
water samples from two horizons (5 m and 20 m) were filtered through the net (size 27-um) and then filtered through nitrocellulose filters with a pore size of 0.22 um,15
Retail ground beef,15
Retail pork,14
carcass,14
biomass on anode of bioreactor after 21 days,14
peritoneal fluid,14
hotspring water,14
uterus,14
pleural fluid,14
chicken carcass,14
cooked food,14
Hydrothermal Plume,14
rock sample from hydrothermal vent,14
skin-AD site,14
Thiocyanate bioreactor,14
anaerobic digester sludge,14
poultry,14
bay water spring sample 30 PSU in less than .8 micron size fraction,14
Coastal Water,14
food processing environment,14
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point D,14
P4 gut compartment,14
other,14
Hemoculture,14
Bone/Joint,14
sink drain,14
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point B,14
partial-nitritation anammox (PNA) reactor; full scale (600m3) reactor for the removal of ammonium from wastewater from the potato processing industry,14
kidney preservation fluid,14
alkaline salt lake,14
drinking water system-before chlorination,14
sludge from phenol fed wastewater aerobic bioreactor,14
lake water from Sao Paulo's Zoo,14
environmental swab,14
skin wound,13
farm,13
surface seawater inoculated into a synthetic phycosphere,13
throat swab neonate,13
Secretion,13
Milk filter,13
Fecal swab,13
single cell amplified by MDA; surface seawater,13
sediments from shelf,13
Vagina,13
nasal mucosa,13
Anal swab,13
biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/L thiocyanate,13
Not Provided,13
estuary bay water,13
sediment trap from marine abyssalpelagic zone,13
Leaf Litter,13
marine hydrothermal sulfide sediment TVG12,13
anaerobic digester filtrate obtained from the belt filter press of the CVWRF wastewater treatment plant,13
ear,13
Surgical wound,13
Perirectal,13
iron-rich hot spring,13
Tibet kefir,13
Penile,13
deep-sea hydrothermal vent sediments from dive 4484,13
cervix,12
patient's blood plasma,12
feed,12
Catheter tip,12
anaerobic bioreactor effluent: solid retention time of 6 days,12
duck,12
periprosthetic tissue specimen,12
Sewer,12
foregut,12
chemostat inoculated with river sediment,12
High-Arctic meromictic Lake A,12
coastal marine sediment,12
artificial municipal wastewater in bioreactor,12
Lomas Bayas Desert Soil Below Boulder,12
ascites,12
Dental plaque,12
abdominal fluid,12
pharyngeal exudates,12
Rifle well CD01 at time point 2 / B; 5m depth; 0.2 filter,12
coastal sea water column HE361-13 at a depth of 350m,12
5.5 m monimolimnion layer of meromictic lake,12
cough swab,12
Rifle background sediment; well D04 at 16ft depth,12
placenta,12
sludge from a mesophilic anaerobic wastewater digester enriched on phosphite and carbon dioxide,12
(MIX) marine epipelagic mixed layer,12
rabbit carcass,12
LokiAmp MDA-amplified sample from Loki's castle hydrothermal vent sediment,12
ocean,12
marine hydrothermal vent chimney sediment,12
Phytoplankton seston > 100 micron diameter,12
Lymph nodes,12
groundwater filtered on 0.22 m filters,12
zooplankton,12
coastal seawater,12
Raw-frozen dog food,11
Advanced Water Purification Facility,11
river,11
water from a groundwater well adjacent to an active municipal landfill in Southern Ontario,11
Throat Culture,11
anammox reactor sludge,11
Final Effluent,11
Tap water/shower,11
pentadecane enrichment inoculated with seawater,11
Hospital Surface,11
Peritoneal fluid,11
feaces,11
ACCM-D media,11
oral cavity,11
Environment,11
CANDO+P Bioreactor,11
Guttural pouch lavage,11
deep-sea hydrothermal vent sediments from dive 4569_2 depth 0-3 cm,11
drinking water system-WM,11
rumen content from lactating cow,11
"Soil sample from Angelo meadow plot 1, 40cm depth, 6 days after first rain event (27mm)",11
"Switzerland: Lake Zurich, 5 m depth",11
aborted fetus,11
Cooked ham,11
rabbit meat cut,11
Gull Lake,11
Hydrothermal vent sediment,11
Full-scale methanogenic bioreactor treating purified terephthalic acid process wastewater,11
spring water,11
oil-contaminated soil,11
lungs of cystic fibrosis patient A,11
pulmonary,11
homogenate,11
Oropharynx,11
"Soil sample from Angelo meadow plot 1, 20cm depth, 4 days after first rain event (27mm)",11
laboratory,11
University of Michigan Health System,11
bay water summer D sample 29 PSU in greater than .8 micron size fraction,11
deep-sea hydrothermal vent sediments from dive 4569_9 depth 0-3 cm,11
Physical,11
5.0 m chemocline layer of meromictic lake,11
vagina,11
household tap filter,11
Tracheobronchial aspirate,11
"Dept of Medical Microbiology, University Medical Center Groningen",10
anaerobic reactor producing medium/long chain fatty acids through the fermentation of food waste,10
drinking water,10
Clinical Lab,10
Procapra picticaudata,10
vaginal secretion,10
Genital tract,10
"""Woody debris (""""hog fuel"""")""",10
stream/river surface water,10
sludge collected from the acid-phase digester of a two-phase anaerobic digestion process at the Madison Metropolitan Sewerage Disctrict Nine Springs Facility,10
freshwater anammox upflow column Reactor,10
Manis javanica,10
MES reactor inoculated with Red Sea brine pool sample,10
Microcystis colony from freshwater,10
"enrichment culture AER3 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2, v/v) as carbon and energy sources",10
farm worker,10
manure,10
Nasal swabs,10
Stools,10
catheter tip,10
envrionmental,10
Pleural fluid,10
Hospital_ICU,10
activated sludge from Kalu_18-Q3-R12-55,10
human blood,10
Sewage,10
Balb/C mouse gall bladder,10
"oropharynx, sputum, or bronchoalveolar lavage",10
"hospital, patient",10
sediment from terrestrial hot spring,10
Ixodes angustus,10
mid-stream urine,10
planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/L thiocyanate,10
zoo composting manure,10
Loki non-amplified sample from Loki's castle hydrothermal vent sediment,10
active black smoker DFF12,10
Perchlorate-reducing enrichment,10
cerebrospinal fluid (CSF),10
"spleen, lymph nodes",10
gastric antrum biopsy,10
sediment sample from Evening Primrose shelf,10
part of plant,10
Conversion residue fermenting bioreactor,10
Gastric biopsy tissue,10
"Soil sample from Angelo meadow plot 1, 40cm depth, 2 days after first rain event (91mm)",10
subseafloor olivine biofilm,10
Rifle well FP-101 under low O2 conditions; 1.2 micron filter; 10% subassembly,10
endo-cervical swab,10
milking environment,10
skin and soft tissue,9
purulent sample,9
prosthetic joint infections,9
"enrichment culture AER2 inoculated with biofilm which develop in hydrocarbon contaminated groundwater; aerobic enrichment culture amended with 20 ppm diesel fuel/ crude oil mixture (3:2, v/v) as carbon and energy sources",9
PCB contaminated wastewater treatment lagoon sediment microcosms,9
Tracheal,9
vaginal swab,9
Black Creek Park,9
Ground beef,9
Wound Secretion,9
"Upper gallery; floor level, 50-70 cm from the wall",9
nasal carriage,9
"ganjang, Korean traditional soy sauce",9
wall,9
DTA,9
a feces sample of swine origin,9
baby blood culture,9
ascitic fluid,9
forest soil,9
joint,9
orchard,9
nodule,9
petroleum-contaminated soil collected near the petroleum pumping and storage warehouse at the Henryk Arctowski Polish Antarctic Station,9
Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater,9
Subacute bacterial endocarditis,9
drinking water system-DS1,9
endotracheal tube (ETT) or tracheostomy tube,9
marine hydrothermal sulfide sediment TVG11,9
Mesenteric Lymph Node,9
vegetables,9
"Soil sample from Angelo meadow plot 1, 40cm depth, 4 days after first rain event (27mm)",9
Throat and nasal swab,9
Associated Infection,9
feces from Phil the wombat,9
Mashed potatoes,9
bay water spring sample 20 PSU in greater than .8 micron size fraction,9
Expectoration,9
Beef carcass post-hide removal,9
marine water sample,9
bay water summer N sample 29 PSU in greater than .8 micron size fraction,9
drinking water system-finished water,9
deep-sea hydrothermal vent sediments from dive 4571_4 depth 12-15 cm,9
cyanobacterial mat on coral surface,9
Aerobic activated sludge,9
oxic surface sediment,9
Rifle groundwater metagenome at time 1 / A; 0.2 micron filter,9
first pond of the AUR serial dairy industry stabilization pond system,9
fluid,9
feces; 2 single-cells amplified by MDA combined with human gut metagenome reads,9
chicken litter,8
enrichment culture sampled from a low-nitrate anoxic artesian well,8
skin of face; 1 single-cell amplified by MDA combined with human skin metagenome reads,8
Infected pancreatic necrosis,8
adult honey bee queen gut,8
desert regolith,8
Brine and surface sediment,8
Ear swab,8
Mid-vagina,8
mangrove soil,8
Isabela River,8
biofilm clogging water pumps in ice machines,8
Bronchalveolar Lavage,8
Surveillance,8
healthy skin,8
hot spring water,8
Sausage,8
"Lower gallery with a lake; inside a wall diverticulum, 1 m above the cave floor",8
ant gut,8
Mycetoma Lesion,8
hyporheic zone,8
Freshwater Creek,8
caecum of adult hen,8
Anal,8
activated sludge from Hjor_18-Q3-R7-51,8
Blood culture medium,8
clinical isolate,8
mine service water,8
Alveolar lavage fluid,8
Pus aspirate,8
single-cell amplified by WGA-X from cold saline spring sediment,8
hypersaline river water,8
marine surface water,8
Blood sample from neonates,8
Middle ear,8
coral polyp,8
planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate,8
Mediterranean seawater enriched with a specific particulate matter,8
Kidney of diseased fish,8
deep-sea sediment,8
subgingival plaque,8
subgingival dental plaque,8
bay water spring sample 20 PSU in less than .8 micron size fraction,8
Sputum sample,8
Lake Cadagno chemocline,8
Wound Thigh Secretion,8
ETT,8
"chlorinated drinking water, site 1",8
pink berry consortia,8
Clonal culture of Asterionella formosa BG1 isolated from Esthwaite Water,8
hydrothermal plume,8
cold noodles in sauce samples,8
Bioreactor mimicking brackish/coastal conditions,8
biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: no molasses with increasing thiocyanate,8
anal swabs,8
10 Gulf of Mexico water column samples before the DWH oil spill,8
sediments from hot spring shelf,8
drinking water system-DS2,8
lungs of cystic fibrosis patient C,8
"Soil sample from Angelo meadow plot 1, 40cm depth, pre rain",8
coastal sea water column HE361-14 at a depth of 3m,8
urine culture,8
Single cell amplified by MDA; raw seawater,8
pond water enriched with phosphorus and nitrogen,8
trophosome,8
single cell amplified by MDA; marine water,8
single cell amplified by MDA; seawater,8
biochar-amended oxisol soil plot 3,8
"Soil sample from Angelo meadow plot 2, 20cm depth, 6 days after first rain event (27mm)",8
Copepod,8
Ground beef from beef processing plant,8
Vidalia onion field,8
hydrothorax,8
"Blood,Aneurysm tissue",8
seafood,8
Coalvale silty clay,8
bay water summer D sample 29 PSU in less than .8 micron size fraction,8
seawater at sediment depth,8
skin swab1532 from squamous cell carcinomas patient MST015,8
Perineum,8
pig slaughterhouse,8
host's whole body,8
summer tide-pools,8
alkaline siliceous hot spring microbial mat,8
oropharynx,8
Boiler,7
lymph nodes,7
Broncho-alveolar lavage,7
"freshwater lake, 2 m depth",7
skin biopsy,7
acid mine drainage,7
drainage,7
adult hen caecal content,7
Restaurant,7
Maria Elena Desert Soil Below Boulder,7
bare soil,7
Farm water,7
Bronchial washing (contralateral lung; no tumour),7
freshwater stream,7
Bronchoscope,7
turkey,7
cecum matter of weanling rat after 6 hour fasting; S29,7
air vent water in a clinic,7
Toilette,7
hadal trench sea water,7
enrichment of activated sludge from Daejeon WWTP,7
Peadiatric - nurses table,7
skin swab1639 from squamous cell carcinomas patient MST029,7
liquor,7
perianal skin [UBERON:0012336],7
Patient sputum,7
Urine sample,7
feces; 4 single-cells amplified by MDA combined with human gut metagenome reads,7
vegetable,7
Antarctica soil,7
Abdominal abscess,7
freshwater creek,7
Endotracheal,7
Rectal surveillance swabs,7
soft tissue,7
"Sava Riverbank, Slovenia",7
Catheter from newborn,7
fish viscera,7
AOM-Mn bioreactor day 314,7
thermophilic sediment from neutral hot spring,7
non-acidic hot spring microbial mat,7
freshwater reservoir from 10 m depth,7
bacteria were purified from Symbiodinium sp. co-cultures originally isolated from Mussismilia braziliensis coral,7
aquatic product,7
dairy cheese,7
Thiocyanate stock biobioreactor,7
Rifle well CD01 at time point 2 / B; 5m depth; 0.1 filter,7
unified soil; enrichment culture of cellulolytic microbial consortium named F1RT,7
drinking water system-PB2,7
coral reef sponge,7
Bioreactor performing anaerobic oxidation of methane coupled to iron reduction,7
chicken liver,7
Rural River,7
