gtdb_species_clade_id,GTDB_species,no_genomes,no_core,no_aux_genome,no_singleton_gene_clusters,no_gene_clusters,singleton_fraction,core_fraction,aux_fraction,mean_intra_species_ANI,min_intra_species_ANI
s__Clostridium_beijerinckii--RS_GCF_018223745.1,s__Clostridium_beijerinckii,240,4514,23849,10708.0,28363,0.37753411134224163,0.15915100659309664,0.8408489934069033,97.03,95.18
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,s__Bacillus_A_thuringiensis_S,232,4356,51058,27097.0,55414,0.48899195149240265,0.07860829393294114,0.9213917060670589,98.69,97.04
s__Bacteroides_ovatus--RS_GCF_001314995.1,s__Bacteroides_ovatus,212,3099,50724,26450.0,53823,0.4914255987217361,0.05757761551752968,0.9424223844824703,97.37,96.22
s__Klebsiella_oxytoca--RS_GCF_001598695.1,s__Klebsiella_oxytoca,242,4757,33909,18381.0,38666,0.47537888584285937,0.12302798324109036,0.8769720167589097,99.3,98.97
s__Staphylococcus_hominis--RS_GCF_002901845.1,s__Staphylococcus_hominis,241,1813,18887,12461.0,20700,0.6019806763285024,0.08758454106280193,0.9124154589371981,97.91,96.86
s__Agrobacterium_fabacearum--RS_GCF_009649785.1,s__Agrobacterium_fabacearum,186,4326,30610,14966.0,34936,0.4283833295168308,0.12382642546370506,0.876173574536295,98.4,96.96
s__Bacillus_A_wiedmannii--RS_GCF_001583695.1,s__Bacillus_A_wiedmannii,235,3797,55802,28990.0,59599,0.4864175573415661,0.06370912263628585,0.9362908773637142,96.5,95.09
s__Klebsiella_grimontii--RS_GCF_900200035.1,s__Klebsiella_grimontii,203,4708,35405,18390.0,40113,0.458454865006357,0.11736843417345998,0.88263156582654,98.7,95.68
s__Staphylococcus_argenteus--RS_GCF_000236925.1,s__Staphylococcus_argenteus,218,2217,6071,3294.0,8288,0.39744208494208494,0.26749517374517373,0.7325048262548263,98.95,98.6
s__Yersinia_enterocolitica--RS_GCF_901472495.1,s__Yersinia_enterocolitica,236,3228,21119,9441.0,24347,0.3877685135745677,0.13258306978272477,0.8674169302172753,97.04,96.22
s__Oenococcus_oeni--RS_GCF_000372485.1,s__Oenococcus_oeni,230,1441,23067,12093.0,24508,0.49343071650073445,0.058797127468581685,0.9412028725314183,99.44,98.41
s__Erwinia_amylovora--RS_GCF_017161565.1,s__Erwinia_amylovora,231,3256,11106,7923.0,14362,0.5516641136331987,0.2267093719537669,0.7732906280462332,99.83,98.13
s__Mycoplasmopsis_bovis--RS_GCF_000183385.1,s__Mycoplasmopsis_bovis,222,649,17714,9481.0,18363,0.5163099711376137,0.03534280890921963,0.9646571910907804,98.06,97.48
s__Burkholderia_cepacia--RS_GCF_001411495.1,s__Burkholderia_cepacia,217,6041,43748,22356.0,49789,0.4490148426359236,0.12133202112916508,0.8786679788708349,97.85,96.33
s__Enterococcus_B_hirae--RS_GCF_000271405.2,s__Enterococcus_B_hirae,229,2127,16027,8484.0,18154,0.4673350225845544,0.11716426131981933,0.8828357386801807,98.99,97.87
s__Bacillus_licheniformis--RS_GCF_000011645.1,s__Bacillus_licheniformis,226,3821,17034,10124.0,20855,0.4854471349796212,0.1832174538479981,0.816782546152002,99.64,99.26
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,s__Limosilactobacillus_reuteri,230,1371,24018,11621.0,25389,0.4577179093308126,0.05399976367718303,0.9460002363228169,96.68,95.25
s__Pediococcus_acidilactici--RS_GCF_000146325.1,s__Pediococcus_acidilactici,213,1386,8750,3756.0,10136,0.3705603788476717,0.13674033149171272,0.8632596685082873,97.78,96.71
s__Enterobacter_cloacae--RS_GCF_000025565.1,s__Enterobacter_cloacae,216,3750,37666,21547.0,41416,0.5202578713540661,0.09054471701757774,0.9094552829824223,98.17,95.14
s__Bacteroides_xylanisolvens--RS_GCF_000210075.1,s__Bacteroides_xylanisolvens,207,2744,50576,26267.0,53320,0.49262940735183797,0.05146286571642911,0.9485371342835709,97.44,96.74
s__Bifidobacterium_breve--RS_GCF_001025175.1,s__Bifidobacterium_breve,205,1377,19610,11776.0,20987,0.5611092581121647,0.06561204555200839,0.9343879544479916,98.5,96.51
s__Aeromonas_caviae--RS_GCF_000819785.1,s__Aeromonas_caviae,208,3241,35060,19663.0,38301,0.513380851674891,0.08461920054306676,0.9153807994569333,97.87,97.42
s__Aeromonas_veronii--RS_GCF_000820225.1,s__Aeromonas_veronii,205,3342,37132,22097.0,40474,0.5459554281761131,0.08257152740030636,0.9174284725996936,96.51,96.01
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,s__Ligilactobacillus_salivarius,210,1379,17279,9056.0,18658,0.4853682066673813,0.0739093150391253,0.9260906849608747,97.78,97.02
s__Rhodophyticola_sp013179285--RS_GCF_013179285.1,s__Rhodophyticola_sp013179285,212,4345,454,131.0,4799,0.027297353615336528,0.9053969576995208,0.09460304230047926,100.0,99.99
s__Streptococcus_thermophilus--RS_GCF_010120595.1,s__Streptococcus_thermophilus,209,1357,10637,5256.0,11994,0.4382191095547774,0.11313990328497582,0.8868600967150242,98.49,97.47
s__Mannheimia_haemolytica--RS_GCF_004342115.1,s__Mannheimia_haemolytica,197,1985,7666,4238.0,9651,0.43912547922495077,0.20567816806548544,0.7943218319345146,99.18,95.33
s__Blautia_A_wexlerae--GB_GCA_025148125.1,s__Blautia_A_wexlerae,175,2008,50353,31235.0,52361,0.5965317698286893,0.038349152995550126,0.9616508470044499,97.46,95.48
s__Serratia_nevei--RS_GCF_008364245.1,s__Serratia_nevei,182,3941,28414,14863.0,32355,0.4593725853809303,0.12180497604697883,0.8781950239530212,97.88,96.35
s__Moraxella_catarrhalis--RS_GCF_001632285.1,s__Moraxella_catarrhalis,207,1458,10297,6614.0,11755,0.5626541897065078,0.12403232666950234,0.8759676733304976,98.74,95.96
s__Ralstonia_pseudosolanacearum--RS_GCF_024925465.1,s__Ralstonia_pseudosolanacearum,70,3987,17476,9555.0,21463,0.4451847365233192,0.18576154312071938,0.8142384568792806,95.97,95.34
s__Enterobacter_bugandensis--RS_GCF_900324475.1,s__Enterobacter_bugandensis,186,3813,19742,11666.0,23555,0.4952663977924008,0.1618764593504564,0.8381235406495436,98.51,95.52
s__Priestia_megaterium--RS_GCF_000832985.1,s__Priestia_megaterium,177,4202,40173,23428.0,44375,0.5279549295774648,0.09469295774647887,0.9053070422535211,96.85,95.69
s__Mycoplasmoides_pneumoniae--RS_GCF_001272835.1,s__Mycoplasmoides_pneumoniae,184,648,2104,1240.0,2752,0.45058139534883723,0.23546511627906977,0.7645348837209303,99.86,99.73
s__Morganella_morganii--RS_GCF_019243775.1,s__Morganella_morganii,177,3008,23019,14017.0,26027,0.5385561148038576,0.11557229031390479,0.8844277096860952,98.33,95.47
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,s__Bifidobacterium_pseudocatenulatum,170,1378,15059,8597.0,16437,0.5230273164202713,0.083835249741437,0.916164750258563,98.09,96.17
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,s__Bifidobacterium_bifidum,175,1376,18995,11843.0,20371,0.5813656668793874,0.06754700309263169,0.9324529969073683,98.97,98.04
s__Bacillus_pumilus--RS_GCF_900186955.1,s__Bacillus_pumilus,175,3124,18682,11800.0,21806,0.5411354673025772,0.14326332202146197,0.856736677978538,95.81,95.13
s__Aeromonas_hydrophila--RS_GCF_000014805.1,s__Aeromonas_hydrophila,169,3653,25861,14519.0,29514,0.49193603035847394,0.12377176932980959,0.8762282306701904,97.01,96.24
s__Rhizobium_ruizarguesonis--RS_GCF_012349115.1,s__Rhizobium_ruizarguesonis,25,5784,12209,6733.0,17993,0.37420107819707665,0.32145834491191017,0.6785416550880898,98.02,96.15
s__Staphylococcus_capitis--RS_GCF_002902325.1,s__Staphylococcus_capitis,175,2047,12009,7720.0,14056,0.5492316448491747,0.14563175867956746,0.8543682413204325,97.07,96.27
s__Citrobacter_braakii--RS_GCF_002075345.1,s__Citrobacter_braakii,166,3797,33136,17654.0,36933,0.47800070397747274,0.10280778707389056,0.8971922129261094,98.63,96.3
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,s__Staphylococcus_saprophyticus,177,2112,16811,11307.0,18923,0.5975268192147123,0.1116102097976008,0.8883897902023992,99.41,98.75
s__Vibrio_crassostreae--GB_GCA_024347415.1,s__Vibrio_crassostreae,178,3737,19502,9531.0,23239,0.41012952364559574,0.16080726365162012,0.8391927363483799,97.86,96.13
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,s__Stutzerimonas_stutzeri,149,3448,36374,22679.0,39822,0.5695093164582392,0.08658530460549445,0.9134146953945056,97.7,96.98
s__Chlamydia_trachomatis--RS_GCF_000012125.1,s__Chlamydia_trachomatis,167,854,859,509.0,1713,0.2971395213076474,0.4985405720957385,0.5014594279042616,99.35,98.96
s__Listeria_monocytogenes_C--RS_GCF_013282665.1,s__Listeria_monocytogenes_C,166,2482,6348,2916.0,8830,0.330237825594564,0.2810872027180068,0.7189127972819932,95.81,95.2
s__Rhizobium_laguerreae--RS_GCF_002008165.1,s__Rhizobium_laguerreae,175,5045,49447,25707.0,54492,0.47175732217573224,0.09258239741613448,0.9074176025838655,96.68,95.04
s__Citrobacter_portucalensis--RS_GCF_002042885.1,s__Citrobacter_portucalensis,146,3698,31221,15932.0,34919,0.4562559065265328,0.10590223087717289,0.8940977691228271,98.1,95.95
s__Lactobacillus_helveticus--RS_GCF_000160855.1,s__Lactobacillus_helveticus,169,1160,19820,8631.0,20980,0.41139180171591994,0.055290753098188754,0.9447092469018112,98.29,96.37
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,s__Bifidobacterium_adolescentis,165,1280,16171,8873.0,17451,0.508452237694115,0.07334823219299753,0.9266517678070024,98.06,95.61
s__Streptococcus_suis_P--GB_GCA_002831545.1,s__Streptococcus_suis_P,143,1369,15543,6757.0,16912,0.399538789025544,0.0809484389782403,0.9190515610217597,95.94,95.04
s__Vibrio_anguillarum--RS_GCF_001989995.2,s__Vibrio_anguillarum,164,2869,48225,26877.0,51094,0.5260304536736212,0.05615140721023995,0.9438485927897601,98.46,98.01
s__Listeria_seeligeri--RS_GCF_000027145.1,s__Listeria_seeligeri,168,2360,9090,5082.0,11450,0.44384279475982535,0.20611353711790392,0.7938864628820961,97.08,96.23
s__Pantoea_ananatis--RS_GCF_000710035.2,s__Pantoea_ananatis,163,3796,25557,15553.0,29353,0.5298606616018806,0.1293223861274827,0.8706776138725173,98.77,96.45
s__Lactobacillus_iners--RS_GCF_000160875.1,s__Lactobacillus_iners,141,728,7854,4787.0,8582,0.5577953856909811,0.08482871125611746,0.9151712887438825,98.72,98.36
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1,s__Aggregatibacter_actinomycetemcomitans,159,1625,7474,3323.0,9099,0.36520496757885484,0.17859105396197383,0.8214089460380262,98.66,97.12
s__Escherichia_albertii--RS_GCF_000759775.1,s__Escherichia_albertii,163,3442,26782,12988.0,30224,0.42972472207517204,0.11388300688194812,0.8861169931180519,98.51,97.95
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,s__Pseudomonas_E_syringae,156,4204,31848,18906.0,36052,0.5244091867302785,0.11660934206146677,0.8833906579385332,97.79,96.0
s__Streptococcus_salivarius--RS_GCF_000785515.1,s__Streptococcus_salivarius,153,1438,17321,11262.0,18759,0.6003518311210619,0.07665653819499973,0.9233434618050003,96.11,95.19
s__Xanthomonas_phaseoli--GB_GCA_022749655.1,s__Xanthomonas_phaseoli,158,3294,14452,6367.0,17746,0.35878507832751044,0.1856192944888989,0.8143807055111011,98.13,96.34
s__Leptospira_borgpetersenii--RS_GCF_003046425.1,s__Leptospira_borgpetersenii,152,2626,11354,7042.0,13980,0.5037195994277539,0.18783977110157368,0.8121602288984263,99.07,97.76
s__Serratia_ureilytica--RS_GCF_013375155.1,s__Serratia_ureilytica,155,4130,19723,12900.0,23853,0.5408124764180606,0.1731438393493481,0.8268561606506519,98.71,97.44
s__Borreliella_burgdorferi--RS_GCF_000008685.2,s__Borreliella_burgdorferi,140,909,5027,2230.0,5936,0.37567385444743934,0.153133423180593,0.846866576819407,99.09,98.6
s__Streptococcus_suis_W--RS_GCF_902702775.1,s__Streptococcus_suis_W,142,1453,15653,7870.0,17106,0.46007248918508126,0.08494095638957092,0.9150590436104291,96.59,95.78
s__Bacillus_altitudinis--RS_GCF_000691145.1,s__Bacillus_altitudinis,148,3295,14316,9129.0,17611,0.5183692010675146,0.1870989722332633,0.8129010277667367,98.18,97.34
s__Ralstonia_solanacearum--RS_GCF_002251695.1,s__Ralstonia_solanacearum,141,3853,19154,10324.0,23007,0.44873299430608077,0.16747076976572348,0.8325292302342765,96.27,95.49
s__Phocaeicola_dorei--RS_GCF_013009555.1,s__Phocaeicola_dorei,135,3139,34897,19354.0,38036,0.5088337364601956,0.08252707960879167,0.9174729203912083,99.05,97.1
s__Enterococcus_B_durans--RS_GCF_001544215.1,s__Enterococcus_B_durans,143,2128,14745,8231.0,16873,0.487820778758964,0.12611865109938955,0.8738813489006104,98.76,96.42
s__Streptococcus_dysgalactiae--RS_GCF_900459225.1,s__Streptococcus_dysgalactiae,136,1456,12587,6257.0,14043,0.445560065513067,0.10368154952645446,0.8963184504735455,96.36,95.49
s__Xylella_fastidiosa--RS_GCF_011801475.1,s__Xylella_fastidiosa,140,1625,15519,8988.0,17144,0.5242650489967335,0.09478534764349043,0.9052146523565096,98.43,96.23
s__Enterobacter_cloacae_M--RS_GCF_002208095.1,s__Enterobacter_cloacae_M,136,3720,25109,13626.0,28829,0.4726490686461549,0.1290367338443928,0.8709632661556072,98.23,96.89
s__Streptococcus_uberis--RS_GCF_900475595.1,s__Streptococcus_uberis,134,1513,9903,5030.0,11416,0.44060967063770146,0.1325332866152768,0.8674667133847231,98.92,98.11
s__Acinetobacter_indicus--RS_GCF_000488255.1,s__Acinetobacter_indicus,140,2179,16079,8097.0,18258,0.44347683207361155,0.11934494468178333,0.8806550553182166,97.49,96.5
s__Elizabethkingia_anophelis--RS_GCF_002023665.2,s__Elizabethkingia_anophelis,135,2836,13249,5007.0,16085,0.3112838047870687,0.17631333540565744,0.8236866645943426,98.34,97.37
s__Staphylococcus_chromogenes--RS_GCF_002901945.1,s__Staphylococcus_chromogenes,140,1915,6861,3320.0,8776,0.37830446672743845,0.21820875113947127,0.7817912488605288,98.8,96.34
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,s__Streptomyces_albidoflavus,117,4436,37268,21663.0,41704,0.5194465758680222,0.10636869365048916,0.8936313063495108,98.0,95.73
s__Escherichia_fergusonii--RS_GCF_000026225.1,s__Escherichia_fergusonii,136,3560,17557,8316.0,21117,0.3938059383435147,0.16858455273002795,0.8314154472699721,98.8,98.19
s__Parabacteroides_merdae--GB_GCA_025151215.1,s__Parabacteroides_merdae,129,2644,31205,19102.0,33849,0.5643298177198736,0.07811161334160537,0.9218883866583947,99.0,97.34
s__Pantoea_agglomerans--RS_GCF_001598475.1,s__Pantoea_agglomerans,135,3722,24628,14549.0,28350,0.5131922398589065,0.1312874779541446,0.8687125220458554,98.22,96.93
s__Xanthomonas_campestris--RS_GCF_000007145.1,s__Xanthomonas_campestris,128,3436,14466,7259.0,17902,0.40548542062339404,0.19193386213830857,0.8080661378616915,98.36,96.45
s__Bacillus_A_mycoides--RS_GCF_000832605.1,s__Bacillus_A_mycoides,124,3929,39674,22023.0,43603,0.5050799256931863,0.09010847877439626,0.9098915212256038,97.98,96.59
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,s__Limosilactobacillus_fermentum,118,1399,12596,7043.0,13995,0.5032511611289746,0.09996427295462665,0.9000357270453734,98.63,97.32
s__Burkholderia_vietnamiensis--RS_GCF_000959445.1,s__Burkholderia_vietnamiensis,130,4969,32594,16995.0,37563,0.4524399009663765,0.1322844288262386,0.8677155711737614,98.94,97.91
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,s__Fusicatenibacter_saccharivorans,102,1967,27051,16382.0,29018,0.5645461437728306,0.06778551244055414,0.9322144875594459,97.84,95.48
s__Vibrio_diabolicus--GB_GCA_001048675.1,s__Vibrio_diabolicus,124,3902,26023,15934.0,29925,0.5324644945697578,0.13039264828738514,0.8696073517126148,97.97,97.44
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,s__Corynebacterium_pseudotuberculosis,123,1880,2152,949.0,4032,0.2353670634920635,0.4662698412698413,0.5337301587301587,99.57,98.61
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,s__Pseudomonas_E_alloputida,128,4147,38600,22481.0,42747,0.5259082508714061,0.09701265585889068,0.9029873441411094,97.49,95.21
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,s__Leuconostoc_mesenteroides,125,1198,12921,7039.0,14119,0.49854805581131806,0.0848502018556555,0.9151497981443445,98.86,97.34
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,s__Klebsiella_ornithinolytica,122,4533,26226,15582.0,30759,0.5065834389934654,0.14737150102409052,0.8526284989759095,99.42,99.16
s__Bifidobacterium_infantis--RS_GCF_000269965.1,s__Bifidobacterium_infantis,118,1465,13491,5779.0,14956,0.38640010698047605,0.09795399839529285,0.9020460016047072,98.3,96.08
