gtdb_species_clade_id,n_genomes_total,n_genomes_with_env,n_distinct_env_broad,n_distinct_env_local,n_distinct_env_medium,env_coverage_fraction,env_broad_entropy,GTDB_species
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,88,40,9,6,6,0.45454545454545453,2.788953561377687,s__Pseudomonas_E_paracarnis
s__Faecalibacterium_longum--RS_GCF_020687245.1,72,63,6,6,3,0.875,1.8693160981138683,s__Faecalibacterium_longum
s__Mycoplasmoides_pneumoniae--RS_GCF_001272835.1,184,66,1,0,0,0.358695652173913,0.19590927087071958,s__Mycoplasmoides_pneumoniae
s__Lactococcus_lactis--RS_GCF_900099625.1,291,55,14,11,11,0.18900343642611683,2.5670979826981006,s__Lactococcus_lactis
s__Lactobacillus_gasseri--RS_GCF_000014425.1,46,26,6,4,5,0.5652173913043478,2.0037807204981193,s__Lactobacillus_gasseri
s__Enterococcus_faecalis--RS_GCF_000392875.1,2250,451,18,26,18,0.20044444444444445,2.5164820958655456,s__Enterococcus_faecalis
s__Neisseria_meningitidis--RS_GCF_900638555.1,2121,5,1,1,1,0.0023573785950023575,0.7219280948844771,s__Neisseria_meningitidis
s__Streptococcus_uberis--RS_GCF_900475595.1,134,21,0,1,1,0.15671641791044777,-1.4428232973175175e-12,s__Streptococcus_uberis
s__Erwinia_amylovora--RS_GCF_017161565.1,231,12,2,4,4,0.05194805194805195,1.4833557549773595,s__Erwinia_amylovora
s__Enterococcus_B_durans--RS_GCF_001544215.1,143,76,8,6,3,0.5314685314685315,0.8738752007901966,s__Enterococcus_B_durans
s__Pseudomonas_E_tremae--RS_GCF_001401155.1,85,9,1,1,0,0.10588235294117647,0.764204506505735,s__Pseudomonas_E_tremae
s__Burkholderia_cepacia--RS_GCF_001411495.1,217,11,7,7,4,0.05069124423963134,2.7321588913530284,s__Burkholderia_cepacia
s__Stenotrophomonas_sepilia--RS_GCF_003244875.1,103,4,3,1,0,0.038834951456310676,1.9999999999942293,s__Stenotrophomonas_sepilia
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,118,36,10,12,12,0.3050847457627119,3.15935443454856,s__Limosilactobacillus_fermentum
s__Leptospira_interrogans--RS_GCF_900156205.1,363,7,2,3,4,0.01928374655647383,1.4488156357208566,s__Leptospira_interrogans
s__Levilactobacillus_brevis--RS_GCF_001433855.1,114,33,10,9,6,0.2894736842105263,2.7487213681232676,s__Levilactobacillus_brevis
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,175,89,6,8,5,0.5085714285714286,1.7943726844999592,s__Bifidobacterium_bifidum
s__Curtobacterium_flaccumfaciens--RS_GCF_013359815.1,82,48,4,4,1,0.5853658536585366,1.7382446058923693,s__Curtobacterium_flaccumfaciens
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,82,34,8,6,3,0.4146341463414634,2.7958921648186794,s__Pseudomonas_E_asiatica
s__Rhodophyticola_sp013179285--RS_GCF_013179285.1,212,0,0,0,0,0.0,0.0,s__Rhodophyticola_sp013179285
s__Mediterraneibacter_faecis--GB_GCA_001312505.1,82,52,8,6,2,0.6341463414634146,1.8979661776535885,s__Mediterraneibacter_faecis
s__Gemmiger_formicilis--RS_GCF_900167555.1,56,51,6,5,2,0.9107142857142857,2.468505237312688,s__Gemmiger_formicilis
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,87,36,13,10,6,0.41379310344827586,2.969777110456908,s__Lactobacillus_johnsonii
s__Moraxella_catarrhalis--RS_GCF_001632285.1,207,7,1,1,1,0.033816425120772944,-1.4428232973175175e-12,s__Moraxella_catarrhalis
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2,426,20,2,2,1,0.046948356807511735,0.8841837197748608,s__Staphylococcus_pseudintermedius
s__Staphylococcus_lugdunensis--RS_GCF_002901705.1,124,27,3,3,2,0.21774193548387097,0.827408798849872,s__Staphylococcus_lugdunensis
s__Sulfitobacter_mediterraneus--RS_GCF_003054325.1,52,50,1,1,2,0.9615384615384616,0.3274449191515909,s__Sulfitobacter_mediterraneus
s__Agrobacterium_pusense--RS_GCF_900102105.1,80,8,1,1,1,0.1,0.543564443196711,s__Agrobacterium_pusense
s__Haemophilus_influenzae--RS_GCF_001457655.1,567,29,1,0,4,0.05114638447971781,0.47983202361324306,s__Haemophilus_influenzae
s__Bacillus_A_pseudomycoides--RS_GCF_000161455.1,115,2,2,2,2,0.017391304347826087,0.9999999999971146,s__Bacillus_A_pseudomycoides
s__Acinetobacter_junii--RS_GCF_000368765.1,76,38,4,2,4,0.5,0.6959870765281735,s__Acinetobacter_junii
s__Bifidobacterium_longum--RS_GCF_000196555.1,540,183,9,11,5,0.3388888888888889,2.161540574367591,s__Bifidobacterium_longum
s__Clostridium_beijerinckii--RS_GCF_018223745.1,240,193,3,5,5,0.8041666666666667,0.4759327573701204,s__Clostridium_beijerinckii
s__Bifidobacterium_infantis--RS_GCF_000269965.1,118,73,7,5,1,0.6186440677966102,1.742520646952601,s__Bifidobacterium_infantis
s__Dickeya_dianthicola--RS_GCF_000365305.1,66,30,3,5,2,0.45454545454545453,0.9722539283591561,s__Dickeya_dianthicola
s__Legionella_pneumophila--RS_GCF_000008485.1,842,16,4,3,2,0.019002375296912115,1.9211796919402844,s__Legionella_pneumophila
s__Clostridium_F_sporogenes--RS_GCF_001020205.1,85,2,1,1,1,0.023529411764705882,0.9999999999971146,s__Clostridium_F_sporogenes
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,78,28,10,6,5,0.358974358974359,2.3787834934703054,s__Pseudomonas_E_protegens
s__Bacillus_altitudinis--RS_GCF_000691145.1,148,35,12,7,7,0.23648648648648649,2.9208170316811115,s__Bacillus_altitudinis
s__Klebsiella_ornithinolytica--RS_GCF_001598295.1,122,13,5,5,4,0.10655737704918032,2.034940913947572,s__Klebsiella_ornithinolytica
s__Bacteroides_fragilis--RS_GCF_000025985.1,310,117,12,7,3,0.3774193548387097,2.1685430560337444,s__Bacteroides_fragilis
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,125,35,10,9,8,0.28,2.921162659353546,s__Leuconostoc_mesenteroides
s__Bordetella_pertussis--RS_GCF_000306945.1,1019,8,0,1,1,0.007850834151128557,-1.4428232973175175e-12,s__Bordetella_pertussis
s__Ralstonia_pseudosolanacearum--RS_GCF_024925465.1,70,7,2,2,1,0.1,1.1488348542765885,s__Ralstonia_pseudosolanacearum
s__Citrobacter_portucalensis--RS_GCF_002042885.1,146,36,12,7,7,0.2465753424657534,2.8890046142442602,s__Citrobacter_portucalensis
s__Piscirickettsia_salmonis--RS_GCF_000297215.2,83,17,2,2,3,0.20481927710843373,1.0863128407369598,s__Piscirickettsia_salmonis
s__Bordetella_holmesii--GB_GCA_000612485.1,81,0,0,0,0,0.0,0.0,s__Bordetella_holmesii
s__Pseudomonas_E_viridiflava--RS_GCF_001642795.1,1167,7,2,3,4,0.005998286203941731,1.1488348542765885,s__Pseudomonas_E_viridiflava
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,76,11,5,4,3,0.14473684210526316,2.222191575498022,s__Acinetobacter_radioresistens
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,137,11,7,3,2,0.08029197080291971,2.7321588913530284,s__Bacillus_A_paranthracis
s__Vibrio_campbellii--RS_GCF_002163755.1,87,10,1,0,0,0.11494252873563218,0.9709505944517833,s__Vibrio_campbellii
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,287,132,8,9,4,0.45993031358885017,1.8732308296497626,s__Bacteroides_thetaiotaomicron
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,101,65,9,6,5,0.6435643564356436,2.6631485604995695,s__Ruminococcus_E_bromii_B
s__Bacteroides_caccae--RS_GCF_002222615.2,99,68,6,6,3,0.6868686868686869,1.914774784208034,s__Bacteroides_caccae
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,84,7,5,4,3,0.08333333333333333,2.521640636334662,s__Leclercia_adecarboxylata
s__Pseudomonas_E_syringae--RS_GCF_000507185.2,156,26,3,3,1,0.16666666666666666,0.6988272185464255,s__Pseudomonas_E_syringae
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,2453,204,15,13,11,0.08316347329800244,2.2324805936240857,s__Enterobacter_hormaechei_A
s__Cutibacterium_acnes--RS_GCF_003030305.1,361,109,10,9,11,0.30193905817174516,1.6437089527090436,s__Cutibacterium_acnes
s__Providencia_rettgeri_D--RS_GCF_013255915.1,67,11,2,1,2,0.16417910447761194,1.4949188482296227,s__Providencia_rettgeri_D
s__Mycobacterium_marinum--RS_GCF_003391395.1,69,32,1,3,6,0.463768115942029,0.3372900666141285,s__Mycobacterium_marinum
s__Faecalibacterium_duncaniae--RS_GCF_010509575.1,62,37,6,5,3,0.5967741935483871,2.4168858714375583,s__Faecalibacterium_duncaniae
s__Dorea_formicigenerans--GB_GCA_025150245.1,68,41,4,4,2,0.6029411764705882,1.4247233013108733,s__Dorea_formicigenerans
s__Xanthomonas_phaseoli--GB_GCA_022749655.1,158,1,1,1,1,0.006329113924050633,-1.4428232973175175e-12,s__Xanthomonas_phaseoli
s__Clostridium_AQ_innocuum--RS_GCF_012317185.1,81,50,6,4,4,0.6172839506172839,1.8513464332392902,s__Clostridium_AQ_innocuum
s__Listeria_monocytogenes_C--RS_GCF_013282665.1,166,1,0,0,0,0.006024096385542169,-1.4428232973175175e-12,s__Listeria_monocytogenes_C
s__Pseudomonas_E_monteilii--RS_GCF_000730605.1,73,25,5,6,5,0.3424657534246575,1.451314688641065,s__Pseudomonas_E_monteilii
s__Mycobacterium_avium--RS_GCF_009741445.1,249,49,1,1,1,0.19678714859437751,0.14372616993649642,s__Mycobacterium_avium
s__Enterobacter_kobei--RS_GCF_001729765.1,252,28,7,9,4,0.1111111111111111,2.0399667684297853,s__Enterobacter_kobei
s__Bacillus_A_wiedmannii--RS_GCF_001583695.1,235,10,3,1,1,0.0425531914893617,1.3567796494412687,s__Bacillus_A_wiedmannii
s__Aggregatibacter_actinomycetemcomitans--RS_GCF_000372365.1,159,2,2,1,1,0.012578616352201259,1.584962500716828,s__Aggregatibacter_actinomycetemcomitans
s__Burkholderia_contaminans--RS_GCF_000987075.1,108,18,6,3,2,0.16666666666666666,2.3695710038451745,s__Burkholderia_contaminans
s__Morganella_morganii--RS_GCF_019243775.1,177,16,2,2,4,0.0903954802259887,0.8683927290060346,s__Morganella_morganii
s__Yersinia_ruckeri--RS_GCF_000754815.1,97,72,3,2,4,0.7422680412371134,1.6033990840793635,s__Yersinia_ruckeri
s__Bacillus_safensis--RS_GCF_000691165.1,120,28,8,6,10,0.23333333333333334,2.1604572813855225,s__Bacillus_safensis
s__Klebsiella_oxytoca--RS_GCF_001598695.1,242,18,10,4,5,0.0743801652892562,3.239097917972916,s__Klebsiella_oxytoca
s__Prevotella_sp015074785--RS_GCF_015074785.1,71,25,3,4,1,0.352112676056338,1.390856298380641,s__Prevotella_sp015074785
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,110,51,7,13,6,0.4636363636363636,1.3768816171509448,s__Bacillus_paralicheniformis
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,271,68,15,11,10,0.25092250922509224,3.279405413969188,s__Lacticaseibacillus_paracasei
s__Blautia_A_massiliensis--RS_GCF_001487165.1,81,53,8,7,2,0.654320987654321,2.6004443016867222,s__Blautia_A_massiliensis
s__Oenococcus_oeni--RS_GCF_000372485.1,230,155,1,3,1,0.6739130434782609,0.6057892520802093,s__Oenococcus_oeni
s__Acinetobacter_soli--RS_GCF_000760595.1,71,53,5,2,4,0.7464788732394366,1.4478335923664887,s__Acinetobacter_soli
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,327,37,8,7,9,0.11314984709480122,2.416685395688172,s__Enterobacter_roggenkampii
s__Anaerostipes_hadrus--RS_GCF_000332875.2,102,77,9,7,4,0.7549019607843137,1.9091364349239064,s__Anaerostipes_hadrus
s__Serratia_marcescens_K--RS_GCF_002220655.1,425,6,3,1,2,0.01411764705882353,1.7924812503548073,s__Serratia_marcescens_K
s__Klebsiella_aerogenes--RS_GCF_000215745.1,395,25,8,8,5,0.06329113924050633,2.5617062775613295,s__Klebsiella_aerogenes
s__Klebsiella_grimontii--RS_GCF_900200035.1,203,35,6,3,3,0.1724137931034483,2.1726036347579964,s__Klebsiella_grimontii
s__Francisella_tularensis--RS_GCF_000008985.1,852,5,2,1,1,0.005868544600938967,1.5219280948830343,s__Francisella_tularensis
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,84,11,4,5,3,0.13095238095238096,1.672933031866154,s__Enterococcus_E_cecorum
s__Staphylococcus_warneri--RS_GCF_900636385.1,112,29,10,5,6,0.25892857142857145,2.660899725792013,s__Staphylococcus_warneri
s__Streptococcus_dysgalactiae--RS_GCF_900459225.1,136,13,2,2,2,0.09558823529411764,0.7732283485205895,s__Streptococcus_dysgalactiae
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,89,51,9,6,6,0.5730337078651685,2.3816706213938192,s__Pectobacterium_versatile_A
s__Staphylococcus_hominis--RS_GCF_002901845.1,241,94,12,8,8,0.3900414937759336,2.3585599950660265,s__Staphylococcus_hominis
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,513,135,7,4,6,0.2631578947368421,1.2376686746082732,s__Staphylococcus_haemolyticus
s__Burkholderia_orbicola--RS_GCF_014211915.1,97,5,2,2,1,0.05154639175257732,0.7219280948844771,s__Burkholderia_orbicola
s__Burkholderia_stagnalis--RS_GCF_902830275.1,112,0,0,0,0,0.0,0.0,s__Burkholderia_stagnalis
s__Burkholderia_gladioli--RS_GCF_000959725.1,271,8,1,0,1,0.02952029520295203,0.543564443196711,s__Burkholderia_gladioli
s__Streptococcus_thermophilus--RS_GCF_010120595.1,209,41,13,7,11,0.19617224880382775,3.0788709810559203,s__Streptococcus_thermophilus
s__Enterobacter_ludwigii--RS_GCF_001750725.1,109,19,5,2,2,0.1743119266055046,2.247084753908429,s__Enterobacter_ludwigii
s__Ralstonia_solanacearum--RS_GCF_002251695.1,141,15,3,2,2,0.10638297872340426,1.429473298355513,s__Ralstonia_solanacearum
s__Vibrio_crassostreae--GB_GCA_024347415.1,178,65,0,0,0,0.3651685393258427,-1.4428232973175175e-12,s__Vibrio_crassostreae
s__Xanthomonas_arboricola--RS_GCF_001013475.1,124,46,3,3,2,0.3709677419354839,0.6613960388916458,s__Xanthomonas_arboricola
s__Sarcina_perfringens--RS_GCF_000013285.1,403,24,6,5,4,0.05955334987593052,2.5535088547875793,s__Sarcina_perfringens
s__Serratia_marcescens--RS_GCF_017299535.1,57,9,4,1,3,0.15789473684210525,2.0588138903239876,s__Serratia_marcescens
s__Acinetobacter_ursingii--RS_GCF_000368825.1,72,43,4,4,5,0.5972222222222222,0.9408650441347284,s__Acinetobacter_ursingii
s__Lactobacillus_crispatus--RS_GCF_018987235.1,328,237,9,10,8,0.7225609756097561,1.3103356101751389,s__Lactobacillus_crispatus
s__Coxiella_burnetii--RS_GCF_005280755.1,89,2,0,1,1,0.02247191011235955,-1.4428232973175175e-12,s__Coxiella_burnetii
s__Klebsiella_terrigena--RS_GCF_006539725.1,64,8,0,0,2,0.125,-1.4428232973175175e-12,s__Klebsiella_terrigena
s__Clostridium_butyricum--RS_GCF_006742065.1,66,19,6,5,3,0.2878787878787879,2.144023910747324,s__Clostridium_butyricum
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,111,59,8,7,8,0.5315315315315315,1.381056185231068,s__Pediococcus_pentosaceus
s__Bacteroides_uniformis--GB_GCA_025147485.1,401,247,11,10,6,0.6159600997506235,2.2016865836087103,s__Bacteroides_uniformis
s__Chlamydia_trachomatis--RS_GCF_000012125.1,167,18,1,0,0,0.10778443113772455,0.3095434291474398,s__Chlamydia_trachomatis
s__Vibrio_diabolicus--GB_GCA_001048675.1,124,15,2,3,3,0.12096774193548387,1.2309595631096821,s__Vibrio_diabolicus
s__Bifidobacterium_breve--RS_GCF_001025175.1,205,114,9,7,4,0.5560975609756098,1.2984813522256775,s__Bifidobacterium_breve
s__Wolbachia_pipientis--RS_GCF_021378375.1,896,830,2,1,1,0.9263392857142857,0.0268383686282225,s__Wolbachia_pipientis
s__Enterococcus_D_casseliflavus--RS_GCF_001544095.1,83,12,4,4,3,0.14457831325301204,1.8676338909639987,s__Enterococcus_D_casseliflavus
s__Mesorhizobium_sp002294985--RS_GCF_002294985.1,84,1,0,0,0,0.011904761904761904,-1.4428232973175175e-12,s__Mesorhizobium_sp002294985
s__Burkholderia_multivorans--RS_GCF_000959525.1,404,1,0,0,1,0.0024752475247524753,-1.4428232973175175e-12,s__Burkholderia_multivorans
s__Aeromonas_caviae--RS_GCF_000819785.1,208,112,9,10,5,0.5384615384615384,1.06725518727886,s__Aeromonas_caviae
s__Vibrio_fluvialis--RS_GCF_900460245.1,93,3,1,1,1,0.03225806451612903,0.9182958340516041,s__Vibrio_fluvialis
s__Yersinia_pestis--RS_GCF_900460465.1,685,61,2,3,1,0.08905109489051095,0.2409678307987446,s__Yersinia_pestis
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,332,20,3,4,1,0.060240963855421686,1.6841837197734182,s__Xanthomonas_euvesicatoria
s__Bacteroides_stercoris--GB_GCA_025147325.1,86,51,5,4,3,0.5930232558139535,2.0604089825630147,s__Bacteroides_stercoris
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,97,48,8,5,2,0.4948453608247423,2.429085409532231,s__Rhizobium_leguminosarum
s__Proteus_mirabilis--RS_GCF_000160755.1,521,38,7,6,6,0.07293666026871401,2.4316235658358893,s__Proteus_mirabilis
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,76,54,6,5,2,0.7105263157894737,2.287885387953257,s__Faecalibacterium_prausnitzii
s__Alistipes_onderdonkii--GB_GCA_025145285.1,84,65,9,6,3,0.7738095238095238,2.0634674052498116,s__Alistipes_onderdonkii
s__Mannheimia_haemolytica--RS_GCF_004342115.1,197,18,2,4,3,0.09137055837563451,1.134969974599613,s__Mannheimia_haemolytica
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,70,29,4,3,3,0.4142857142857143,1.3972186775399673,s__Pseudomonas_E_cerasi
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,82,18,10,7,4,0.21951219512195122,3.149673447170871,s__Pseudomonas_E_chlororaphis_F
s__Streptococcus_pseudopneumoniae--RS_GCF_002087075.1,127,2,1,1,1,0.015748031496062992,-1.4428232973175175e-12,s__Streptococcus_pseudopneumoniae
s__Rhizobium_leguminosarum_L--RS_GCF_000009265.1,71,52,4,3,2,0.7323943661971831,1.822085878881588,s__Rhizobium_leguminosarum_L
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,177,35,5,6,6,0.1977401129943503,1.0469559066877505,s__Staphylococcus_saprophyticus
s__Mycobacterium_chelonae--RS_GCF_001632805.1,73,14,1,0,0,0.1917808219178082,0.37123232663799033,s__Mycobacterium_chelonae
s__Lactobacillus_helveticus--RS_GCF_000160855.1,169,91,6,8,7,0.5384615384615384,0.8637471722718069,s__Lactobacillus_helveticus
s__Mesorhizobium_wenxiniae--RS_GCF_002284535.1,72,0,0,0,0,0.0,0.0,s__Mesorhizobium_wenxiniae
s__Salinibacter_ruber--RS_GCF_000013045.1,110,85,0,0,0,0.7727272727272727,-1.4428232973175175e-12,s__Salinibacter_ruber
s__Weissella_cibaria--RS_GCF_000193635.1,82,25,4,5,2,0.3048780487804878,1.791737433415253,s__Weissella_cibaria
s__Mycobacterium_intracellulare--RS_GCF_000277125.1,104,32,1,0,1,0.3076923076923077,0.2006223243098293,s__Mycobacterium_intracellulare
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,210,63,11,13,7,0.3,2.073719690215432,s__Ligilactobacillus_salivarius
s__Streptococcus_suis_P--GB_GCA_002831545.1,143,2,0,0,0,0.013986013986013986,-1.4428232973175175e-12,s__Streptococcus_suis_P
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,370,4,3,3,2,0.010810810810810811,1.9999999999942293,s__Helicobacter_pylori_BU
s__Streptococcus_iniae--RS_GCF_003674745.1,94,3,2,1,2,0.031914893617021274,0.9182958340516041,s__Streptococcus_iniae
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,449,233,11,13,7,0.5189309576837416,1.3764937478774666,s__Phocaeicola_vulgatus
s__Micrococcus_luteus--RS_GCF_000023205.1,295,53,12,9,8,0.17966101694915254,2.366478943804237,s__Micrococcus_luteus
s__Shewanella_algae--RS_GCF_009183365.2,111,25,5,2,2,0.22522522522522523,1.7080560684949357,s__Shewanella_algae
s__Lactococcus_cremoris--RS_GCF_001591705.1,82,21,6,3,6,0.25609756097560976,1.8751458114354391,s__Lactococcus_cremoris
s__Mesomycoplasma_hyorhinis--RS_GCF_000383515.1,93,1,0,1,1,0.010752688172043012,-1.4428232973175175e-12,s__Mesomycoplasma_hyorhinis
s__Bacillus_A_tropicus--RS_GCF_001884035.1,95,4,4,1,2,0.042105263157894736,1.9999999999942293,s__Bacillus_A_tropicus
s__Aeromonas_veronii--RS_GCF_000820225.1,205,23,8,11,7,0.11219512195121951,2.8811951077476223,s__Aeromonas_veronii
s__Pasteurella_multocida--RS_GCF_900187275.1,349,72,7,7,8,0.20630372492836677,1.7248416859019011,s__Pasteurella_multocida
s__Citrobacter_werkmanii--GB_GCA_000759755.1,92,25,5,3,4,0.2717391304347826,1.594185957629299,s__Citrobacter_werkmanii
s__Helicobacter_pylori_CI--RS_GCF_000448485.1,310,0,0,0,0,0.0,0.0,s__Helicobacter_pylori_CI
s__Acinetobacter_sp002018365--RS_GCF_002018365.1,82,8,2,0,3,0.0975609756097561,1.2987949406910706,s__Acinetobacter_sp002018365
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,94,64,6,7,7,0.6808510638297872,1.5595443801293052,s__Pseudomonas_E_fulva
s__Parabacteroides_merdae--GB_GCA_025151215.1,129,84,9,6,4,0.6511627906976745,2.2850672545784834,s__Parabacteroides_merdae
s__Flavonifractor_plautii--RS_GCF_000239295.1,70,39,6,5,5,0.5571428571428572,2.0012569865173386,s__Flavonifractor_plautii
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,303,13,4,3,4,0.0429042904290429,2.038159681638739,s__Stenotrophomonas_maltophilia
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,85,51,6,4,2,0.6,1.995107263193871,s__Ruminococcus_D_bicirculans
s__Ruminococcus_E_sp900317315--GB_GCA_900317315.1,103,90,2,2,1,0.8737864077669902,0.08807225903779596,s__Ruminococcus_E_sp900317315
s__Streptococcus_salivarius--RS_GCF_000785515.1,153,61,8,8,7,0.39869281045751637,2.8325497182948567,s__Streptococcus_salivarius
s__Elizabethkingia_anophelis--RS_GCF_002023665.2,135,1,0,0,0,0.007407407407407408,-1.4428232973175175e-12,s__Elizabethkingia_anophelis
s__Aliivibrio_fischeri--RS_GCF_023983475.1,70,4,1,0,1,0.05714285714285714,0.8112781244562475,s__Aliivibrio_fischeri
s__Streptococcus_suis_W--RS_GCF_902702775.1,142,1,1,0,1,0.007042253521126761,-1.4428232973175175e-12,s__Streptococcus_suis_W
s__Xanthomonas_vasicola--RS_GCF_000772705.2,101,0,0,0,0,0.0,0.0,s__Xanthomonas_vasicola
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,241,39,10,8,7,0.16182572614107885,3.0892806677760056,s__Lacticaseibacillus_rhamnosus
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,95,24,7,6,3,0.25263157894736843,2.5341591278398803,s__Enterococcus_D_gallinarum
s__Burkholderia_cenocepacia--RS_GCF_900446215.1,338,5,2,1,2,0.014792899408284023,1.3709505944503406,s__Burkholderia_cenocepacia
s__Blautia_A_wexlerae--GB_GCA_025148125.1,175,144,7,6,3,0.8228571428571428,2.26856103027363,s__Blautia_A_wexlerae
s__Salmonella_diarizonae--RS_GCF_008692785.1,79,0,0,0,0,0.0,0.0,s__Salmonella_diarizonae
s__Haemophilus_influenzae_D--RS_GCF_900475755.1,71,2,0,0,1,0.028169014084507043,-1.4428232973175175e-12,s__Haemophilus_influenzae_D
s__Citrobacter_freundii--RS_GCF_011064845.1,574,116,13,6,7,0.20209059233449478,2.302885219380455,s__Citrobacter_freundii
s__Aeromonas_dhakensis--RS_GCF_000820305.1,64,8,4,3,3,0.125,2.1556390622223534,s__Aeromonas_dhakensis
s__Listeria_A_booriae--RS_GCF_000766865.1,92,0,0,0,0,0.0,0.0,s__Listeria_A_booriae
s__Latilactobacillus_sakei--RS_GCF_002370355.1,73,18,5,4,4,0.2465753424657534,2.1824562508326926,s__Latilactobacillus_sakei
