gtdb_species_clade_id,GTDB_species,n_genomes_in_tree,cv_branch_dist,std_branch_dist,mean_branch_dist,max_branch_dist,median_branch_dist,max_median_ratio,no_genomes,no_core,no_aux_genome,no_singleton_gene_clusters,no_gene_clusters,singleton_fraction,core_fraction,aux_fraction,mean_intra_species_ANI,n_genomes_with_env,n_distinct_env_broad,env_broad_entropy,env_coverage_fraction,in_prior_ecotype_analysis,z_phylo,z_env,z_open,composite_score,rank,short_name
s__Bacillus_velezensis--RS_GCF_001461825.1,s__Bacillus_velezensis,646,0.3283009330616356,0.0044786641629395,0.0136419477129499,0.022255,0.014731,1.5107596225646596,647,3295,34330,21864.0,37625,0.5811029900332226,0.0875747508305647,0.9124252491694352,98.13,125,39,3.615518637891704,0.1931993817619783,False,-0.5170648966195271,2.277794397624635,1.1774647689696278,0.9793980899915787,11,Bacillus velezensis
s__Agathobacter_faecis--RS_GCF_001406815.1,s__Agathobacter_faecis,62,0.3075134255657228,0.0039757014148235,0.0129285458269329,0.02162,0.012684,1.704509618416903,63,1884,27307,19630.0,29191,0.6724675413654894,0.0645404405467438,0.935459559453256,98.2,35,9,2.577769619536069,0.5555555555555556,True,-0.5630671684573916,1.1879371624545028,2.22796543763752,0.9509451438782105,12,Agathobacter faecis
s__Bacillus_subtilis--RS_GCF_000009045.1,s__Bacillus_subtilis,558,0.46084576410687,0.006188490629227,0.0134285505286578,0.04159,0.013626,3.052253045648026,559,3517,37076,22228.0,40593,0.5475820954351736,0.0866405537900623,0.9133594462099376,98.63,127,31,3.51630864174402,0.2271914132379248,False,-0.2237462604316367,2.173602796196687,0.7920448038287248,0.9139671131979251,13,Bacillus subtilis
s__Staphylococcus_capitis--RS_GCF_002902325.1,s__Staphylococcus_capitis,174,0.7900860663385892,0.0073973956631792,0.0093627719540229,0.02541,0.007565,3.3588896232650365,175,2047,12009,7720.0,14056,0.5492316448491747,0.1456317586795674,0.8543682413204325,97.07,48,9,2.7673125589375416,0.2742857142857143,True,0.5048548903423146,1.3869975713088871,0.8110111615368374,0.9009545410626797,14,Staphylococcus capitis
s__Enterobacter_cloacae--RS_GCF_000025565.1,s__Enterobacter_cloacae,215,0.8235470069992654,0.0094328707806132,0.0114539555124892,0.029546,0.006501,4.544839255499154,216,3750,37666,21547.0,41416,0.5202578713540661,0.0905447170175777,0.9094552829824224,98.17,19,8,2.86032077782006,0.0879629629629629,True,0.5789031757620903,1.4846759872711774,0.4778735497758695,0.8471509042697124,15,Enterobacter cloacae
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,s__Lacticaseibacillus_rhamnosus,240,0.5387949885011575,0.0068872367769418,0.0127826667358229,0.022985,0.014692,1.564456847263817,241,2120,17096,10533.0,19216,0.5481369691923397,0.1103247293921732,0.8896752706078268,98.41,39,10,3.0892806677760056,0.1618257261410788,False,-0.05124643519565061,1.7251325795863819,0.7984246879788637,0.8241036107898649,16,Lacticaseibacillus rhamnosus
s__Priestia_megaterium--RS_GCF_000832985.1,s__Priestia_megaterium,176,0.4885781911182654,0.0081118849742149,0.0166030435285053,0.030926,0.0204094999999999,1.5152747495039076,177,4202,40173,23428.0,44375,0.5279549295774648,0.0946929577464788,0.9053070422535212,96.85,32,16,3.3771350281625976,0.1807909604519774,False,-0.1623750428215994,2.027440894789323,0.5663735718582901,0.8104798079420045,17,Priestia megaterium
s__Staphylococcus_hominis--RS_GCF_002901845.1,s__Staphylococcus_hominis,240,0.5496540529304953,0.0087594546776009,0.0159363050829875,0.029451,0.015292,1.9259089720115097,241,1813,18887,12461.0,20700,0.6019806763285024,0.0875845410628019,0.912415458937198,97.91,94,12,2.3585599950660265,0.3900414937759336,False,-0.02721557753359075,0.9577204231256005,1.4175143625332123,0.782673069375074,18,Staphylococcus hominis
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,s__Stutzerimonas_stutzeri,148,0.1774917611783871,0.0024930078745722,0.0140457667331761,0.02029,0.014232,1.4256604834176505,149,3448,36374,22679.0,39822,0.5695093164582392,0.0865853046054944,0.9134146953945056,97.7,24,13,3.4885252948775505,0.1610738255033557,False,-0.8508020953664416,2.1444243714869793,1.044161844966365,0.7792613736956341,19,Stutzerimonas stutzeri
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,s__Enterobacter_hormaechei_A,2452,0.5654053595825789,0.0110332784826329,0.0195139262400669,0.039244,0.021256,1.8462551750094092,2453,3574,153463,95270.0,157037,0.6066723128944134,0.0227589676318319,0.977241032368168,96.68,204,15,2.2324805936240857,0.0831634732980024,True,0.007641698671994754,0.8253102300664449,1.4714583405615445,0.768136756433328,20,Enterobacter hormaechei A
s__Enterococcus_B_lactis--RS_GCF_015751045.1,s__Enterococcus_B_lactis,370,0.5633405272468208,0.0062723681937975,0.0111342392219712,0.029045,0.011627,2.4980648490582267,371,1973,25333,14120.0,27306,0.5171024683219805,0.0722551820112795,0.9277448179887204,98.27,56,18,3.2169714399236717,0.1509433962264151,False,0.0030722726151271584,1.859235054682054,0.44159303455648397,0.7679667872845549,21,Enterococcus B lactis
s__Gemmiger_qucibialis--GB_GCA_004000625.1,s__Gemmiger_qucibialis,87,0.3390112705085465,0.0024842101179237,0.0073278098223615,0.015974,0.007712,2.071317427385892,88,1719,17306,12239.0,19025,0.643311432325887,0.0903547963206307,0.9096452036793692,98.39,67,7,2.267513088501749,0.7613636363636364,True,-0.4933631683192521,0.8621018023379184,1.8927313496325435,0.7538233278837366,22,Gemmiger qucibialis
s__Proteus_mirabilis--RS_GCF_000160755.1,s__Proteus_mirabilis,520,0.6372700574344317,0.0033477997159176,0.0052533453860918,0.017748,0.004681,3.791497543259987,521,2917,42745,25873.0,45662,0.5666199465638825,0.0638824405413691,0.9361175594586308,98.91,38,7,2.4316235658358893,0.072936660268714,False,0.1666766078248566,1.0344527156379806,1.0109401527258794,0.7373564920629055,23,Proteus mirabilis
s__Xylella_fastidiosa--RS_GCF_011801475.1,s__Xylella_fastidiosa,139,0.7512254464051576,0.0114687766814233,0.0152667574511819,0.034879,0.01627,2.143761524277812,140,1625,15519,8988.0,17144,0.5242650489967335,0.0947853476434904,0.9052146523565096,98.43,20,7,2.6464393446594743,0.1428571428571428,False,0.4188572399594034,1.2600549823118277,0.5239476860980004,0.7342866361230772,24,Xylella fastidiosa
s__Streptococcus_salivarius--RS_GCF_000785515.1,s__Streptococcus_salivarius,152,0.2667158198139908,0.0076029725337711,0.0285058926728586,0.047456,0.0304595,1.558003250217502,153,1438,17321,11262.0,18759,0.6003518311210619,0.0766565381949997,0.9233434618050004,96.11,61,8,2.8325497182948567,0.3986928104575163,False,-0.6533513235199554,1.4555104668837506,1.3987860597656554,0.7336484010431502,25,Streptococcus salivarius
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,s__Ruminococcus_E_bromii_B,100,0.2523267055601311,0.0030653377690435,0.0121482891089108,0.018743,0.0120065,1.5610710864948152,101,1450,16870,11239.0,18320,0.6134825327510917,0.0791484716157205,0.9208515283842796,97.67,65,9,2.6631485604995695,0.6435643564356436,True,-0.6851940995498518,1.2776032135847446,1.5497615819050974,0.7140568986466634,26,Ruminococcus E bromii B
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,s__Streptomyces_albidoflavus,116,0.6465597195611632,0.0110089457622738,0.0170269588859416,0.033675,0.0163635,2.057933816115134,117,4436,37268,21663.0,41704,0.5194465758680222,0.1063686936504891,0.8936313063495108,98.0,25,11,2.8515107774704624,0.2136752136752136,False,0.18723441459990373,1.4754236127056253,0.46854535368505884,0.7104011269968625,27,Streptomyces albidoflavus
s__Alistipes_putredinis--RS_GCF_000154465.1,s__Alistipes_putredinis,68,0.5363396443755944,0.0045358623232009,0.0084570707587382,0.016875,0.010295,1.6391452161243325,69,1465,13447,9381.0,14912,0.6290906652360515,0.0982430257510729,0.9017569742489272,98.9,60,6,1.856800259079426,0.8695652173913043,False,-0.05668005478385099,0.43076595830851255,1.729222361529336,0.7011027550179992,28,Alistipes putredinis
s__Streptococcus_iniae--RS_GCF_003674745.1,s__Streptococcus_iniae,93,2.562477173735939,0.0008576395948555,0.000334691603752,0.006472,0.000142,45.57746478873239,94,1684,2951,1502.0,4635,0.3240560949298813,0.3633225458468176,0.6366774541531823,99.92,3,2,0.918295834051604,0.0319148936170212,False,4.427115293208679,-0.5548633410344933,-1.7780352717743069,0.6980722267999596,29,Streptococcus iniae
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,s__Pseudomonas_E_paracarnis,87,0.5936876031242287,0.0113959681607886,0.0191952267502612,0.036871,0.026082,1.4136569281496818,88,4390,27364,16782.0,31754,0.5285003464130503,0.1382502991749071,0.861749700825093,97.58,40,9,2.788953561377687,0.4545454545454545,True,0.0702296475082597,1.4097252276771863,0.5726447212497167,0.6841998654783876,30,Pseudomonas E paracarnis
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,s__Bacillus_A_thuringiensis_S,231,0.6629403849610276,0.0074547889733164,0.0112450367218987,0.023587,0.007983,2.954653638982838,232,4356,51058,27097.0,55414,0.4889919514924026,0.0786082939329411,0.9213917060670588,98.69,20,10,3.039353872151331,0.0862068965517241,False,0.22348444711379808,1.6726988229863202,0.11838106344222742,0.6715214445141152,31,Bacillus A thuringiensis S
s__Gemmiger_formicilis--RS_GCF_900167555.1,s__Gemmiger_formicilis,55,0.3386732963977317,0.0049950735356458,0.0147489441558441,0.030465,0.014506,2.100165448779815,56,1728,16187,10730.0,17915,0.5989394362266257,0.0964554842310912,0.9035445157689088,97.56,51,6,2.468505237312688,0.9107142857142856,True,-0.4941110971858043,1.0731863167237703,1.3825464815113662,0.6538739003497774,32,Gemmiger formicilis
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,s__Rhodococcus_qingshengii,68,0.3016780650850696,0.0033465326503497,0.0110930592497868,0.024212,0.010057,2.4074773789400417,69,5206,33484,21701.0,38690,0.5608942879296976,0.1345567330059447,0.8654432669940553,98.53,25,12,2.9582678680810868,0.3623188405797101,False,-0.5759806858262112,1.5875412688534138,0.9451070901642178,0.6522225577304736,33,Rhodococcus qingshengii
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,s__Lacticaseibacillus_paracasei,270,0.3334378073609979,0.0029292437188232,0.0087849777504441,0.016201,0.009227,1.7558252953289255,271,2056,26617,15041.0,28673,0.5245701531057092,0.0717050884106999,0.9282949115893,98.29,68,15,3.279405413969188,0.2509225092250922,False,-0.5056971129656829,1.9248040093429308,0.5274557432801196,0.6488542132191225,34,Lacticaseibacillus paracasei
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,s__Pseudomonas_E_fulva,93,1.3006176471178754,0.0086072293099444,0.0066178014184397,0.030965,0.004445,6.966254218222722,94,3865,15181,9323.0,19046,0.489499107424131,0.2029297490286674,0.7970702509713326,99.02,64,6,1.5595443801293052,0.6808510638297872,False,1.6346494347551588,0.11858404857855966,0.12421229270599347,0.625815258679904,35,Pseudomonas E fulva
s__Parabacteroides_merdae--GB_GCA_025151215.1,s__Parabacteroides_merdae,128,0.5659376991421577,0.0050366183521211,0.0088995985949612,0.020615,0.008614,2.3931971209658696,129,2644,31205,19102.0,33849,0.5643298177198736,0.0781116133416053,0.9218883866583948,99.0,84,9,2.2850672545784834,0.6511627906976745,True,0.008819753767566527,0.8805374111100874,0.9846084754299678,0.6246552134358739,36,Parabacteroides merdae
s__Treponema_pallidum--RS_GCF_000410535.2,s__Treponema_pallidum,94,1.98879815167878,0.0011915350735909,0.0005991231802911,0.009105,7.4e-05,123.04054054054056,95,954,1705,1327.0,2659,0.4990597969161339,0.3587814968033095,0.6412185031966905,99.92,1,0,-1.4428232973175177e-12,0.0105263157894736,True,3.1575769262090514,-1.5192693207723875,0.23414016470691598,0.6241492567145266,37,Treponema pallidum
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,s__Limosilactobacillus_fermentum,117,0.4547295862374818,0.0038909947885972,0.0085567222946545,0.017429,0.007345,2.3729067392784207,118,1399,12596,7043.0,13995,0.5032511611289746,0.0999642729546266,0.9000357270453734,98.63,36,10,3.15935443454856,0.3050847457627119,False,-0.23728122016702816,1.7987249418645994,0.2823320601851446,0.6145919272942386,38,Limosilactobacillus fermentum
s__Alistipes_onderdonkii--GB_GCA_025145285.1,s__Alistipes_onderdonkii,83,0.627316818034276,0.0121534983684062,0.0193737805507745,0.040589,0.018072,2.245960602036299,84,1940,15558,9966.0,17498,0.5695508058063778,0.1108698136929934,0.8891301863070065,97.58,65,9,2.0634674052498116,0.7738095238095238,False,0.14465031993808947,0.6478104271943116,1.0446388854303819,0.6123665441875943,39,Alistipes onderdonkii
s__Cutibacterium_acnes--RS_GCF_003030305.1,s__Cutibacterium_acnes,360,0.8695105336130113,0.0085898724022917,0.0098789745152354,0.028332,0.007179,3.946510656080234,361,1860,12321,7886.0,14181,0.5560961850363162,0.1311614131584514,0.8688385868415486,99.04,109,10,1.6437089527090436,0.3019390581717451,True,0.6806193938477936,0.2069747545667727,0.8899389727233075,0.5925110403792913,40,Cutibacterium acnes
s__Bacillus_A_cereus--RS_GCF_000007825.1,s__Bacillus_A_cereus,248,0.4723380564037788,0.0065789673191015,0.0139285141857753,0.027438,0.01166,2.3531732418524873,249,4344,55132,31165.0,59476,0.5239928710740467,0.0730378640123747,0.9269621359876252,98.57,41,15,2.824500604832087,0.1646586345381526,False,-0.19831408418893226,1.4470571854169034,0.5208182109830911,0.5898537707370207,41,Bacillus A cereus
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,s__Phascolarctobacterium_faecium,80,0.5367596547480239,0.0035577223459521,0.0066281478395061,0.016186,0.006548,2.471899816737935,81,1793,9701,6580.0,11494,0.5724725943970768,0.1559944318775013,0.8440055681224987,98.74,72,8,2.09003283204776,0.8888888888888888,True,-0.05575058157350959,0.6757097767374248,1.078233324668343,0.5660641732774194,42,Phascolarctobacterium faecium
s__Agathobacter_rectalis--GB_GCA_000020605.1,s__Agathobacter_rectalis,227,0.3672206911519473,0.0065527218012522,0.0178440974572996,0.034597,0.017786,1.9451816035083775,228,1601,46917,28098.0,48518,0.5791252730945217,0.0329980625747145,0.9670019374252856,97.37,152,11,2.3623169773822044,0.6666666666666666,True,-0.4309363748673898,0.961666053800521,1.154725173182794,0.5618182840386418,43,Agathobacter rectalis
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,s__Bacillus_A_bombysepticus,621,0.4221775910315469,0.0048737375847808,0.0115442829944441,0.022762,0.011402,1.9963164357130327,622,4352,79200,42862.0,83552,0.5129978935273841,0.0520873228648027,0.9479126771351972,98.47,29,12,2.9658856363751323,0.0466237942122186,False,-0.3093180303821396,1.5955415461307372,0.3943990353144819,0.5602075170210264,44,Bacillus A bombysepticus
s__Blautia_A_massiliensis--RS_GCF_001487165.1,s__Blautia_A_massiliensis,80,0.448223801668537,0.0062288182856012,0.0138966700617283,0.030081,0.0114065,2.637180554946741,81,2034,23424,13773.0,25458,0.5410087202451096,0.0798962997878859,0.920103700212114,97.97,53,8,2.6004443016867222,0.654320987654321,False,-0.25167837049002995,1.2117504024190464,0.7164647792800967,0.558845603736371,45,Blautia A massiliensis
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,s__Pseudomonas_E_alloputida,127,0.5451710323747316,0.0103419441183223,0.018970091043307,0.037102,0.0214159999999999,1.732443033246171,128,4147,38600,22481.0,42747,0.5259082508714061,0.0970126558588906,0.9029873441411094,97.49,30,8,2.5608725820087415,0.234375,False,-0.03713639802164217,1.1701916784536803,0.5428410604201951,0.5586321136174112,46,Pseudomonas E alloputida
s__Staphylococcus_xylosus--RS_GCF_002732165.1,s__Staphylococcus_xylosus,65,0.5337877890193358,0.0050830274426941,0.0095225622377622,0.017712,0.011929,1.484784977785229,66,2295,7943,5220.0,10238,0.5098652080484469,0.2241648759523344,0.7758351240476655,98.39,13,7,2.7534343861772435,0.1969696969696969,False,-0.062327251486611224,1.372422537532687,0.3583797242976555,0.5561583367812437,47,Staphylococcus xylosus
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,s__Enterococcus_D_gallinarum,94,0.7026373181527555,0.004028746290203,0.0057337493840985,0.017468,0.006072,2.8768115942028984,95,2454,15990,9136.0,18444,0.4953372370418564,0.1330513988288874,0.8669486011711126,97.58,24,7,2.5341591278398803,0.2526315789473684,True,0.31133283933563943,1.1421368686804545,0.1913385356280053,0.548269414548033,48,Enterococcus D gallinarum
s__Blautia_A_wexlerae--GB_GCA_025148125.1,s__Blautia_A_wexlerae,174,0.2984268503052869,0.0040386400256448,0.0135330987192118,0.028565,0.01291,2.2126258714175058,175,2008,50353,31235.0,52361,0.5965317698286893,0.0383491529955501,0.96165084700445,97.46,144,7,2.26856103027363,0.8228571428571428,True,-0.5831755487087504,0.863202364132649,1.3548633689246994,0.5449633947828659,49,Blautia A wexlerae
s__Faecalibacterium_longum--RS_GCF_020687245.1,s__Faecalibacterium_longum,71,0.3038159304656216,0.0059215092970347,0.019490450312989,0.030627,0.019369,1.5812380608188343,72,1597,29674,19743.0,31271,0.6313517316363404,0.0510696811742509,0.9489303188257492,96.81,63,6,1.8693160981138683,0.875,True,-0.5712496393355125,0.4439102518560274,1.7552198816919193,0.5426268314041448,50,Faecalibacterium longum
s__Akkermansia_muciniphila--RS_GCF_000020225.1,s__Akkermansia_muciniphila,246,0.4140168465686273,0.0065655615038218,0.0158581989072117,0.026863,0.018092,1.484799911563122,247,1829,18006,10972.0,19835,0.5531635996975044,0.0922107385933955,0.9077892614066044,98.03,144,14,2.4761098372354904,0.582995951417004,True,-0.3273775685569972,1.0811727644099103,0.856220393532305,0.5366718631284061,51,Akkermansia muciniphila
s__Fimenecus_sp000432435--GB_GCA_000432435.1,s__Fimenecus_sp000432435,77,0.1932157227226383,0.002327322692484,0.0120452034632034,0.016857,0.012085,1.3948696731485313,78,1489,11668,8531.0,13157,0.648400091206202,0.1131716956753059,0.8868283043246941,98.39,61,6,1.8894583184139333,0.782051282051282,True,-0.8160053332501084,0.46506386813330486,1.95124025137227,0.5334329287518221,52,Fimenecus sp000432435
s__Bacteroides_uniformis--GB_GCA_025147485.1,s__Bacteroides_uniformis,400,0.5699373184335608,0.0106432676759825,0.0186744530174563,0.047363,0.016489,2.8723997816726303,401,2427,74048,41774.0,76475,0.54624387054593,0.0317358613926119,0.968264138607388,98.35,247,11,2.2016865836087103,0.6159600997506235,True,0.01767081847204179,0.7929699685759184,0.7766580250345532,0.5290996040275044,53,Bacteroides uniformis
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,s__Stenotrophomonas_maltophilia,302,0.3075654467477661,0.0048214070417372,0.0156760360850654,0.030767,0.015349,2.004495406866897,303,3572,42410,28092.0,45982,0.6109347135835762,0.0776825714409986,0.9223174285590012,97.98,13,4,2.038159681638739,0.0429042904290429,True,-0.5629520467883722,0.6212319335553408,1.5204670064916392,0.526248964419536,54,Stenotrophomonas maltophilia
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,s__Faecalibacterium_prausnitzii,75,0.2911386030235554,0.0070493136608431,0.0242129129824561,0.037871,0.025314,1.496049616812831,76,1779,20381,13069.0,22160,0.5897563176895307,0.0802797833935018,0.9197202166064982,96.65,54,6,2.287885387953257,0.7105263157894737,True,-0.5993042708627514,0.8834970506701787,1.276959883394205,0.5203842210672108,55,Faecalibacterium prausnitzii
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,s__Pseudomonas_E_asiatica,81,0.6432259026043222,0.0086318183242572,0.0134195751279735,0.028189,0.014214,1.9831855916701844,82,4270,25481,14016.0,29751,0.4711102147826964,0.1435245874088266,0.8564754125911734,98.33,34,8,2.7958921648186794,0.4146341463414634,True,0.17985675501582732,1.417012237376434,-0.08722139502303362,0.5032158657897426,56,Pseudomonas E asiatica
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,s__Leuconostoc_mesenteroides,124,0.4384566696304019,0.0024834178978859,0.0056639984516129,0.014571,0.005669,2.5702945845828187,125,1198,12921,7039.0,14119,0.498548055811318,0.0848502018556555,0.9151497981443444,98.86,35,10,2.921162659353546,0.28,False,-0.27329280710216086,1.5485729061000704,0.22825621557177608,0.5011787715232284,57,Leuconostoc mesenteroides
s__Enterococcus_B_faecium--RS_GCF_001544255.1,s__Enterococcus_B_faecium,2532,0.6003244008366548,0.0036038689080554,0.0060032024402687,0.0235,0.005053,4.650702552938848,2533,1971,73424,39204.0,75395,0.5199814311293852,0.0261423171297831,0.9738576828702168,99.3,339,14,2.3198247183720206,0.1338333991314646,True,0.08491672687840406,0.9170401422343957,0.4746950671298172,0.4922173120808723,58,Enterococcus B faecium
s__Klebsiella_grimontii--RS_GCF_900200035.1,s__Klebsiella_grimontii,202,0.9873308119128112,0.0087028134042971,0.0088144857825684,0.024605,0.00399,6.166666666666667,203,4708,35405,18390.0,40113,0.458454865006357,0.1173684341734599,0.88263156582654,98.7,35,6,2.1726036347579964,0.1724137931034483,False,0.9413529364057895,0.7624266853114758,-0.23273136807508135,0.490349417880728,59,Klebsiella grimontii
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,s__Acinetobacter_radioresistens,75,0.381524366929419,0.003892220159434,0.0102017603508771,0.015983,0.011479,1.3923686732293754,76,2429,13861,9254.0,16290,0.5680785758133824,0.149109883364027,0.850890116635973,98.52,11,5,2.222191575498022,0.1447368421052631,False,-0.3992826722036478,0.8145045721962448,1.0277113290693793,0.48097774302065877,60,Acinetobacter radioresistens
s__Campylobacter_D_coli--RS_GCF_000254135.1,s__Campylobacter_D_coli,1129,0.6695994980174194,0.008467228407808,0.0126452131951684,0.051716,0.009816,5.268541157294213,1130,1420,26559,13253.0,27979,0.473676686085993,0.0507523499767682,0.9492476500232316,98.67,9,6,2.6416041678584943,0.0079646017699115,False,0.23822090982244357,1.2549770180577877,-0.057712359177991376,0.47849518956741327,61,Campylobacter D coli
s__Listeria_monocytogenes--RS_GCF_900187225.1,s__Listeria_monocytogenes,2211,0.3590979742308661,0.003064350023718,0.0085334650808917,0.034951,0.008934,3.9121334228788904,2212,2602,29548,17825.0,32150,0.5544323483670296,0.0809331259720062,0.9190668740279938,99.04,14,7,2.4066663167305906,0.0063291139240506,False,-0.4489117589743621,1.0082422947883878,0.8708083415523268,0.4767129591221175,62,Listeria monocytogenes
s__Parabacteroides_distasonis--RS_GCF_000012845.1,s__Parabacteroides_distasonis,286,0.4333450566059498,0.0065010912154216,0.0150021123266976,0.035164,0.014952,2.3517924023542003,287,2696,52312,29659.0,55008,0.5391761198371146,0.0490110529377545,0.9509889470622456,98.19,156,13,2.4021129918593935,0.5435540069686411,False,-0.28460468814066675,1.0034603350204878,0.6953937191596498,0.4714164553464903,63,Parabacteroides distasonis
s__Lactococcus_lactis--RS_GCF_900099625.1,s__Lactococcus_lactis,290,0.5851164134571176,0.0050319482948764,0.0085999096575423,0.027705,0.007601,3.644915142744376,291,1702,33101,17205.0,34803,0.494353935005603,0.0489038301295865,0.9510961698704136,98.31,55,14,2.5670979826981006,0.1890034364261168,False,0.051261803618468375,1.1767296735402784,0.18003262505848772,0.4693413674057448,64,Lactococcus lactis
