species_id	biome_id	genome_count	total_genes	core_genes	soft_core_genes	shell_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000001415	human-gut	479	9083	0	491	1742	6850	0.754156115820764	0.0
MGYG000001447	human-gut	3	2544	1832	0	712	0	0.0	0.720125786163522
MGYG000001448	human-gut	20	2600	874	577	825	324	0.12461538461538461	0.33615384615384614
MGYG000001427	human-gut	5	1992	1374	0	618	0	0.0	0.6897590361445783
MGYG000001493	human-gut	431	19020	0	6	5872	13142	0.6909568874868559	0.0
MGYG000001494	human-gut	81	2908	0	154	2019	735	0.2527510316368638	0.0
MGYG000001455.1	human-gut	77	3706	1	128	1641	1936	0.5223961144090664	0.0002698327037236913
MGYG000001439	human-gut	147	10614	0	123	2387	8104	0.76351987940456	0.0
MGYG000001473	human-gut	4	3490	2237	0	1253	0	0.0	0.640974212034384
MGYG000001429	human-gut	292	6738	1	213	1906	4618	0.6853665776194716	0.00014841199168892847
MGYG000001463	human-gut	3	1858	1071	0	787	0	0.0	0.5764262648008611
MGYG000001495	human-gut	5	1984	473	0	1511	0	0.0	0.23840725806451613
MGYG000001440	human-gut	682	4605	0	497	1442	2666	0.5789359391965255	0.0
MGYG000001430	human-gut	12	4205	1217	0	2621	367	0.08727705112960761	0.28941736028537457
MGYG000001464	human-gut	3	3153	1292	0	1861	0	0.0	0.4097684744687599
MGYG000001409	human-gut	16	2628	107	0	1867	654	0.24885844748858446	0.04071537290715373
MGYG000001441	human-gut	7	2195	359	0	1691	145	0.06605922551252848	0.16355353075170842
MGYG000001420	human-gut	32	5216	101	309	2598	2208	0.4233128834355828	0.019363496932515337
MGYG000001431	human-gut	120	2046	1256	42	320	428	0.20918866080156404	0.613880742913001
MGYG000001456.1	human-gut	96	5961	0	70	2484	3407	0.5715483979198122	0.0
MGYG000001421	human-gut	17	4119	655	0	2754	710	0.172371934935664	0.15901917941247876
MGYG000001466	human-gut	6	4678	3146	0	1532	0	0.0	0.6725096194955109
MGYG000004900	human-gut	3	1859	1530	0	329	0	0.0	0.8230231307154384
MGYG000004903	human-gut	4	2391	722	0	1669	0	0.0	0.30196570472605605
MGYG000004905	human-gut	4	2143	739	0	1404	0	0.0	0.34484367708819413
MGYG000000873	human-gut	20	1956	680	391	583	302	0.15439672801635992	0.3476482617586912
MGYG000000851	human-gut	3	1965	1138	0	827	0	0.0	0.5791348600508905
MGYG000000885	human-gut	3	1954	624	0	1330	0	0.0	0.3193449334698055
MGYG000000839	human-gut	106	6686	31	276	2421	3958	0.5919832485791205	0.004636553993419085
MGYG000000874	human-gut	8	1417	179	0	1182	56	0.03952011291460833	0.12632321806633734
MGYG000000813	human-gut	20	2663	673	646	1023	321	0.12054074352234322	0.25272249342846415
MGYG000000852	human-gut	3	2399	1196	0	1203	0	0.0	0.49854105877448934
MGYG000000886	human-gut	5	3054	2051	0	1003	0	0.0	0.6715782580222659
MGYG000000863	human-gut	9	2314	1131	0	698	485	0.20959377700950735	0.4887640449438202
MGYG000000840	human-gut	4	2414	1351	0	1063	0	0.0	0.5596520298260149
MGYG000000875	human-gut	47	3014	43	197	1645	1129	0.3745852687458527	0.014266755142667552
MGYG000000853	human-gut	3	2653	1957	0	696	0	0.0	0.7376554843573313
MGYG000000887	human-gut	37	3226	193	141	1418	1474	0.4569125852448853	0.05982641041537508
MGYG000000864	human-gut	18	2968	831	0	1897	240	0.08086253369272237	0.2799865229110512
MGYG000000803	human-gut	3	1066	902	0	164	0	0.0	0.8461538461538461
MGYG000000841	human-gut	6	2651	1020	0	1631	0	0.0	0.38476046774801964
MGYG000000854	human-gut	4	2391	1130	0	1261	0	0.0	0.4726056043496445
MGYG000000889	human-gut	13	2405	318	0	1784	303	0.125987525987526	0.13222453222453223
MGYG000000829	human-gut	7	3378	470	0	1991	917	0.27146240378922437	0.13913558318531677
MGYG000000865	human-gut	4	1452	784	0	668	0	0.0	0.5399449035812672
MGYG000000877	human-gut	148	6927	1	203	1753	4970	0.7174823155767287	0.00014436263894903998
MGYG000000830	human-gut	4	2311	1207	0	1104	0	0.0	0.5222847252271744
MGYG000000806	human-gut	9	3622	931	0	2278	413	0.11402540033130867	0.2570403092214246
MGYG000000843	human-gut	3	2395	1312	0	1083	0	0.0	0.5478079331941544
MGYG000000878	human-gut	16	2346	448	0	1590	308	0.13128729752770674	0.19096334185848252
MGYG000000894	human-gut	6	1682	336	0	1346	0	0.0	0.19976218787158145
MGYG000000832	human-gut	44	3538	25	113	1905	1495	0.4225551158846806	0.0070661390616167325
MGYG000000867	human-gut	9	1733	563	0	1107	63	0.0363531448355453	0.32487016733987306
MGYG000000879	human-gut	9	2027	869	0	1116	42	0.020720276270350273	0.4287123828317711
MGYG000000857	human-gut	7	2480	814	0	1136	530	0.21370967741935484	0.3282258064516129
MGYG000000896	human-gut	11	2363	545	0	1525	293	0.12399492170969106	0.23063901819720695
MGYG000000868	human-gut	4	1731	1330	0	401	0	0.0	0.7683419988445985
MGYG000000845	human-gut	3	1929	1748	0	181	0	0.0	0.9061689994815967
MGYG000000821	human-gut	4	1882	830	0	1052	0	0.0	0.4410201912858661
MGYG000000897	human-gut	3	1733	1233	0	500	0	0.0	0.7114829774956722
MGYG000000869	human-gut	3	787	567	0	220	0	0.0	0.7204574332909784
MGYG000000809	human-gut	4	3167	1133	0	2034	0	0.0	0.35775181559835806
MGYG000000846	human-gut	4	2066	1097	0	969	0	0.0	0.5309777347531461
MGYG000000898	human-gut	7	2171	859	0	1262	50	0.023030861354214647	0.39567019806540765
MGYG000000836	human-gut	92	3893	0	102	1611	2180	0.559979450295402	0.0
MGYG000000810	human-gut	72	3548	10	236	1919	1383	0.3897970687711387	0.002818489289740699
MGYG000000847	human-gut	10	2140	1340	0	725	75	0.035046728971962614	0.6261682242990654
MGYG000000860	human-gut	3	2080	1010	0	1070	0	0.0	0.4855769230769231
MGYG000000899	human-gut	4	1795	579	0	1216	0	0.0	0.3225626740947075
MGYG000000837	human-gut	3	3074	1174	0	1900	0	0.0	0.3819128171763175
MGYG000000872	human-gut	30	4125	314	357	1846	1608	0.38981818181818184	0.07612121212121212
MGYG000000850	human-gut	26	2309	372	477	896	564	0.24426158510177565	0.16110870506712863
MGYG000000861	human-gut	3	1814	996	0	818	0	0.0	0.5490628445424476
MGYG000003335	human-gut	34	3974	88	175	2769	942	0.23704076497232007	0.02214393558127831
MGYG000003375	human-gut	6	2674	2223	0	451	0	0.0	0.831338818249813
MGYG000003310	human-gut	23	2994	157	222	1669	946	0.31596526386105545	0.05243820975283901
MGYG000003388	human-gut	16	3123	467	0	1832	824	0.2638488632724944	0.1495357028498239
MGYG000003300	human-gut	4	1727	1001	0	726	0	0.0	0.5796178343949044
MGYG000003337	human-gut	3	1775	1194	0	581	0	0.0	0.6726760563380282
MGYG000003376	human-gut	5	1386	830	0	556	0	0.0	0.5988455988455988
MGYG000003311	human-gut	124	3034	20	213	1400	1401	0.46176664469347395	0.0065919578114700065
MGYG000003352	human-gut	3	2482	1290	0	1192	0	0.0	0.5197421434327155
MGYG000003312	human-gut	5	4089	2502	0	1587	0	0.0	0.6118855465884079
MGYG000003353	human-gut	24	2513	457	228	1024	804	0.31993633107839237	0.18185435734182254
MGYG000003302	human-gut	35	2073	290	228	1107	448	0.2161119150988905	0.13989387361312108
MGYG000003313	human-gut	7	2420	933	0	1077	410	0.16942148760330578	0.38553719008264464
MGYG000003355	human-gut	4	4531	2303	0	2228	0	0.0	0.5082763186934451
MGYG000003326	human-gut	100	6070	2	97	2654	3317	0.5464579901153213	0.00032948929159802305
MGYG000003303	human-gut	11	2548	435	0	1622	491	0.19270015698587128	0.1707221350078493
MGYG000003314	human-gut	5	1608	1547	0	61	0	0.0	0.9620646766169154
MGYG000003356	human-gut	3	1040	541	0	499	0	0.0	0.5201923076923077
MGYG000003343	human-gut	3	2077	1678	0	399	0	0.0	0.8078960038517092
MGYG000003357	human-gut	5	1868	728	0	1140	0	0.0	0.3897216274089936
MGYG000003385.1	human-gut	3	1253	1128	0	125	0	0.0	0.9002394253790902
MGYG000003344	human-gut	33	3588	168	318	1696	1406	0.3918617614269788	0.046822742474916385
MGYG000003358	human-gut	4	4581	2359	0	2222	0	0.0	0.5149530670159354
MGYG000003394	human-gut	4	1951	1443	0	508	0	0.0	0.7396207073295745
MGYG000003329	human-gut	8	1491	388	0	948	155	0.10395707578806171	0.2602280348759222
MGYG000003370	human-gut	4	2039	1082	0	957	0	0.0	0.5306522805296714
MGYG000003306	human-gut	195	4035	0	162	1533	2340	0.5799256505576208	0.0
MGYG000003372	human-gut	7	5878	2087	0	3054	737	0.1253827832596121	0.3550527390268799
MGYG000003307	human-gut	25	1979	234	252	1191	302	0.15260232440626578	0.11824153612935827
MGYG000003346	human-gut	10	2359	973	0	1278	108	0.04578211106401017	0.4124629080118694
MGYG000003383	human-gut	20	3120	423	520	1855	322	0.1032051282051282	0.13557692307692307
MGYG000003396	human-gut	3	3690	2806	0	884	0	0.0	0.7604336043360433
MGYG000003332	human-gut	4	2528	1265	0	1263	0	0.0	0.5003955696202531
MGYG000003308	human-gut	3	1534	880	0	654	0	0.0	0.5736636245110821
MGYG000003386	human-gut	7	4772	1374	0	3378	20	0.004191114836546521	0.287929589270746
MGYG000003320	human-gut	5	2313	1383	0	930	0	0.0	0.5979247730220493
MGYG000003361	human-gut	5	1974	206	0	1768	0	0.0	0.10435663627152988
MGYG000003334	human-gut	3	1971	854	0	1117	0	0.0	0.4332825976661593
MGYG000003374	human-gut	59	3265	22	163	1729	1351	0.4137825421133231	0.006738131699846861
MGYG000001770	human-gut	525	18856	0	247	2366	16243	0.861423419601188	0.0
MGYG000001709	human-gut	17	3299	97	0	1980	1222	0.37041527735677476	0.02940284934828736
MGYG000001747	human-gut	51	2369	13	150	1703	503	0.21232587589700294	0.005487547488391726
MGYG000001781	human-gut	6	2923	1059	0	1864	0	0.0	0.3622990078686281
MGYG000001760	human-gut	17	2815	136	0	2357	322	0.11438721136767319	0.04831261101243339
MGYG000001737	human-gut	699	8253	0	107	1716	6430	0.7791106264388707	0.0
MGYG000001710	human-gut	7	3727	1849	0	1832	46	0.012342366514623022	0.4961094714247384
MGYG000001748	human-gut	4	3747	2610	0	1137	0	0.0	0.6965572457966374
MGYG000001782	human-gut	6	2046	865	0	1181	0	0.0	0.4227761485826002
MGYG000001725	human-gut	5	2626	1464	0	1162	0	0.0	0.5575019040365575
MGYG000001793	human-gut	10	2798	1467	0	1111	220	0.07862759113652609	0.5243030736240172
MGYG000001738	human-gut	12	2942	378	0	2372	192	0.06526172671651938	0.12848402447314752
MGYG000001772	human-gut	13	2326	760	0	1398	168	0.07222699914015478	0.32674118658641443
MGYG000001711	human-gut	429	17708	0	26	2441	15241	0.8606844364129207	0.0
MGYG000001783	human-gut	7	2866	1256	0	1503	107	0.037334263782274946	0.43824145150034893
MGYG000001726	human-gut	4	1659	1047	0	612	0	0.0	0.6311030741410488
MGYG000001773	human-gut	4	1335	893	0	442	0	0.0	0.6689138576779026
MGYG000001712	human-gut	8	9097	2714	0	4035	2348	0.25810706826426294	0.2983401121248763
MGYG000001763	human-gut	434	8904	0	169	2057	6678	0.75	0.0
MGYG000001740	human-gut	9	1838	839	0	967	32	0.017410228509249184	0.45647442872687705
MGYG000001774	human-gut	8	2504	729	0	1678	97	0.03873801916932907	0.29113418530351437
MGYG000001752	human-gut	16	1718	545	0	699	474	0.2759022118742724	0.3172293364377183
MGYG000001785	human-gut	5	1598	1061	0	537	0	0.0	0.6639549436795995
MGYG000001728	human-gut	3	1942	734	0	1208	0	0.0	0.3779608650875386
MGYG000001764	human-gut	50	3288	9	79	1779	1421	0.43217761557177614	0.002737226277372263
MGYG000001741	human-gut	20	3145	226	365	1656	898	0.28553259141494436	0.07186009538950715
MGYG000001714	human-gut	174	7252	0	121	2506	4625	0.6377551020408163	0.0
MGYG000001729	human-gut	43	2639	41	361	1741	496	0.18794998105342933	0.015536187949981054
MGYG000001765	human-gut	11	2365	444	0	1608	313	0.13234672304439746	0.18773784355179704
MGYG000001704	human-gut	117	10781	0	52	2462	8267	0.7668119840460068	0.0
MGYG000001742	human-gut	11	3124	653	0	2200	271	0.08674775928297056	0.2090268886043534
MGYG000001776	human-gut	13	2154	236	0	1712	206	0.09563602599814298	0.1095636025998143
MGYG000001715	human-gut	3	1750	1362	0	388	0	0.0	0.7782857142857142
MGYG000001754	human-gut	3	1651	1359	0	292	0	0.0	0.823137492428831
MGYG000001705	human-gut	22	7160	798	1118	2889	2355	0.32891061452513964	0.11145251396648044
MGYG000001743	human-gut	3	1244	713	0	531	0	0.0	0.5731511254019293
MGYG000001777	human-gut	4	2376	1720	0	656	0	0.0	0.7239057239057239
MGYG000001717	human-gut	9	1957	325	0	1527	105	0.05365355135411344	0.1660705160960654
MGYG000001756	human-gut	192	5352	0	196	2411	2745	0.5128923766816144	0.0
MGYG000001767	human-gut	22	2338	244	280	1039	775	0.3314798973481608	0.10436270316509838
MGYG000001706	human-gut	5	2240	756	0	1484	0	0.0	0.3375
MGYG000001757	human-gut	65	3932	32	311	1931	1658	0.42166836215666326	0.008138351983723296
MGYG000001789	human-gut	25	5537	582	620	2726	1609	0.2905905725121907	0.10511107097706339
MGYG000001733	human-gut	3	1722	1272	0	450	0	0.0	0.7386759581881533
MGYG000001768	human-gut	4	1299	992	0	307	0	0.0	0.7636643571978445
MGYG000001707	human-gut	114	7854	22	336	1848	5648	0.7191240132416603	0.0028011204481792717
MGYG000001745	human-gut	52	4128	49	362	2164	1553	0.3762112403100775	0.01187015503875969
MGYG000001779	human-gut	4	2455	1553	0	902	0	0.0	0.6325865580448066
MGYG000001720	human-gut	10	3295	1202	0	1980	113	0.03429438543247344	0.3647951441578149
MGYG000001790	human-gut	4	1865	1375	0	490	0	0.0	0.7372654155495979
MGYG000001735	human-gut	3	4408	3703	0	705	0	0.0	0.8400635208711433
MGYG000001769	human-gut	88	4032	1	178	1942	1911	0.4739583333333333	0.000248015873015873
MGYG000001746	human-gut	4	1705	965	0	740	0	0.0	0.5659824046920822
MGYG000001780	human-gut	3	5433	4269	0	1164	0	0.0	0.785753727222529
MGYG000001723	human-gut	16	3003	225	0	2297	481	0.16017316017316016	0.07492507492507493
MGYG000001791	human-gut	3	1609	1179	0	430	0	0.0	0.7327532628962088
MGYG000004209	human-gut	12	2595	366	0	1827	402	0.15491329479768787	0.14104046242774568
MGYG000004275	human-gut	119	4545	19	136	1954	2436	0.5359735973597359	0.004180418041804181
MGYG000004253	human-gut	45	3500	42	289	2062	1107	0.3162857142857143	0.012
MGYG000004286	human-gut	5	2422	937	0	1485	0	0.0	0.3868703550784476
MGYG000004232	human-gut	7	3934	1377	0	1548	1009	0.25648195221148956	0.3500254194204372
MGYG000004276	human-gut	21	2500	163	295	1462	580	0.232	0.0652
MGYG000004221	human-gut	33	2322	31	161	1610	520	0.2239448751076658	0.013350559862187769
MGYG000004254	human-gut	77	3780	48	344	961	2427	0.6420634920634921	0.012698412698412698
MGYG000004200	human-gut	58	3558	29	246	1599	1684	0.47329960652051717	0.008150646430578976
MGYG000004265	human-gut	7	2721	1204	0	1405	112	0.04116133774347666	0.4424843807423741
MGYG000004298	human-gut	5	2037	1307	0	730	0	0.0	0.6416298478154149
MGYG000004222	human-gut	19	2492	549	0	1331	612	0.24558587479935795	0.22030497592295345
MGYG000004288	human-gut	16	2725	306	0	1791	628	0.23045871559633027	0.11229357798165138
MGYG000004201	human-gut	14	3049	45	0	2203	801	0.2627090849458839	0.014758937356510331
MGYG000004234	human-gut	16	4422	464	0	2954	1004	0.22704658525554047	0.10492989597467209
MGYG000004245	human-gut	822	7108	1	245	1526	5336	0.7507034327518289	0.00014068655036578504
MGYG000004278	human-gut	6	1664	769	0	895	0	0.0	0.4621394230769231
MGYG000004223	human-gut	9	2676	348	0	1991	337	0.12593423019431987	0.13004484304932734
MGYG000004256	human-gut	426	6409	1	490	1600	4318	0.6737400530503979	0.00015603058199407084
MGYG000004289	human-gut	85	2650	16	378	1166	1090	0.41132075471698115	0.0060377358490566035
MGYG000004246	human-gut	11	2177	403	0	1480	294	0.13504823151125403	0.18511713367018834
MGYG000004279	human-gut	13	1779	207	0	1486	86	0.04834176503653738	0.1163575042158516
MGYG000004257	human-gut	5	1564	1237	0	327	0	0.0	0.790920716112532
MGYG000004290	human-gut	8	3299	1405	0	1614	280	0.08487420430433465	0.4258866323128221
MGYG000004236	human-gut	88	4105	4	160	1734	2207	0.5376370280146163	0.00097442143727162
MGYG000004214	human-gut	21	2355	109	236	1565	445	0.18895966029723993	0.04628450106157112
MGYG000004226	human-gut	17	1558	168	0	1135	255	0.16367137355584083	0.10783055198973042
MGYG000004258	human-gut	3	2149	1490	0	659	0	0.0	0.693345742205677
MGYG000004237	human-gut	144	6694	95	588	1192	4819	0.7198984164923813	0.014191813564386018
MGYG000004248	human-gut	68	6651	33	602	1760	4256	0.6399037738685912	0.004961659900766802
MGYG000004205	human-gut	53	2866	54	327	1199	1286	0.4487090020935101	0.01884159106769016
MGYG000004216	human-gut	5	1329	715	0	614	0	0.0	0.5379984951091046
MGYG000004249	human-gut	5	1370	382	0	988	0	0.0	0.27883211678832115
MGYG000004282	human-gut	132	4303	1	144	2039	2119	0.49244712990936557	0.00023239600278875203
MGYG000004228	human-gut	3	1298	828	0	470	0	0.0	0.637904468412943
MGYG000004260	human-gut	8	1865	778	0	797	290	0.1554959785522788	0.4171581769436997
MGYG000004271	human-gut	26	6727	738	640	2344	3005	0.4467072989445518	0.10970715028987661
MGYG000004261	human-gut	4	1123	616	0	507	0	0.0	0.5485307212822796
MGYG000004207	human-gut	161	4947	3	212	1657	3075	0.6215888417222559	0.0006064281382656155
MGYG000004284	human-gut	20	2551	33	193	1839	486	0.19051352410819286	0.012936103488827911
MGYG000004230	human-gut	8	4246	1628	0	2046	572	0.13471502590673576	0.38341968911917096
MGYG000004262	human-gut	63	5959	14	300	1971	3674	0.6165464004027521	0.0023493874811209934
MGYG000004208	human-gut	4	2356	861	0	1495	0	0.0	0.3654499151103565
MGYG000004241	human-gut	4	2041	869	0	1172	0	0.0	0.4257716805487506
MGYG000004219	human-gut	4	2296	1357	0	939	0	0.0	0.5910278745644599
MGYG000004285	human-gut	14	2877	174	0	2494	209	0.07264511644073687	0.06047966631908238
MGYG000000519	human-gut	136	2991	10	286	1269	1426	0.4767636242059512	0.003343363423604146
MGYG000000584	human-gut	69	5475	34	490	2176	2775	0.5068493150684932	0.006210045662100457
MGYG000000530	human-gut	1087	7135	0	570	1220	5345	0.7491240364400841	0.0
MGYG000000562	human-gut	1057	14324	0	122	2438	11764	0.8212789723540911	0.0
MGYG000000595	human-gut	7	2480	762	0	1177	541	0.21814516129032258	0.307258064516129
MGYG000000509	human-gut	7	1271	794	0	474	3	0.0023603461841070024	0.6247049567269867
MGYG000000541	human-gut	3	1885	1340	0	545	0	0.0	0.7108753315649867
MGYG000000520	human-gut	15	1856	312	0	1294	250	0.13469827586206898	0.16810344827586207
MGYG000000585	human-gut	6	2806	479	0	2327	0	0.0	0.1707056307911618
MGYG000000552	human-gut	3	1051	895	0	156	0	0.0	0.851569933396765
MGYG000000531	human-gut	23	3118	7	65	2128	918	0.2944194996792816	0.0022450288646568314
MGYG000000596	human-gut	36	2850	514	445	968	923	0.323859649122807	0.18035087719298246
MGYG000000510	human-gut	17	3216	1377	0	1339	500	0.15547263681592038	0.4281716417910448
MGYG000000542	human-gut	31	2476	222	377	1298	579	0.2338449111470113	0.08966074313408724
MGYG000000575	human-gut	35	8020	117	312	4336	3255	0.40586034912718205	0.014588528678304239
MGYG000000553	human-gut	9	2937	729	0	1949	259	0.08818522301668369	0.24821246169560776
MGYG000000500	human-gut	28	3889	209	295	1913	1472	0.3785034713293906	0.053741321676523526
MGYG000000532	human-gut	167	7217	26	634	1853	4704	0.6517943743937924	0.003602604960509907
MGYG000000564	human-gut	5	2032	1101	0	931	0	0.0	0.5418307086614174
MGYG000000511	human-gut	20	2591	690	406	994	501	0.19336163643380935	0.2663064453878811
MGYG000000543	human-gut	14	4429	803	0	2200	1426	0.32196884172499435	0.18130503499661324
MGYG000000522	human-gut	8	2043	860	0	1019	164	0.08027410670582477	0.4209495839451787
MGYG000000501	human-gut	10	2973	769	0	2103	101	0.0339724184325597	0.25866128489741
MGYG000000533	human-gut	42	4200	10	142	2080	1968	0.4685714285714286	0.002380952380952381
MGYG000000598	human-gut	4	1978	846	0	1132	0	0.0	0.4277047522750253
