species_id	biome_id	gtdb_phylum	length	genome_type	AA	CB	CE	GH	GT	PL	total_cazy	cazy_density	genome_count	total_genes	core_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000000039	human-gut	Firmicutes_A	2852528	Isolate	0.0	3.0	1.0	20.0	19.0	0.0	43.0	15.074348087030172	221	7412	0	5316	0.7172153264975715	0.0
MGYG000000043	human-gut	Bacteroidota	4186633	Isolate	0.0	4.0	0.0	57.0	15.0	1.0	77.0	18.391867641610816	55	7583	57	4407	0.5811684030067256	0.0075168139258868
MGYG000000044	human-gut	Bacteroidota	4305808	Isolate	0.0	1.0	1.0	43.0	22.0	2.0	69.0	16.024866877482694	1780	45669	0	42286	0.9259234929602136	0.0
MGYG000000045	human-gut	Firmicutes	2725575	Isolate	0.0	4.0	0.0	20.0	50.0	1.0	75.0	27.517129413059628	1268	36186	0	33054	0.9134471895208092	0.0
MGYG000000046	human-gut	Firmicutes_C	2561300	Isolate	0.0	1.0	0.0	3.0	13.0	0.0	17.0	6.637254519189474	32	3664	174	1326	0.3618995633187773	0.0474890829694323
MGYG000000047	human-gut	Firmicutes_A	3449564	Isolate	0.0	4.0	2.0	12.0	29.0	0.0	47.0	13.624910278516356	6	3819	590	0	0.0	0.1544907043728725
MGYG000000048	human-gut	Firmicutes_A	2457263	Isolate	0.0	4.0	2.0	14.0	18.0	0.0	38.0	15.464360143785992	6	2575	576	0	0.0	0.2236893203883495
MGYG000000050	human-gut	Firmicutes_A	3891993	Isolate	0.0	5.0	1.0	23.0	18.0	5.0	52.0	13.360764009596112	11	3880	852	750	0.1932989690721649	0.2195876288659793
MGYG000000051	human-gut	Firmicutes_A	3561714	Isolate	0.0	3.0	0.0	8.0	22.0	0.0	33.0	9.265202090903426	7	3676	732	803	0.2184439608269858	0.1991294885745375
MGYG000000052	human-gut	Firmicutes_A	3276064	Isolate	0.0	2.0	0.0	14.0	14.0	0.0	30.0	9.157330259726306	17	4826	608	1034	0.2142561127227517	0.1259842519685039
MGYG000000056	human-gut	Bacteroidota	3326589	Isolate	0.0	2.0	2.0	53.0	14.0	0.0	71.0	21.343183663506373	3	2821	2239	0	0.0	0.793690180786955
MGYG000000059	human-gut	Firmicutes_A	2891162	Isolate	0.0	2.0	0.0	10.0	7.0	0.0	19.0	6.571752119044176	19	4844	246	2112	0.4360033030553262	0.0507844756399669
MGYG000000060	human-gut	Firmicutes_A	3237417	Isolate	0.0	3.0	1.0	12.0	14.0	1.0	31.0	9.575535063910518	3164	33186	0	30525	0.9198155848851924	0.0
MGYG000000061	human-gut	Actinobacteriota	2187920	Isolate	0.0	1.0	0.0	8.0	22.0	0.0	31.0	14.168708179458116	3	1847	1027	0	0.0	0.556036816459123
MGYG000000062	human-gut	Firmicutes_A	3141706	Isolate	0.0	5.0	0.0	10.0	12.0	0.0	27.0	8.594056859553376	88	7024	0	4269	0.6077733485193622	0.0
MGYG000000067	human-gut	Firmicutes_A	3714607	Isolate	0.0	5.0	0.0	12.0	8.0	2.0	27.0	7.268602035154728	6	3064	1129	0	0.0	0.3684725848563969
MGYG000000068	human-gut	Firmicutes_A	2999081	Isolate	0.0	2.0	0.0	14.0	10.0	0.0	26.0	8.66932236908573	7	3003	469	302	0.1005661005661005	0.1561771561771562
MGYG000000069	human-gut	Firmicutes_A	3104058	Isolate	0.0	2.0	0.0	40.0	15.0	0.0	57.0	18.363058937687374	282	8378	0	5648	0.6741465743614228	0.0
MGYG000000071	human-gut	Firmicutes_A	3929849	Isolate	0.0	1.0	0.0	22.0	11.0	0.0	34.0	8.651731911327891	3	4294	2675	0	0.0	0.6229622729389847
MGYG000000072	human-gut	Firmicutes_A	2657141	Isolate	0.0	3.0	0.0	41.0	11.0	1.0	56.0	21.075283547241188	182	6656	1	4236	0.6364182692307693	0.0001502403846153
MGYG000000074	human-gut	Bacteroidota	3215546	Isolate	0.0	2.0	3.0	31.0	14.0	0.0	50.0	15.549458785537512	2064	15265	0	12482	0.8176875204716673	0.0
MGYG000000075	human-gut	Firmicutes_A	3147737	Isolate	0.0	1.0	0.0	8.0	15.0	0.0	24.0	7.624525174752529	3	3127	716	0	0.0	0.228973456987528
MGYG000000076	human-gut	Firmicutes_A	4322432	Isolate	0.0	6.0	0.0	63.0	20.0	1.0	90.0	20.82161153720868	1056	33614	0	30400	0.9043850776462188	0.0
MGYG000000077	human-gut	Firmicutes_A	3191314	Isolate	0.0	3.0	0.0	9.0	13.0	2.0	27.0	8.460464874343295	86	13536	0	10585	0.7819887706855791	0.0
MGYG000000078	human-gut	Firmicutes_A	3035220	Isolate	0.0	6.0	1.0	15.0	6.0	1.0	29.0	9.554496873373266	1861	17395	0	15055	0.8654785858005174	0.0
MGYG000000084	human-gut	Firmicutes_A	3012248	Isolate	0.0	4.0	0.0	25.0	22.0	1.0	52.0	17.262854851260588	2168	21676	1	19542	0.9015501014947408	4.613397305775973e-05
MGYG000000085	human-gut	Actinobacteriota	2099732	Isolate	0.0	0.0	0.0	9.0	13.0	0.0	22.0	10.477527608285248	549	7632	0	5725	0.7501310272536688	0.0
MGYG000000086	human-gut	Firmicutes_A	3355718	Isolate	0.0	2.0	0.0	13.0	6.0	0.0	21.0	6.257975193386334	20	4494	433	1320	0.2937249666221629	0.0963506898086337
MGYG000000087	human-gut	Firmicutes_A	3398250	Isolate	0.0	4.0	0.0	10.0	10.0	0.0	24.0	7.0624586184065326	210	6784	4	4118	0.6070165094339622	0.0005896226415094
MGYG000000088	human-gut	Firmicutes	1948071	Isolate	0.0	5.0	0.0	15.0	23.0	0.0	43.0	22.07311745824459	167	3750	21	1945	0.5186666666666667	0.0056
MGYG000000089	human-gut	Firmicutes_A	3052732	Isolate	0.0	5.0	2.0	53.0	12.0	0.0	72.0	23.58543101720033	500	9176	1	6517	0.7102223190932868	0.0001089799476896
MGYG000000090	human-gut	Firmicutes_A	3326194	Isolate	0.0	2.0	0.0	10.0	9.0	0.0	21.0	6.313522302066566	30	3402	16	1332	0.3915343915343915	0.0047031158142269
MGYG000000091	human-gut	Proteobacteria	6684403	Isolate	0.0	3.0	2.0	13.0	24.0	0.0	42.0	6.283283638045163	4	6103	6101	0	0.0	0.9996722923152548
MGYG000000092	human-gut	Firmicutes_A	3774627	Isolate	0.0	5.0	2.0	38.0	22.0	2.0	69.0	18.279951899883088	23	4001	344	1407	0.3516620844788802	0.0859785053736565
MGYG000000093	human-gut	Proteobacteria	6212872	Isolate	0.0	6.0	2.0	57.0	49.0	0.0	114.0	18.349001878680266	38	8336	366	2856	0.3426103646833013	0.0439059500959692
MGYG000000094	human-gut	Actinobacteriota	2278136	Isolate	0.0	1.0	0.0	9.0	15.0	0.0	25.0	10.973883912110605	46	3403	7	1275	0.3746694093446958	0.0020570085218924
MGYG000000097	human-gut	Firmicutes	1849821	Isolate	0.0	3.0	0.0	13.0	14.0	0.0	30.0	16.217785396532964	23	2231	493	380	0.1703272075302555	0.2209771402958314
MGYG000000099	human-gut	Firmicutes_A	4030172	Isolate	0.0	1.0	0.0	14.0	9.0	0.0	24.0	5.955080825334502	638	16625	0	13231	0.7958496240601504	0.0
MGYG000000105	human-gut	Bacteroidota	3966587	Isolate	0.0	2.0	2.0	47.0	17.0	14.0	82.0	20.672684098445337	136	11882	27	8748	0.7362396902878303	0.0022723447231105
MGYG000000111	human-gut	Actinobacteriota	2484103	Isolate	0.0	3.0	0.0	28.0	13.0	1.0	45.0	18.11519087574066	22	2738	0	370	0.1351351351351351	0.0
MGYG000000117	human-gut	Bacteroidota	3354558	Isolate	0.0	2.0	1.0	22.0	16.0	0.0	41.0	12.222176513269408	20	3166	562	466	0.1471888818698673	0.1775110549589387
MGYG000000119	human-gut	Firmicutes_A	3510321	Isolate	0.0	5.0	3.0	50.0	16.0	0.0	74.0	21.08069319016694	39	5981	43	2730	0.4564454104664772	0.0071894332051496
MGYG000000121	human-gut	Firmicutes_A	4357692	Isolate	0.0	3.0	3.0	13.0	20.0	0.0	39.0	8.94969171754222	20	5703	638	1315	0.2305803962826582	0.1118709451166053
MGYG000000122	human-gut	Firmicutes	2560878	Isolate	0.0	2.0	1.0	3.0	11.0	0.0	17.0	6.638348253997261	421	6674	1	4375	0.655528918189991	0.0001498351813005
MGYG000000123	human-gut	Firmicutes_A	5803850	Isolate	0.0	4.0	2.0	61.0	21.0	0.0	88.0	15.162349130318669	64	10776	247	4841	0.4492390497401633	0.0229213066072754
MGYG000000124	human-gut	Proteobacteria	5038141	Isolate	0.0	3.0	2.0	27.0	41.0	0.0	73.0	14.489471414158515	7	6197	2621	1066	0.1720187187348717	0.422946587058254
MGYG000000128	human-gut	Bacteroidota	2906288	Isolate	0.0	1.0	0.0	10.0	11.0	1.0	23.0	7.913875018580402	41	3177	67	1013	0.3188542650299024	0.0210890777463015
MGYG000000129	human-gut	Firmicutes_A	2720267	Isolate	0.0	2.0	0.0	20.0	10.0	0.0	32.0	11.76355115141271	3	2219	1154	0	0.0	0.5200540784136999
MGYG000000130	human-gut	Firmicutes_A	1967735	Isolate	0.0	3.0	0.0	3.0	6.0	0.0	12.0	6.098382150035447	8	1825	281	203	0.1112328767123287	0.153972602739726
MGYG000000133	human-gut	Firmicutes_A	3329407	Isolate	0.0	8.0	0.0	25.0	15.0	0.0	48.0	14.416981762818423	185	9879	0	7046	0.7132300840166008	0.0
MGYG000000134	human-gut	Firmicutes	3163173	Isolate	0.0	1.0	1.0	21.0	24.0	2.0	49.0	15.49077461144237	15	4136	241	918	0.221953578336557	0.0582688588007737
MGYG000000136	human-gut	Firmicutes_A	3864718	Isolate	0.0	5.0	0.0	38.0	15.0	0.0	58.0	15.007563294398194	39	7923	236	4789	0.6044427615802095	0.0297866969582228
MGYG000000137	human-gut	Firmicutes_A	4141858	Isolate	0.0	4.0	2.0	40.0	17.0	0.0	63.0	15.210564920381143	8	3748	950	896	0.2390608324439701	0.2534685165421558
MGYG000000138	human-gut	Bacteroidota	4918317	Isolate	0.0	2.0	1.0	37.0	18.0	2.0	60.0	12.199295002741792	120	12365	8	8846	0.7154063890012131	0.0006469874646178
MGYG000000139	human-gut	Firmicutes_A	2758171	Isolate	0.0	2.0	1.0	35.0	14.0	1.0	53.0	19.215632388274692	69	9231	14	6685	0.7241902285776189	0.0015166287509478
MGYG000000140	human-gut	Firmicutes_A	3540083	Isolate	0.0	4.0	0.0	30.0	19.0	0.0	53.0	14.971400388069997	470	12618	0	10319	0.817799968299255	0.0
MGYG000000141	human-gut	Firmicutes_A	3466199	Isolate	0.0	4.0	0.0	10.0	16.0	0.0	30.0	8.65501374848934	43	7424	63	4637	0.6245959051724138	0.0084859913793103
MGYG000000142	human-gut	Firmicutes_A	3538621	Isolate	0.0	4.0	0.0	24.0	15.0	0.0	43.0	12.15162629736273	760	21518	0	19020	0.883911144158379	0.0
MGYG000000143	human-gut	Firmicutes	2958631	Isolate	0.0	1.0	0.0	6.0	14.0	0.0	21.0	7.097877362874924	28	4445	575	1305	0.2935883014623172	0.1293588301462317
MGYG000000146	human-gut	Firmicutes_A	3357525	Isolate	0.0	2.0	0.0	9.0	18.0	0.0	29.0	8.637314688647143	147	16997	0	14223	0.8367947284814967	0.0
MGYG000000148	human-gut	Firmicutes_A	2855693	Isolate	0.0	5.0	0.0	24.0	19.0	0.0	48.0	16.808529488288833	367	28043	0	25350	0.9039689048960524	0.0
MGYG000000150	human-gut	Firmicutes_A	7470188	Isolate	0.0	6.0	2.0	74.0	21.0	3.0	106.0	14.189736590297326	60	11347	193	4600	0.4053934960782586	0.0170089010311095
MGYG000000151	human-gut	Firmicutes_A	3486414	Isolate	0.0	5.0	0.0	28.0	30.0	1.0	64.0	18.356970801516976	113	8139	107	4239	0.5208256542572798	0.0131465782037105
MGYG000000153	human-gut	Firmicutes_A	2962513	Isolate	0.0	3.0	1.0	23.0	23.0	0.0	50.0	16.877563068921553	67	4744	49	2119	0.4466694772344013	0.0103288364249578
MGYG000000154	human-gut	Firmicutes_A	3005736	Isolate	0.0	5.0	0.0	27.0	28.0	0.0	60.0	19.96183297535113	995	30557	0	27936	0.9142258729587328	0.0
MGYG000000158	human-gut	Actinobacteriota	2308647	Isolate	0.0	1.0	0.0	9.0	10.0	0.0	20.0	8.663082749333267	3	2033	1548	0	0.0	0.7614363010329562
MGYG000000159	human-gut	Firmicutes_A	3206689	Isolate	0.0	4.0	0.0	16.0	13.0	0.0	33.0	10.29098861785474	154	7217	0	4301	0.5959539975058888	0.0
MGYG000000160	human-gut	Actinobacteriota	2098592	Isolate	0.0	1.0	1.0	11.0	13.0	0.0	26.0	12.389259084185968	28	2646	239	796	0.3008314436885865	0.0903250188964474
MGYG000000161	human-gut	Firmicutes	2049854	Isolate	0.0	3.0	0.0	14.0	20.0	0.0	37.0	18.050066004700824	47	3545	32	1517	0.4279266572637518	0.0090267983074753
MGYG000000162	human-gut	Firmicutes	3083830	Isolate	2.0	3.0	1.0	23.0	25.0	0.0	54.0	17.510692872175184	28	4234	223	1423	0.3360888049126121	0.05266887104393
MGYG000000163	human-gut	Firmicutes	2560730	Isolate	0.0	4.0	2.0	32.0	32.0	1.0	71.0	27.726468624181383	3	2831	2024	0	0.0	0.7149417167078771
MGYG000000165	human-gut	Firmicutes_A	3900136	Isolate	0.0	4.0	0.0	15.0	8.0	0.0	27.0	6.92283551137704	5	4708	1073	0	0.0	0.2279099405267629
MGYG000000167	human-gut	Actinobacteriota	2290750	Isolate	0.0	1.0	0.0	7.0	24.0	0.0	32.0	13.969224053257664	67	4180	0	2177	0.5208133971291866	0.0
MGYG000000168	human-gut	Bacteroidota	5206690	Isolate	0.0	1.0	2.0	15.0	17.0	0.0	35.0	6.722120963606437	9	4685	1936	137	0.0292422625400213	0.4132337246531483
MGYG000000170	human-gut	Bacteroidota	3119159	Isolate	0.0	2.0	1.0	16.0	13.0	0.0	32.0	10.259175630354209	141	5188	7	2905	0.5599460292983809	0.001349267540478
MGYG000000171	human-gut	Firmicutes_A	3528951	Isolate	0.0	5.0	0.0	25.0	18.0	3.0	51.0	14.451886693807875	7	3928	882	842	0.2143584521384928	0.2245417515274949
MGYG000000172	human-gut	Firmicutes_A	6502696	Isolate	0.0	4.0	0.0	20.0	25.0	0.0	49.0	7.5353361128984035	20	7837	959	1885	0.2405257113691463	0.1223682531580962
MGYG000000173	human-gut	Firmicutes	1989891	Isolate	0.0	0.0	0.0	1.0	6.0	0.0	7.0	3.517780622154681	16	2580	32	721	0.2794573643410852	0.0124031007751937
MGYG000000174	human-gut	Bacteroidota	6515109	Isolate	0.0	1.0	1.0	72.0	22.0	2.0	98.0	15.041958622641618	13	7111	1014	689	0.0968921389396709	0.1425959780621572
MGYG000000175	human-gut	Firmicutes_A	5056031	Isolate	0.0	3.0	1.0	31.0	15.0	0.0	50.0	9.88917987251265	9	5722	1993	651	0.1137714085983921	0.3483047885354771
MGYG000000176	human-gut	Firmicutes_A	5921605	Isolate	0.0	5.0	3.0	60.0	25.0	0.0	93.0	15.70520154586468	3	5633	2799	0	0.0	0.4968933072962897
MGYG000000177	human-gut	Firmicutes_A	2531065	Isolate	0.0	1.0	0.0	5.0	8.0	0.0	14.0	5.531268458139163	787	9676	0	7699	0.7956800330715171	0.0
MGYG000000179	human-gut	Firmicutes_A	6045490	Isolate	0.0	4.0	3.0	30.0	21.0	0.0	58.0	9.59392869726027	79	11861	0	6448	0.5436303852963493	0.0
MGYG000000182	human-gut	Firmicutes_C	2580820	Isolate	0.0	1.0	0.0	5.0	16.0	0.0	22.0	8.524422470377631	7	2705	772	426	0.1574861367837338	0.2853974121996303
MGYG000000183	human-gut	Bacteroidota	5449445	Isolate	0.0	1.0	2.0	11.0	17.0	0.0	31.0	5.688652697660037	216	11320	0	6655	0.5878975265017667	0.0
MGYG000000184	human-gut	Firmicutes_A	3628655	Isolate	0.0	3.0	1.0	30.0	16.0	0.0	50.0	13.779210203229573	4	2960	1032	0	0.0	0.3486486486486486
MGYG000000185	human-gut	Firmicutes_A	3231072	Isolate	0.0	2.0	0.0	13.0	12.0	2.0	29.0	8.975349357736379	746	12643	0	10405	0.8229850510163726	0.0
MGYG000000186	human-gut	Firmicutes	2274946	Isolate	0.0	0.0	0.0	0.0	6.0	0.0	6.0	2.6374252399837186	78	5574	2	3322	0.5959813419447435	0.0003588087549336
MGYG000000187	human-gut	Firmicutes_A	2804290	Isolate	0.0	4.0	1.0	16.0	13.0	1.0	35.0	12.48087751266809	197	8230	4	5613	0.6820170109356014	0.0004860267314702
MGYG000000190	human-gut	Firmicutes_A	2845821	Isolate	0.0	2.0	0.0	19.0	16.0	0.0	37.0	13.0015204751107	1662	22146	0	19665	0.8879707396369547	0.0
MGYG000000192	human-gut	Firmicutes	3744856	Isolate	0.0	0.0	0.0	5.0	13.0	1.0	19.0	5.073626329023066	16	4421	411	1025	0.2318479981904546	0.0929653924451481
MGYG000000193	human-gut	Firmicutes_A	4116467	Isolate	0.0	2.0	2.0	61.0	17.0	1.0	83.0	20.16292126233491	506	26937	0	23943	0.8888517652299811	0.0
MGYG000000194	human-gut	Firmicutes_A	3575329	Isolate	0.0	3.0	1.0	9.0	15.0	0.0	28.0	7.831447119971337	81	6523	13	3834	0.5877663651694006	0.0019929480300475
MGYG000000195	human-gut	Firmicutes_A	3389503	Isolate	0.0	3.0	1.0	23.0	23.0	0.0	50.0	14.751425208946564	244	9166	0	7085	0.7729653065677504	0.0
MGYG000000196	human-gut	Bacteroidota	6397762	Isolate	0.0	3.0	1.0	89.0	18.0	5.0	116.0	18.131340303062228	579	43365	3	38388	0.8852300242130751	6.918021445866483e-05
MGYG000000197	human-gut	Actinobacteriota	2366902	Isolate	0.0	1.0	0.0	8.0	15.0	0.0	24.0	10.139836799326714	117	5078	0	3155	0.6213076014178811	0.0
MGYG000000198	human-gut	Firmicutes_A	6476507	Isolate	0.0	4.0	0.0	25.0	21.0	0.0	50.0	7.720210909985893	12	8395	3203	956	0.1138773079213817	0.3815366289458011
MGYG000000199	human-gut	Firmicutes	2066544	Isolate	0.0	3.0	1.0	18.0	19.0	0.0	41.0	19.83988727072833	222	5679	1	3677	0.6474731466807536	0.0001760873393203
MGYG000000200	human-gut	Firmicutes_A	4193207	Isolate	0.0	3.0	3.0	39.0	18.0	0.0	63.0	15.024300016669818	103	13647	8	9770	0.715908258225251	0.0005862094233164
MGYG000000201	human-gut	Firmicutes_A	4594075	Isolate	0.0	4.0	6.0	42.0	15.0	0.0	67.0	14.584002220251085	54	7340	26	4322	0.5888283378746594	0.003542234332425
MGYG000000202	human-gut	Firmicutes_A	5162566	Isolate	0.0	5.0	6.0	66.0	24.0	3.0	104.0	20.14502090627025	6	4696	2808	0	0.0	0.5979557069846678
MGYG000000203	human-gut	Bacteroidota	4537596	Isolate	0.0	1.0	1.0	10.0	19.0	0.0	31.0	6.83181138206222	267	12725	0	8591	0.6751277013752456	0.0
MGYG000000204	human-gut	Firmicutes_A	2669882	Isolate	0.0	5.0	0.0	29.0	13.0	1.0	48.0	17.97832263747986	105	12116	12	9648	0.7963024100363156	0.0009904258831297
MGYG000000205	human-gut	Firmicutes_A	3701123	Isolate	0.0	3.0	0.0	13.0	12.0	0.0	28.0	7.565271405462612	531	13067	0	10403	0.796127649804852	0.0
MGYG000000206	human-gut	Firmicutes_A	2953222	Isolate	0.0	3.0	0.0	7.0	10.0	0.0	20.0	6.772264326894491	33	5522	134	2962	0.5363998551249547	0.0242665700833031
MGYG000000207	human-gut	Actinobacteriota	2229519	Isolate	0.0	1.0	0.0	7.0	20.0	0.0	28.0	12.558762674819098	3	2257	1597	0	0.0	0.7075764288879043
MGYG000000208	human-gut	Firmicutes_A	2761423	Isolate	0.0	2.0	2.0	25.0	10.0	2.0	41.0	14.847417436589756	593	39433	0	37128	0.9415464205107398	0.0
MGYG000000209	human-gut	Firmicutes_A	3107801	Isolate	0.0	9.0	1.0	32.0	14.0	0.0	56.0	18.01917175520569	1116	44596	0	41989	0.9415418423176968	0.0
MGYG000000210	human-gut	Actinobacteriota	2261682	Isolate	0.0	1.0	0.0	5.0	15.0	0.0	21.0	9.28512496451756	10	2717	666	491	0.1807140228192859	0.2451232977548767
MGYG000000211	human-gut	Bacteroidota	6486514	Isolate	0.0	2.0	3.0	124.0	15.0	7.0	151.0	23.27906792462022	22	8980	963	3392	0.377728285077951	0.1072383073496659
MGYG000000212	human-gut	Firmicutes_A	3683553	Isolate	0.0	5.0	0.0	23.0	20.0	0.0	48.0	13.030897071387328	151	15345	0	12012	0.7827956989247312	0.0
MGYG000000214	human-gut	Firmicutes_C	2033458	Isolate	0.0	0.0	0.0	3.0	10.0	0.0	13.0	6.393050655582756	134	4238	0	2318	0.5469561113732893	0.0
MGYG000000215	human-gut	Bacteroidota	3117648	Isolate	0.0	2.0	0.0	29.0	23.0	0.0	54.0	17.320749488075627	405	9404	0	7215	0.7672267120374309	0.0
MGYG000000216	human-gut	Firmicutes_A	3676052	Isolate	0.0	4.0	0.0	33.0	22.0	0.0	59.0	16.049827369144943	15	3618	353	974	0.2692095080154781	0.097567716970702
MGYG000000217	human-gut	Firmicutes_A	3654385	Isolate	0.0	3.0	0.0	54.0	22.0	0.0	79.0	21.61786456544672	1925	30927	2	27862	0.9008956575160862	6.466841271380994e-05
MGYG000000218	human-gut	Firmicutes_C	2599783	Isolate	0.0	0.0	1.0	1.0	15.0	0.0	17.0	6.539007294070313	33	2729	162	638	0.2337852693294247	0.0593624038109197
MGYG000000220	human-gut	Firmicutes_A	3018774	Isolate	0.0	0.0	0.0	7.0	6.0	0.0	13.0	4.306383982371652	12	3753	336	885	0.2358113509192645	0.0895283772981614
MGYG000000223	human-gut	Firmicutes	4368209	Isolate	0.0	0.0	0.0	15.0	25.0	1.0	41.0	9.385997785362376	16	5368	667	1060	0.1974664679582712	0.1242548435171386
MGYG000000224	human-gut	Bacteroidota	3747128	Isolate	0.0	3.0	1.0	54.0	17.0	9.0	84.0	22.417168562162807	10	4210	1204	842	0.2	0.2859857482185273
MGYG000000225	human-gut	Proteobacteria	2227305	Isolate	0.0	0.0	0.0	5.0	9.0	0.0	14.0	6.285623208316778	267	5212	1	3182	0.6105141980046047	0.0001918649270913
MGYG000000226	human-gut	Firmicutes	2363031	Isolate	1.0	5.0	1.0	18.0	30.0	0.0	55.0	23.27519190395725	68	5206	14	2687	0.5161352285824049	0.0026892047637341
MGYG000000228	human-gut	Actinobacteriota	2360516	Isolate	0.0	1.0	0.0	7.0	17.0	0.0	25.0	10.590904700497688	10	2778	587	624	0.2246220302375809	0.2113030957523398
