strain_id	full_name	taxon_id	genome_name	genome_id	external_id	size	genes	contigs
FW104-R3	Rhodanobacter denitrificans	1	FW104-R3.ncbi.1	109	NCBI:GCF_001617385.1	5145157	7275	4419
FW104-R3	Rhodanobacter denitrificans	1	FW104-R3.1	3208	KBase: 41372/833/1	3959116	3602	1
FW104-R3	Rhodanobacter denitrificans	1	FW104-R3.3	4240	NCBI:GCF_021560675.1	3959116	3629	1
FW215-L2	Pseudomonas sp. FW215-L2	3266	PseudoFW215-L2	4137	Contact: Adam Deutschbauer	7314884	6691	320
FW215-L2	Pseudomonas sp. FW215-L2	3266	FW215-L2.1	4163	KBase: 41372/139/1	7286480	6675	206
FW300-N1B4	Pseudomonas sp. FW300-N1B4	43	FW300-N1B4.ncbi.1	196	NCBI:GCA_017351775.1	6630486	6128	6
FW300-N1B4	Pseudomonas sp. FW300-N1B4	43	FW300-N1B4.2	197	ENIGMA Data Repository	6643592	6093	3
FW300-N1B4	Pseudomonas sp. FW300-N1B4	43	FW300-N1B4.1	1204	NCBI:GCF_001625455.1	6623530	6109	3
FW300-N2A2	Pseudomonas sp. FW300-N2A2	44	FW300-N2A2.ncbi.1	198	NCBI:GCA_017351735.1	6422247	5873	82
FW300-N2A2	Pseudomonas sp. FW300-N2A2	44	FW300-N2A2.2	199	ENIGMA Data Repository	6477553	5828	1
FW300-N2A2	Pseudomonas sp. FW300-N2A2	44	FW300-N2A2.1	200	KBase	6430689	5862	83
FW300-N2E2	Pseudomonas sp. FW300-N2E2	46	FW300-N2E2.2	204	ENIGMA Data Repository	6916500	7303	1
FW300-N2E2	Pseudomonas sp. FW300-N2E2	46	FW300-N2E2.ncbi.1	1208	NCBI:GCF_001623525.1	6921098	6146	1
FW300-N2E2	Pseudomonas sp. FW300-N2E2	46	FW300-N2E2.1	3521	ENIGMA Data Repository	6865507	6111	68
FW300-N2E3	Pseudomonas sp. FW300-N2E3	47	FW300-N2E3.ncbi.1	205	NCBI:GCA_017351665.1	6386303	5956	7
FW300-N2E3	Pseudomonas sp. FW300-N2E3	47	FW300-N2E3.2	206	ENIGMA Data Repository	6387023	5895	1
FW300-N2E3	Pseudomonas sp. FW300-N2E3	47	FW300-N2E3.1	1206	NCBI:GCF_001307155.1	6391871	5940	1
FW300-N2F2	Pseudomonas sp. FW300-N2F2	48	FW300-N2F2.ncbi.1	207	NCBI:GCA_017351655.1	7096068	6140	19
FW300-N2F2	Pseudomonas sp. FW300-N2F2	48	FW300-N2F2.2	208	ENIGMA Data Repository	7101363	6059	1
FW300-N2F2	Pseudomonas sp. FW300-N2F2	48	FW300-N2F2.1	209	KBase	7096664	6140	23
FW301-JW63	Environmental isolate FW301-JW63 Unconfirmed Organism.	2789	FW301-JW63.1	1971	KBase: 143381/13/1	4905761	4583	15
FW301-JW63	Environmental isolate FW301-JW63 Unconfirmed Organism.	2789	FW301-JW63.4	3258	KBase: 156527/410/3	4898890	4564	25
FW305-113	Pseudomonas sp. FW305-113	51	FW305-113.ncbi.1	233	NCBI:GCA_017351565.1	5642541	5118	111
FW305-113	Pseudomonas sp. FW305-113	51	FW305-113.1	234	KBase	5662561	5076	75
FW305-113	Pseudomonas sp. FW305-113	51	FW305-113.3	1253	ENIGMA Data Repository	5671872	5072	43
FW305-3	Pseudomonas sp. FW305-3	194	FW305-3.2	279	ENIGMA Data Repository	6991736	6258	1
FW305-3-2-15-A-LB2	Pseudomonas sp. GW456-A2	62	FW305-3-2-15-A-LB2.ncbi.1	283	NCBI:GCF_002881955.1	6598417	5993	107
FW305-3-2-15-A-LB2	Pseudomonas sp. GW456-A2	62	FW305-3-2-15-A-LB2.ncbi.2	284	NCBI:GCA_017351345.1	6560171	5949	87
FW305-3-2-15-A-LB2	Pseudomonas sp. GW456-A2	62	FW305-3-2-15-A-LB2.1	3207	KBase: 41372/58/1	6591154	5941	74
FW305-3-2-15-F-LB2	Pseudomonas sp. FW305-3-2-15-F-LB2	1008	FW305-3-2-15-F-LB2.2	316	ENIGMA Data Repository	3799508	3654	3
FW305-3-2-15-F-LB2	Pseudomonas sp. FW305-3-2-15-F-LB2	1008	FW305-3-2-15-F-LB2.1	317	KBase	3775289	3682	112
FW305-36	Environmental isolate FW305-36	27	FW305-36.1	331	KBase	6630357	6024	158
FW305-36	Environmental isolate FW305-36	27	FW305-36.3	3834	ENIGMA Data Repository	6636128	6027	67
FW305-C-10-2	Environmental isolate FW305-C-10-2	10	FW305-C-10-2.1	3836	ENIGMA Data Repository	4301706	4151	62
FW305-C-101	Environmental isolate FW305-C-101 Unconfirmed Organism: Environmental isolate FW305-C-101.	1247	FW305-C-101.1	388	KBase	5643712	5450	30
FW305-C-134A	Environmental isolate FW305-C-134A	1256	FW305-C-134A.2	391	ENIGMA Data Repository	8093374	7383	1
FW305-C-134A	Environmental isolate FW305-C-134A	1256	FW305-C-134A.1	392	KBase	8081408	7414	67
FW305-C-30-S16	Environmental isolate FW305-C-30-S16 Unconfirmed Organism.	157	FW305-C-30-S16.1	1295	ENIGMA Data Repository	3499716	3455	12
FW305-C-49	Environmental isolate FW305-C-49	1257	FW305-C-49.2	400	ENIGMA Data Repository	3603805	3123	1
FW305-C-49	Environmental isolate FW305-C-49	1257	FW305-C-49.1	3235	KBase: 143381/14/1	3586371	3156	7
FW306-02-B	Environmental isolate FW306-02-B	131	FW306-02-B.2	409	ENIGMA Data Repository	8244798	7439	4
FW306-02-B	Environmental isolate FW306-02-B	131	FW306-02-B.1	3236	KBase: 143381/15/1	8154996	7453	72
FW306-1C-G01B	Environmental isolate FW306-1C-G01B Unconfirmed Organism.	1217	FW306-1C-G01B.1	1278	ENIGMA Data Repository	7718061	6867	45
FW306-1C-G01B	Environmental isolate FW306-1C-G01B Unconfirmed Organism.	1217	FW306-1C-G01B.4	3428	KBase: 156527/660/2	7717466	6865	44
FW507-14D01	Environmental isolate FW507-14D01	1232	FW507-14D01.1	469	KBase	5172695	5342	347
FW507-14D01	Environmental isolate FW507-14D01	1232	FW507-14D01.3	3846	ENIGMA Data Repository	5196512	5371	39
FW507-14TSA	Environmental isolate FW507-14TSA	194	FW507-14TSA.2	471	ENIGMA Data Repository	6915558	6203	1
FW507-14TSA	Environmental isolate FW507-14TSA	194	FW507-14TSA.ncbi.2	472	NCBI:GCA_017350515.1	6881809	6357	53
FW507-14TSA	Environmental isolate FW507-14TSA	194	FW507-14TSA.1	473	KBase	6883327	6284	64
FW507-4G11	Cupriavidus basilensis	21	Cup4G11	29	NCBI:GCF_000832305.1	8421483	7689	2
FW507-4G11	Cupriavidus basilensis	21	FW507-4G11.2	476	ENIGMA Data Repository	8421254	7584	2
FW507-4G11	Cupriavidus basilensis	21	FW507-4G11.1	3204	KBase: 41372/154/1	8382093	7630	63
FW507-4G11	Cupriavidus basilensis	21	FW507-4G11.3	3848	ENIGMA Data Repository	8421443	7701	2
FW510-R12	Rhodanobacter thiooxydans FW510-R12	273	FW510-R12.2	479	ENIGMA Data Repository	4175437	3753	3
FW510-R12	Rhodanobacter thiooxydans FW510-R12	273	FW510-R12.ncbi.1	480	NCBI:GCF_021545845.1	4203948	3836	2
FW510-R12	Rhodanobacter thiooxydans FW510-R12	273	FW510-R12.1	481	KBase	4204225	3844	4
FW510-R12	Rhodanobacter thiooxydans FW510-R12	273	FW510-R12.3	4239	NCBI:GCF_021545845.1	4203948	3836	2
GW101-11A03	Environmental isolate GW101-11A03	1186	GW101-11A03.2	525	ENIGMA Data Repository	4753433	4360	1
GW101-11A03	Environmental isolate GW101-11A03	1186	GW101-11A03.1	526	KBase	5383492	4922	156
GW101-11D10	Environmental isolate GW101-11D10	1186	GW101-11D10.1	527	KBase	5546518	5059	451
GW101-20D03	Environmental isolate GW101-20D03	1186	GW101-20D03.1	529	KBase	5375203	4883	300
GW101-20D03	Environmental isolate GW101-20D03	1186	GW101-20D03.3	1270	ENIGMA Data Repository	51374	53	88
GW101-3H06	Environmental isolate GW101-3H06	194	GW101-3H06.2	532	ENIGMA Data Repository	6703114	6119	2
GW101-3H06	Environmental isolate GW101-3H06	194	GW101-3H06.ncbi.1	533	NCBI:GCA_017350295.1	6702868	6169	2
GW101-3H06	Environmental isolate GW101-3H06	194	GW101-3H06.kbase.1	534	KBase	6702868	6198	2
GW101-3H11	Acidovorax sp. GW101-3H11	2	acidovorax_3H11	2	NCBI:GCF_001633105.1	5442520	5005	39
GW101-3H11	Acidovorax sp. GW101-3H11	2	GW101-3H11.2	535	ENIGMA Data Repository	5475592	4956	1
GW101-3H11	Acidovorax sp. GW101-3H11	2	GW101-3H11.1	3210	KBase: 41372/325/1	5442520	4995	39
GW101-3H11	Acidovorax sp. GW101-3H11	2	GW101-3H11.4	3493	KBase: 156527/334/3	4684429	4359	72
GW247-26LB	Environmental isolate GW247-26LB	1262	GW247-26LB.2	537	ENIGMA Data Repository	3108688	2969	1
GW247-26LB	Environmental isolate GW247-26LB	1262	GW247-26LB.1	538	KBase	3068147	2984	31
GW247-4R2A	Environmental isolate GW247-4R2A	1235	GW247-4R2A.1	541	KBase	4298300	4073	64
GW456-11-11-14-LB4	Environmental isolate GW456-11-11-14-LB4	328	GW456-11-11-14-LB4.2	546	ENIGMA Data Repository	5243832	4318	1
GW456-11-11-14-LB4	Environmental isolate GW456-11-11-14-LB4	328	GW456-11-11-14-LB4.1	547	KBase	5173199	4297	209
GW456-11-11-14-TSB2	Pseudomonas sp. FW507-14D01	831	GW456-11-11-14-TSB2.ncbi.1	548	NCBI:GCF_002882255.1	7093041	6672	278
GW456-11-11-14-TSB2	Pseudomonas sp. FW507-14D01	831	GW456-11-11-14-TSB2.ncbi.2	549	NCBI:GCA_017350245.1	7012280	6529	144
GW456-11-11-14-TSB2	Pseudomonas sp. FW507-14D01	831	GW456-11-11-14-TSB2.1	3212	KBase: 41372/72/1	7052691	6541	116
GW456-12-10-14-LB3	Environmental isolate GW456-12-10-14-LB3	1202	GW456-12-10-14-LB3.1	552	KBase	3200324	3112	86
GW456-12-10-14-TSB1	Environmental isolate GW456-12-10-14-TSB1	1187	GW456-12-10-14-TSB1.2	553	ENIGMA Data Repository	5045454	4804	7
GW456-12-10-14-TSB1	Environmental isolate GW456-12-10-14-TSB1	1187	GW456-12-10-14-TSB1.ncbi.1	554	NCBI:GCF_002148915.1	5078579	4899	6
GW456-12-10-14-TSB1	Environmental isolate GW456-12-10-14-TSB1	1187	GW456-12-10-14-TSB1.1	3190	KBase: 41372/321/1	5078579	4849	6
GW456-L13	Pseudomonas fluorescens	998	GW456-L13.2	573	ENIGMA Data Repository	5753586	5141	1
GW456-L13	Pseudomonas fluorescens	998	GW456-L13.ncbi.1	574	NCBI:GCA_017350115.1	5940821	5369	10
GW456-L13	Pseudomonas fluorescens	998	pseudo13_GW456_L13	1205	NCBI:GCF_001440325.1	5757432	5195	2
GW456-L13	Pseudomonas fluorescens	998	GW456-L13.1	3191	KBase: 41372/347/1	5757432	5405	2
GW456-L15	Environmental isolate GW456-L15	194	GW456-L15.2	577	ENIGMA Data Repository	6984972	6172	1
GW456-L15	Environmental isolate GW456-L15	194	GW456-L15.ncbi.1	578	NCBI:GCA_017350055.1	6972007	6309	29
GW456-L15	Environmental isolate GW456-L15	194	GW456-L15.1	579	KBase	6973093	6264	37
GW456-R20	Environmental isolate GW456-R20	1188	GW456-R20.2	580	ENIGMA Data Repository	6658838	7174	2
GW456-R20	Environmental isolate GW456-R20	1188	GW456-R20.ncbi.1	581	NCBI:GCF_001622915.1	6659907	6030	5
GW456-R20	Environmental isolate GW456-R20	1188	GW456-R20.1	3222	KBase: 41372/320/1	6659907	5947	5
GW456-R20	Environmental isolate GW456-R20	1188	GW456-R20.3	4235	NCBI:GCF_001622915.1	6659907	5803	5
GW458-11-26-14-LB3	Pseudomonas sp. GW458-11-26-14-LB3	838	GW458-11-26-14-LB3.ncbi.1	586	NCBI:GCA_017350075.1	6833287	6316	94
GW458-11-26-14-LB3	Pseudomonas sp. GW458-11-26-14-LB3	838	GW458-11-26-14-LB3.1	587	KBase	6859306	6323	78
GW458-11-26-14-LB3	Pseudomonas sp. GW458-11-26-14-LB3	838	GW458-11-26-14-LB3.3	1251	ENIGMA Data Repository	6866507	6323	38
GW458-11-26-14-TSB4	Environmental isolate GW458-11-26-14-TSB4	27	GW458-11-26-14-TSB4.1	592	KBase	6894347	6467	285
GW458-11-26-14-TSB4	Environmental isolate GW458-11-26-14-TSB4	27	GW458-11-26-14-TSB4.3	1288	ENIGMA Data Repository	6904894	6448	57
GW458-12-9-14-LB2	Environmental isolate GW458-12-9-14-LB2	1189	GW458-12-9-14-LB2.1	601	KBase	6838290	6263	119
GW460-11-11-14-LB1	Environmental isolate GW460-11-11-14-LB1	1249	GW460-11-11-14-LB1.2	607	ENIGMA Data Repository	6144169	5799	1
GW460-11-11-14-LB1	Environmental isolate GW460-11-11-14-LB1	1249	GW460-11-11-14-LB1.1	608	KBase	6135295	5856	11
GW460-11-11-14-LB4	Environmental isolate GW460-11-11-14-LB4	1209	GW460-11-11-14-LB4.1	611	KBase	5115931	4744	155
GW460-11-11-14-LB5	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	994	GW460-11-11-14-LB5.2	612	ENIGMA Data Repository	6181979	5045	1
GW460-11-11-14-LB5	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	994	Pedo557	1200	NCBI:GCF_002151545.1	6182066	4969	1
GW460-11-11-14-LB5	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	994	GW460-11-11-14-LB5.1	3205	KBase: 41372/323/1	6182066	5092	1
GW460-11-11-14-TSB4	Environmental isolate GW460-11-11-14-TSB4	1054	GW460-11-11-14-TSB4.1	613	KBase	6140514	5045	74
GW460-12-1-14-LB5	Environmental isolate GW460-12-1-14-LB5	27	GW460-12-1-14-LB5.1	629	KBase	6384786	5618	82
GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	848	GW460-12-10-14-LB2.ncbi.1	620	NCBI:GCF_001636925.1	3263775	3255	1
GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	848	GW460-12-10-14-LB2.kbase.1	3218	KBase: 41372/322/1	3263775	3249	1
GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	848	GW460-12-10-14-LB2.1	4158	KBase: 41372/322/1	3263775	3249	1
GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	848	GW460-12-10-14-LB2.3	4236	NCBI:GCF_001636925.1	3263775	3234	1
GW460-E12	Environmental isolate GW460-E12	194	GW460-E12.2	647	ENIGMA Data Repository	7111074	6522	2
GW460-E12	Environmental isolate GW460-E12	194	GW460-E12.ncbi.1	648	NCBI:GCA_017349695.1	7056971	6555	57
GW460-E12	Environmental isolate GW460-E12	194	GW460-E12.1	649	KBase	7060367	6568	80
GW460-LB6	Environmental isolate GW460-LB6	175	GW460-LB6.1	655	KBase	8596854	7841	218
GW704-E3	Environmental isolate GW704-E3	194	GW704-E3.2	667	ENIGMA Data Repository	6718713	6063	1
GW704-E3	Environmental isolate GW704-E3	194	GW704-E3.ncbi.1	668	NCBI:GCA_017349575.1	6616972	6101	122
GW704-E3	Environmental isolate GW704-E3	194	GW704-E3.1	669	KBase	6622065	6027	158
GW821-FHT01A05	Environmental isolate GW821-FHT01A05 Unconfirmed Organism.	1263	GW821-FHT01A05.1	700	KBase	5735221	5015	147
GW821-FHT01A05	Environmental isolate GW821-FHT01A05 Unconfirmed Organism.	1263	GW821-FHT01A05.3	3710	ENIGMA Data Repository	5792590	5057	1
GW821-FHT01B05	Environmental isolate GW821-FHT01B05 Unconfirmed Organism.	1264	GW821-FHT01B05.1	707	KBase	5782099	5326	82
GW821-FHT01B05	Environmental isolate GW821-FHT01B05 Unconfirmed Organism.	1264	GW821-FHT01B05.3	3711	ENIGMA Data Repository	5832500	5373	1
GW821-FHT01B05	Environmental isolate GW821-FHT01B05 Unconfirmed Organism.	1264	GW821-FHT01B05.4	3712	ENIGMA Data Repository	5832497	5384	1
GW821-FHT01D01	Environmental isolate GW821-FHT01D01 Unconfirmed Organism: Environmental isolate GW821-FHT01D01.	2350	GW821-FHT01D01.1	716	KBase	4718	6	8
GW821-FHT01D01	Environmental isolate GW821-FHT01D01 Unconfirmed Organism: Environmental isolate GW821-FHT01D01.	2350	GW821-FHT01D01.3	3860	ENIGMA Data Repository	3384554	3233	36
GW821-FHT01E09	Environmental isolate GW821-FHT01E09 Unconfirmed Organism.	1193	GW821-FHT01E09.1	726	KBase	4596375	4258	60
GW821-FHT01E09	Environmental isolate GW821-FHT01E09 Unconfirmed Organism.	1193	GW821-FHT01E09.3	3714	ENIGMA Data Repository	4648935	4287	2
GW821-FHT01H02	Environmental isolate GW821-FHT01H02 Unconfirmed Organism: Environmental isolate GW821-FHT01H02.	1216	GW821-FHT01H02.1	743	KBase	2159525	2381	1920
GW821-FHT01H02	Environmental isolate GW821-FHT01H02 Unconfirmed Organism: Environmental isolate GW821-FHT01H02.	1216	GW821-FHT01H02.4	3540	ENIGMA Data Repository	3897181	3514	44
GW821-FHT01H02	Environmental isolate GW821-FHT01H02 Unconfirmed Organism: Environmental isolate GW821-FHT01H02.	1216	GW821-FHT01H02.3	3717	ENIGMA Data Repository	3912364	3554	1
GW821-FHT01H03	Environmental isolate GW821-FHT01H03	1192	GW821-FHT01H03.2	745	ENIGMA Data Repository	6931904	6017	2
GW821-FHT01H03	Environmental isolate GW821-FHT01H03	1192	GW821-FHT01H03.kbase.1	746	KBase	6646155	6146	1273
GW821-FHT01H03	Environmental isolate GW821-FHT01H03	1192	GW821-FHT01H03.1	3541	ENIGMA Data Repository	6890982	6063	27
GW821-FHT02A12	Environmental isolate GW821-FHT02A12 Unconfirmed Organism.	131	GW821-FHT02A12.1	756	KBase	8324554	7638	126
GW821-FHT02A12	Environmental isolate GW821-FHT02A12 Unconfirmed Organism.	131	GW821-FHT02A12.3	3718	ENIGMA Data Repository	8410855	7697	3
GW821-FHT02D01	Environmental isolate GW821-FHT02D01	1241	GW821-FHT02D01.kbase.1	768	KBase	4544448	4141	33
GW821-FHT02D01	Environmental isolate GW821-FHT02D01	1241	GW821-FHT02D01.1	3549	ENIGMA Data Repository	4539155	4139	23
GW821-FHT02D03	Environmental isolate GW821-FHT02D03	1195	GW821-FHT02D03.1	770	KBase	4916575	4606	89
GW821-FHT02D03	Environmental isolate GW821-FHT02D03	1195	GW821-FHT02D03.4	3550	ENIGMA Data Repository	4921346	4591	24
GW821-FHT02D03	Environmental isolate GW821-FHT02D03	1195	GW821-FHT02D03.3	3719	ENIGMA Data Repository	4939369	4618	3
GW821-FHT03E06	Environmental isolate GW821-FHT03E06	372	GW821-FHT03E06.1	808	KBase	5087503	4752	30
GW821-FHT03E06	Environmental isolate GW821-FHT03E06	372	GW821-FHT03E06.3	3722	ENIGMA Data Repository	5114160	4787	3
GW821-FHT03G07	Environmental isolate GW821-FHT03G07	990	GW821-FHT03G07.1	814	KBase	5275563	4874	28
GW821-FHT03G07	Environmental isolate GW821-FHT03G07	990	GW821-FHT03G07.3	3723	ENIGMA Data Repository	5305801	4911	1
GW821-FHT04C10	Environmental isolate GW821-FHT04C10 Unconfirmed Organism.	1197	GW821-FHT04C10.1	830	KBase	7512954	7137	53
GW821-FHT04C10	Environmental isolate GW821-FHT04C10 Unconfirmed Organism.	1197	GW821-FHT04C10.3	3724	ENIGMA Data Repository	7533912	7149	2
GW821-FHT05B06	Environmental isolate GW821-FHT05B06	401	GW821-FHT05B06.2	852	ENIGMA Data Repository	4637654	4358	4
GW821-FHT05B06	Environmental isolate GW821-FHT05B06	401	GW821-FHT05B06.1	853	KBase	4587536	4400	62
GW821-FHT05B07	Environmental isolate GW821-FHT05B07	194	GW821-FHT05B07.1	854	KBase	7050251	6371	332
GW821-FHT05B07	Environmental isolate GW821-FHT05B07	194	GW821-FHT05B07.3	1242	ENIGMA Data Repository	6988525	6283	27
GW821-FHT05D12	Environmental isolate GW821-FHT05D12	194	GW821-FHT05D12.1	858	KBase	6693337	6037	92
GW821-FHT05D12	Environmental isolate GW821-FHT05D12	194	GW821-FHT05D12.3	3579	ENIGMA Data Repository	6706414	6041	54
GW821-FHT05F01	Environmental isolate GW821-FHT05F01 Unconfirmed Organism.	1200	GW821-FHT05F01.1	864	KBase	5122078	4834	62
GW821-FHT05F04	Environmental isolate GW821-FHT05F04	27	GW821-FHT05F04.1	867	KBase	5298682	4992	966
GW821-FHT05F04	Environmental isolate GW821-FHT05F04	27	GW821-FHT05F04.3	1246	ENIGMA Data Repository	5502621	5044	23
GW821-FHT05F08	Environmental isolate GW821-FHT05F08	1244	GW821-FHT05F08.1	869	KBase	6407803	5903	1349
GW821-FHT05F08	Environmental isolate GW821-FHT05F08	1244	GW821-FHT05F08.3	1289	ENIGMA Data Repository	107147	129	176
GW821-FHT05G03	Environmental isolate GW821-FHT05G03 Unconfirmed Organism: Environmental isolate GW821-FHT05G03.	1201	GW821-FHT05G03.1	874	KBase	493209	744	723
GW821-FHT05G03	Environmental isolate GW821-FHT05G03 Unconfirmed Organism: Environmental isolate GW821-FHT05G03.	1201	GW821-FHT05G03.3	1240	ENIGMA Data Repository	9894221	9006	113
GW821-FHT05H10	Environmental isolate GW821-FHT05H10 Unconfirmed Organism: Environmental isolate GW821-FHT05H10.	3222	GW821-FHT05H10.1	885	KBase	5547	9	9
GW821-FHT05H10	Environmental isolate GW821-FHT05H10 Unconfirmed Organism: Environmental isolate GW821-FHT05H10.	3222	GW821-FHT05H10.3	3592	ENIGMA Data Repository	6330319	5546	61
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	1279	GW821-FHT09A04.1	1247	ENIGMA Data Repository	3508239	3335	3
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	1279	GW821-FHT09A04.3	3241	KBase: 156527/514/1	3508239	3333	3
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	1279	GW821-FHT09A04.4	3335	KBase: 156527/514/3	3508239	3333	3
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	1279	GW821-FHT09A04.5	3729	ENIGMA Data Repository	3509179	3333	1
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	1279	GW821-FHT09A04.6	3730	ENIGMA Data Repository	3508162	3332	2
GW821-FHT09A07	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	1188	GW821-FHT09A07.1	1276	ENIGMA Data Repository	5293063	4767	28
GW821-FHT09A07	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	1188	GW821-FHT09A07.3	3239	KBase: 156527/714/1	5294370	4770	29
GW821-FHT09A07	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	1188	GW821-FHT09A07.4	3323	KBase: 156527/714/3	5294370	4771	29
GW821-FHT09A07	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	1188	GW821-FHT09A07.5	3731	ENIGMA Data Repository	5356009	4830	2
GW821-FHT09A12	Environmental isolate GW821-FHT09A12 Unconfirmed Organism.	1025	GW821-FHT09A12.1	1252	ENIGMA Data Repository	5286813	4711	34
GW821-FHT09A12	Environmental isolate GW821-FHT09A12 Unconfirmed Organism.	1025	GW821-FHT09A12.3	3242	KBase: 156527/290/1	5255481	4891	371
GW821-FHT09A12	Environmental isolate GW821-FHT09A12 Unconfirmed Organism.	1025	GW821-FHT09A12.4	3482	KBase: 156527/290/3	5257873	4891	363
GW821-FHT09G11	Environmental isolate GW821-FHT09G11	1205	GW821-FHT09G11.1	1994	KBase: 156527/284/1	4812547	4555	95
GW821-FHT09G11	Environmental isolate GW821-FHT09G11	1205	GW821-FHT09G11.3	3252	KBase: 156527/284/3	4812750	4559	95
GW821-FHT09G11	Environmental isolate GW821-FHT09G11	1205	GW821-FHT09G11.4	3733	ENIGMA Data Repository	4911558	4681	4
GW821-FHT09G11	Environmental isolate GW821-FHT09G11	1205	GW821-FHT09G11.5	3906	ENIGMA Data Repository	4818370	4554	51
GW821-FHT10B07	Environmental isolate GW821-FHT10B07	3234	GW821-FHT10B07.3	3419	KBase: 156527/366/3	5701047	5058	34
GW821-FHT10B07	Environmental isolate GW821-FHT10B07	3234	GW821-FHT10B07.4	3734	ENIGMA Data Repository	5725223	5066	1
GW821-FHT10B07	Environmental isolate GW821-FHT10B07	3234	GW821-FHT10B07.5	4199	KBase: 202353/398/1	5701406	5062	31
GW821-FHT11D02	Environmental isolate GW821-FHT11D02	3379	GW821-FHT11D02.1	3735	ENIGMA Data Repository	5071294	4261	1
GW822-FHT02A01	Environmental isolate GW822-FHT02A01	1269	GW822-FHT02A01.2	906	ENIGMA Data Repository	5486892	5121	1
GW822-FHT02A01	Environmental isolate GW822-FHT02A01	1269	GW822-FHT02A01.1	907	KBase	5450865	5136	74
GW822-FHT02A07	Environmental isolate GW822-FHT02A07 Unconfirmed Organism.	157	GW822-FHT02A07.1	910	KBase	5970925	5537	78
GW822-FHT02A07	Environmental isolate GW822-FHT02A07 Unconfirmed Organism.	157	GW822-FHT02A07.3	3739	ENIGMA Data Repository	6102435	5681	3
GW822-FHT02F02	Environmental isolate GW822-FHT02F02	194	GW822-FHT02F02.1	924	KBase	6810638	6105	35
GW822-FHT02H01	Environmental isolate GW822-FHT02H01 Unconfirmed Organism.	1270	GW822-FHT02H01.1	927	KBase	5635863	4621	38
GW822-FHT02H01	Environmental isolate GW822-FHT02H01 Unconfirmed Organism.	1270	GW822-FHT02H01.3	3740	ENIGMA Data Repository	5660776	4639	5
