strain_id	taxon_name	taxon_order	genome_id	genome_name	size	genes	contigs
GW458-11-26-14-LB3	Pseudomonas sp. GW458-11-26-14-LB3	Pseudomonadales	587	GW458-11-26-14-LB3.1	6859306	6323	78
GW458-11-26-14-TSB4	Environmental isolate GW458-11-26-14-TSB4	Unknown	592	GW458-11-26-14-TSB4.1	6894347	6467	285
GW458-12-9-14-LB2	Environmental isolate GW458-12-9-14-LB2	Burkholderiales	601	GW458-12-9-14-LB2.1	6838290	6263	119
GW460-11-11-14-LB1	Environmental isolate GW460-11-11-14-LB1	Burkholderiales	608	GW460-11-11-14-LB1.1	6135295	5856	11
GW460-11-11-14-LB4	Environmental isolate GW460-11-11-14-LB4	Burkholderiales	611	GW460-11-11-14-LB4.1	5115931	4744	155
GW460-11-11-14-LB5	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	Sphingobacteriales	3205	GW460-11-11-14-LB5.1	6182066	5092	1
GW460-11-11-14-TSB4	Environmental isolate GW460-11-11-14-TSB4	Sphingobacteriales	613	GW460-11-11-14-TSB4.1	6140514	5045	74
GW460-12-1-14-LB5	Environmental isolate GW460-12-1-14-LB5	Unknown	629	GW460-12-1-14-LB5.1	6384786	5618	82
GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	Caulobacterales	620	GW460-12-10-14-LB2.ncbi.1	3263775	3255	1
GW460-E12	Environmental isolate GW460-E12	Pseudomonadales	649	GW460-E12.1	7060367	6568	80
GW460-LB6	Environmental isolate GW460-LB6	Burkholderiales	655	GW460-LB6.1	8596854	7841	218
GW704-E3	Environmental isolate GW704-E3	Pseudomonadales	668	GW704-E3.ncbi.1	6616972	6101	122
GW821-FHT01A05	Environmental isolate GW821-FHT01A05 Unconfirmed Organism.	Burkholderiales	3710	GW821-FHT01A05.3	5792590	5057	1
GW821-FHT01B05	Environmental isolate GW821-FHT01B05 Unconfirmed Organism.	Burkholderiales	3712	GW821-FHT01B05.4	5832497	5384	1
GW821-FHT01D01	Environmental isolate GW821-FHT01D01 Unconfirmed Organism: Environmental isolate GW821-FHT01D01.	Micrococcales	3860	GW821-FHT01D01.3	3384554	3233	36
GW821-FHT01E09	Environmental isolate GW821-FHT01E09 Unconfirmed Organism.	Moraxellales	3714	GW821-FHT01E09.3	4648935	4287	2
GW821-FHT01H02	Environmental isolate GW821-FHT01H02 Unconfirmed Organism: Environmental isolate GW821-FHT01H02.	Xanthomonadales	3717	GW821-FHT01H02.3	3912364	3554	1
GW821-FHT01H03	Environmental isolate GW821-FHT01H03	Burkholderiales	746	GW821-FHT01H03.kbase.1	6646155	6146	1273
GW821-FHT02A12	Environmental isolate GW821-FHT02A12 Unconfirmed Organism.	Burkholderiales	3718	GW821-FHT02A12.3	8410855	7697	3
GW821-FHT02D01	Environmental isolate GW821-FHT02D01	Xanthomonadales	768	GW821-FHT02D01.kbase.1	4544448	4141	33
GW821-FHT02D03	Environmental isolate GW821-FHT02D03	Hyphomicrobiales	3719	GW821-FHT02D03.3	4939369	4618	3
GW821-FHT03E06	Environmental isolate GW821-FHT03E06	Enterobacterales	3722	GW821-FHT03E06.3	5114160	4787	3
GW821-FHT03G07	Environmental isolate GW821-FHT03G07	Enterobacterales	3723	GW821-FHT03G07.3	5305801	4911	1
GW821-FHT04C10	Environmental isolate GW821-FHT04C10 Unconfirmed Organism.	Hyphomicrobiales	3724	GW821-FHT04C10.3	7533912	7149	2
GW821-FHT05B06	Environmental isolate GW821-FHT05B06	Enterobacterales	853	GW821-FHT05B06.1	4587536	4400	62
GW821-FHT05B07	Environmental isolate GW821-FHT05B07	Pseudomonadales	854	GW821-FHT05B07.1	7050251	6371	332
GW821-FHT05D12	Environmental isolate GW821-FHT05D12	Pseudomonadales	3579	GW821-FHT05D12.3	6706414	6041	54
GW821-FHT05F01	Environmental isolate GW821-FHT05F01 Unconfirmed Organism.	Micrococcales	864	GW821-FHT05F01.1	5122078	4834	62
GW821-FHT05F04	Environmental isolate GW821-FHT05F04	Unknown	1246	GW821-FHT05F04.3	5502621	5044	23
GW821-FHT05F08	Environmental isolate GW821-FHT05F08	Burkholderiales	869	GW821-FHT05F08.1	6407803	5903	1349
GW821-FHT05G03	Environmental isolate GW821-FHT05G03 Unconfirmed Organism: Environmental isolate GW821-FHT05G03.	Burkholderiales	1240	GW821-FHT05G03.3	9894221	9006	113
GW821-FHT05H10	Environmental isolate GW821-FHT05H10 Unconfirmed Organism: Environmental isolate GW821-FHT05H10.	Burkholderiales	3592	GW821-FHT05H10.3	6330319	5546	61
GW821-FHT09A04	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	Burkholderiales	1247	GW821-FHT09A04.1	3508239	3335	3
GW821-FHT09A07	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	Burkholderiales	3731	GW821-FHT09A07.5	5356009	4830	2
GW821-FHT09A12	Environmental isolate GW821-FHT09A12 Unconfirmed Organism.	Burkholderiales	3242	GW821-FHT09A12.3	5255481	4891	371
GW821-FHT09G11	Environmental isolate GW821-FHT09G11	Rhizobiales	3733	GW821-FHT09G11.4	4911558	4681	4
GW821-FHT10B07	Environmental isolate GW821-FHT10B07	Burkholderiales	3734	GW821-FHT10B07.4	5725223	5066	1
GW821-FHT11D02	Environmental isolate GW821-FHT11D02	Xanthomonadales	3735	GW821-FHT11D02.1	5071294	4261	1
GW822-FHT02A01	Environmental isolate GW822-FHT02A01	Burkholderiales	907	GW822-FHT02A01.1	5450865	5136	74
GW822-FHT02A07	Environmental isolate GW822-FHT02A07 Unconfirmed Organism.	Caulobacterales	3739	GW822-FHT02A07.3	6102435	5681	3
GW822-FHT02F02	Environmental isolate GW822-FHT02F02	Pseudomonadales	924	GW822-FHT02F02.1	6810638	6105	35
GW822-FHT02H01	Environmental isolate GW822-FHT02H01 Unconfirmed Organism.	Cytophagales	3740	GW822-FHT02H01.3	5660776	4639	5
GW822-FHT02H05	Environmental isolate GW822-FHT02H05	Rhodocyclales	928	GW822-FHT02H05.2	5460137	4841	1
GW822-FHT03B01	Environmental isolate GW822-FHT03B01 Unconfirmed Organism.	Rhabditida	932	GW822-FHT03B01.1	8417543	7847	107
GW822-FHT03B03	Environmental isolate GW822-FHT03B03 Unconfirmed Organism.	Burkholderiales	3741	GW822-FHT03B03.3	6313825	5512	3
GW822-FHT03C01	Environmental isolate GW822-FHT03C01	Burkholderiales	938	GW822-FHT03C01.1	6415629	5745	77
GW822-FHT03E04	Environmental isolate GW822-FHT03E04 Unconfirmed Organism: Environmental isolate GW822-FHT03E04.	Burkholderiales	1284	GW822-FHT03E04.3	8930220	7993	88
GW822-FHT04H01	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	Hyphomicrobiales	3744	GW822-FHT04H01.4	5910636	5564	2
GW822-FHT05A05	Environmental isolate GW822-FHT05A05	Burkholderiales	974	GW822-FHT05A05.1	6462415	6020	799
GW822-FHT05A08	Environmental isolate GW822-FHT05A08	Pseudomonadales	976	GW822-FHT05A08.1	6732793	6137	630
GW822-FHT05A11	Environmental isolate GW822-FHT05A11	Hyphomicrobiales	977	GW822-FHT05A11.1	5460201	5280	478
GW822-FHT05B01	Environmental isolate GW822-FHT05B01	Burkholderiales	3745	GW822-FHT05B01.4	6591700	6031	3
GW822-FHT05C05	Environmental isolate GW822-FHT05C05	Burkholderiales	983	GW822-FHT05C05.1	6208794	5631	773
GW822-FHT05C07	Environmental isolate GW822-FHT05C07	Rhodocyclales	1282	GW822-FHT05C07.3	5385652	4843	53
GW822-FHT05D05	Environmental isolate GW822-FHT05D05	Burkholderiales	989	GW822-FHT05D05.1	6126219	5814	1042
GW822-FHT05E02	Environmental isolate GW822-FHT05E02	Caulobacterales	993	GW822-FHT05E02.2	3264008	3139	3
GW823-FHT01D03	Environmental isolate GW823-FHT01D03	Pseudomonadales	1262	GW823-FHT01D03.3	6023246	5358	57
GW823-FHT01E07	Environmental isolate GW823-FHT01E07 Unconfirmed Organism.	Bacillales	1020	GW823-FHT01E07.1	5522078	5648	51
GW823-FHT01H08	Environmental isolate GW823-FHT01H08	Burkholderiales	1030	GW823-FHT01H08.1	5942831	5504	949
GW823-FHT02C05	Environmental isolate GW823-FHT02C05	Pseudomonadales	1035	GW823-FHT02C05.1	6927898	6322	216
GW823-FHT02E09	Environmental isolate GW823-FHT02E09 Unconfirmed Organism: Environmental isolate GW823-FHT02E09.	Corynebacteriales	3672	GW823-FHT02E09.3	5768081	5450	68
GW823-FHT02F05	Environmental isolate GW823-FHT02F05	Pseudomonadales	4005	GW823-FHT02F05.1	6268169	5605	55
GW823-FHT02G10	Environmental isolate GW823-FHT02G10 Unconfirmed Organism.	Bacillales	1049	GW823-FHT02G10.1	4489625	4494	34
GW823-FHT04A11	Environmental isolate GW823-FHT04A11	Flavobacteriales	4205	GW823-FHT04A11.4	5287621	4463	366
GW823-FHT05C09	Environmental isolate GW823-FHT05C09	Burkholderiales	1089	GW823-FHT05C09.1	5417442	4985	382
GW823-FHT05D11	Environmental isolate GW823-FHT05D11	Burkholderiales	3752	GW823-FHT05D11.3	5583588	5106	1
GW823-FHT05G12	Environmental isolate GW823-FHT05G12	Pseudomonadales	1104	GW823-FHT05G12.1	5961563	5411	140
MLSB5-FHT05B04	Environmental isolate MLSB5-FHT05B04 Unconfirmed Organism.	Pseudomonadales	1129	MLSB5-FHT05B04.1	11421938	10541	80
MLSD5-FHT05A06	Environmental isolate MLSD5-FHT05A06	Burkholderiales	1132	MLSD5-FHT05A06.1	3716199	3451	626
MLSD5-FHT05B12	Environmental isolate MLSD5-FHT05B12	Unknown	1136	MLSD5-FHT05B12.1	4858403	4657	66
MLSD5-FHT05C12	Environmental isolate MLSD5-FHT05C12	Bacillales	1139	MLSD5-FHT05C12.1	2585850	2494	60
MPR-LB4	Environmental isolate MPR-LB4	Rhodocyclales	1157	MPR-LB4.2	3735522	3363	1
MT123	Environmental isolate MT123	Burkholderiales	1183	MT123.1	3412102	3192	95
MT20	Environmental isolate MT20 Unconfirmed Organism.	Xanthomonadales	3511	MT20.3	4463744	4030	3
MT49	Serratia liquefaciens	Enterobacterales	1180	MT49.ncbi.1	5395544	5055	1
MT58	Pantoea sp. MT58	Enterobacterales	1181	MT58.ncbi.1	4675847	4384	4
MT92	Environmental isolate MT92	Pseudomonadales	4030	MT92.1	6965481	6568	64
SSO-M6-C2-NECRO-RL66	Environmental isolate SSO-M6-C2-NECRO-RL66	Deinococcales	4038	SSO-M6-C2-NECRO-RL66.1	4355987	4221	60
