	source	identity	t3ss_type	biofilm_type	strain_group	label
PAN_RS_GCF_000791495.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_020733525.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013912885.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000797025.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001680745.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002085755.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_018476825.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002866765.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_019797635.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001809805.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003834465.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000789705.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
REF_PA14	Reference	PA14	ExoU+	Pel-only		PA14
PAN_RS_GCF_003835665.1	CF patient	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002263405.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024718395.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_023699545.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_023699685.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002104615.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024718355.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000520455.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004374525.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004374605.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000481145.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004370775.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003840045.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004370455.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002312355.1	Lung/Respiratory	Pangenome	ExoS+	Pel-only (PA14-like)		
PAN_RS_GCF_004375375.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013343395.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002312095.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002312385.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_018598165.2	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002135625.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002136165.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_011466835.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001554655.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004373995.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013375875.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000794175.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000796025.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_005863785.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000792305.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000796475.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000791225.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003834445.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001555375.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001555395.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003835365.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013375895.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003698585.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000287875.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_017742155.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_022487965.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000793685.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_008705235.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_017742195.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001765465.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001765805.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001765475.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001765535.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001765715.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_021166355.2	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001555225.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001554705.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001554735.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004054035.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004375515.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_017742115.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_007559085.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_022342405.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001036985.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001037045.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001036425.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001035365.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001035395.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001035635.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001037315.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001036335.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001036675.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001035385.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001036585.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001024805.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001035075.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003863495.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013620125.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013620465.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000824585.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003834745.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000824325.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000824665.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013619375.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013620115.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013620375.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013620415.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_GB_GCA_025152895.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004372925.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_013115765.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_022341065.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_022341125.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_020567355.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_021441545.1	Lung/Respiratory	Pangenome	ExoU+ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003863635.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004370875.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003974335.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_019430355.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_023717845.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_905068165.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000506065.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000789755.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003968115.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_023717925.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_009925095.1	Lung/Respiratory	Pangenome	ExoU+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000506025.1	Lung/Respiratory	Pangenome	ExoS+	Pel-only (PA14-like)		
PAN_RS_GCF_000568235.2	CF patient	Pangenome	Neither	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_002312055.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_GB_GCA_003863465.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001679685.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000792945.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003976225.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003332525.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_017288095.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_016820015.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000793205.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003840405.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003837055.1	CF patient	Pangenome	ExoS+	Pel-only (PA14-like)		
PAN_RS_GCF_021513535.1	Lung/Respiratory	Pangenome	ExoS+	Pel-only (PA14-like)		
PAN_RS_GCF_000796615.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024587665.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024106515.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024106975.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
REF_PAO1	Reference	PAO1	ExoS+	Pel+Psl		PAO1
PAN_RS_GCF_024106675.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024106535.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_024107245.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_000796905.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003836205.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_021166375.2	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001414175.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004372025.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_008843075.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_014040795.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_003858115.1	CF patient	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004373845.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004375195.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001554315.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_001555055.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_004375285.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
PAN_RS_GCF_006864585.1	Lung/Respiratory	Pangenome	ExoS+	Pel+Psl+ (PAO1-like)		
