genome_id	environment	t3ss_type	biofilm_type	pel_count	psl_count	exoS	exoT	exoU	exoY	gacS	ladS	pelA	pelB	pelC	pelD	pelE	pelF	pelG	pslA	pslC	pslD	pslE	pslF	pslG	pslH	pslI	pslJ	pslK	pslL	retS
GB_GCA_001182025.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	6	10	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
GB_GCA_001914085.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001921095.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_001990445.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_002293995.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_002338845.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_002379565.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_002470965.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	9	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1
GB_GCA_002471005.1	Other	ExoS+	Pel-only (PA14-like)	7	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_003562485.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_003863465.1	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_008629795.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_008629815.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_008629875.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_008632655.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_012839935.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_017455265.1	Other	ExoS+	Pel-only (PA14-like)	7	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_018363605.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_019429935.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	6	9	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1
GB_GCA_020741575.1	Other	Neither	Pel+Psl+ (PAO1-like)	7	10	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
GB_GCA_021818525.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_022712155.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
GB_GCA_023390835.1	Other Clinical	ExoS+	Pel-only (PA14-like)	7	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_023396335.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023401555.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023403655.1	Other Clinical	Neither	Pel+Psl+ (PAO1-like)	7	11	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GB_GCA_023412315.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023424115.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023432065.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023439245.1	Other Clinical	ExoU+	Psl-only	1	11	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_023447855.1	Other Clinical	Neither	Pel+Psl+ (PAO1-like)	6	10	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
GB_GCA_023456135.1	Other Clinical	ExoS+	Pel-only (PA14-like)	6	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_023647235.1	Other	ExoU+	Pel-only (PA14-like)	7	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_025152895.1	Lung/Respiratory	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_025152995.1	Lung/Respiratory	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_025153375.1	Lung/Respiratory	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_025153405.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_905193335.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	6	7	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0
GB_GCA_943912275.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000006765.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000014625.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	8	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
RS_GCF_000026645.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000148745.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000168335.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000172395.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	8	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
RS_GCF_000215775.4	Unknown	ExoS+	Pel-only (PA14-like)	7	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
RS_GCF_000215795.4	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000220025.3	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	7	8	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
RS_GCF_000223925.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000223945.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000223965.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000226155.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000233495.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	9	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
RS_GCF_000247435.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000247455.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000259025.1	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	6	10	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
RS_GCF_000265035.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000271365.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	8	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1
RS_GCF_000271985.2	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000282915.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000283055.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
RS_GCF_000284555.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000287815.1	Unknown	Neither	Pel+Psl+ (PAO1-like)	7	8	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
RS_GCF_000287875.1	Lung/Respiratory	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000290555.2	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000291745.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
RS_GCF_000295475.1	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000296325.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000297275.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000297295.1	Other	ExoU+ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000297315.1	Environmental	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000297335.1	CF patient	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000297355.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000341565.1	Unknown	ExoS+	Pel-only (PA14-like)	7	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
RS_GCF_000342145.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000359505.1	Other	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000359565.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000404265.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	8	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
RS_GCF_000407905.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000408865.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412295.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412355.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412375.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412395.1	Unknown	ExoU+	Pel+Psl+ (PAO1-like)	7	10	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
RS_GCF_000412415.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412435.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412455.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412495.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
RS_GCF_000412555.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000414035.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000439855.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
RS_GCF_000439875.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	10	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
RS_GCF_000455405.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000455425.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000455505.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000455545.1	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000455705.1	Environmental	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000468555.2	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000468935.2	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000478465.2	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000478485.2	Unknown	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480355.1	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480375.1	CF patient	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480395.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480415.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480435.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480455.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480475.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480495.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480515.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480535.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480555.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480575.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480595.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480615.1	Other	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480645.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480665.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480685.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480705.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480725.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480745.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480765.1	Other Clinical	ExoS+	Pel+Psl+ (PAO1-like)	7	11	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480785.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RS_GCF_000480805.1	Other Clinical	ExoU+	Pel+Psl+ (PAO1-like)	7	11	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
