"response","model","predictor","n","lambda","beta","SE","t","p"
"Co_ICP_MS_mg_kg_0_1_sd","NGSA_ICP_Co_sd ~ KO_primary + genome","genome_mb_z",1529,0.125617593453292,-0.0330655545393712,0.0621638877288119,-0.531909372908251,0.594866190614436
"Cr_ICP_MS_mg_kg_0_5_sd","NGSA_ICP_Cr_sd ~ KO_primary + genome","predictor_z",1530,0.230958201747345,0.722716516940343,0.407561920491155,1.77326801304055,0.0763835967440248
"Cr_ICP_MS_mg_kg_0_5_sd","NGSA_ICP_Cr_sd ~ KO_primary + genome","genome_mb_z",1530,0.230958201747345,3.80072622810807,0.438335613519013,8.67081320998622,1.07660871087971e-17
"Hg_AR_mg_kg_0_01_sd","NGSA_ICP_Hg_sd ~ KO_primary + genome","predictor_z",1511,0.73560136842323,0.00448354788987056,0.0032611007778486,1.37485720169262,0.169379959136066
"Hg_AR_mg_kg_0_01_sd","NGSA_ICP_Hg_sd ~ KO_primary + genome","genome_mb_z",1511,0.73560136842323,0.0158241734801942,0.00378374907930858,4.18214134936394,3.05402771199133e-05
"Cu_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_Cu_sd ~ KO_primary + genome","predictor_z",1530,0.611437639251804,0.048146801711201,0.0160983649081825,2.99078831830485,0.00282713962488541
"Cu_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_Cu_sd ~ KO_primary + genome","genome_mb_z",1530,0.611437639251804,0.133184091570978,0.0184359225954312,7.22416200662414,7.92857732493837e-13
"Ni_MMI_ME_mg_kg_0_005_sd","NGSA_MMI_Ni_sd ~ KO_primary + genome","predictor_z",1530,0.392103578814849,0.0378415072278937,0.0100160692001111,3.7780796509946,0.000164114143901426
"Ni_MMI_ME_mg_kg_0_005_sd","NGSA_MMI_Ni_sd ~ KO_primary + genome","genome_mb_z",1530,0.392103578814849,0.0349350690891956,0.0110958241697049,3.14848798564955,0.00167293424464974
"Zn_MMI_ME_mg_kg_0_02_sd","NGSA_MMI_Zn_sd ~ KO_primary + genome","predictor_z",1530,0.455790890171883,0.0830042558479423,0.023504481408601,3.53142255746892,0.000425618009913676
"Zn_MMI_ME_mg_kg_0_02_sd","NGSA_MMI_Zn_sd ~ KO_primary + genome","genome_mb_z",1530,0.455790890171883,0.0591147190549491,0.0263027672033028,2.24747147697548,0.0247521719704761
"Pb_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_Pb_sd ~ KO_primary + genome","predictor_z",1525,0.328886152574189,0.0174623777231776,0.0103377408438924,1.68918702711477,0.0913884131960887
"Pb_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_Pb_sd ~ KO_primary + genome","genome_mb_z",1525,0.328886152574189,0.0727198058559318,0.0113263674232005,6.42039968674999,1.81170451842466e-10
"As_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_As_sd ~ KO_primary + genome","predictor_z",1470,0.169982154143364,0.0147660645018277,0.00388778690187203,3.79806426497235,0.000151784322008455
"As_MMI_ME_mg_kg_0_01_sd","NGSA_MMI_As_sd ~ KO_primary + genome","genome_mb_z",1470,0.169982154143364,0.0199146039483604,0.00412702146310814,4.82541807121165,1.54276227038171e-06
"Co_MMI_ME_mg_kg_0_005_sd","NGSA_MMI_Co_sd ~ KO_primary + genome","predictor_z",1529,0.383134743639568,0.0056023808944855,0.00296944688462237,1.88667489676212,0.0593937655305139
"Co_MMI_ME_mg_kg_0_005_sd","NGSA_MMI_Co_sd ~ KO_primary + genome","genome_mb_z",1529,0.383134743639568,0.00428224422615431,0.00328641371575861,1.30301434832158,0.19276644094039
"Cr_MMI_ME_mg_kg_0_001_sd","NGSA_MMI_Cr_sd ~ KO_primary + genome","predictor_z",1530,0.230375881569815,0.00557737088586589,0.00117575899885246,4.743634444907,2.29522625791421e-06
"Cr_MMI_ME_mg_kg_0_001_sd","NGSA_MMI_Cr_sd ~ KO_primary + genome","genome_mb_z",1530,0.230375881569815,0.00979896869172302,0.00126438082508881,7.75001368043901,1.6654020138302e-14
"Hg_MMI_ME_mg_kg_0_001_sd","NGSA_MMI_Hg_sd ~ KO_primary + genome","predictor_z",1072,0.276419261026046,0.00246135654511285,0.000736161220369876,3.34350204412583,0.000855971267827149
"Hg_MMI_ME_mg_kg_0_001_sd","NGSA_MMI_Hg_sd ~ KO_primary + genome","genome_mb_z",1072,0.276419261026046,0.00275530793089233,0.000777489520733753,3.54385217731555,0.000411363986434613
