strain_id	genome_name	taxon_name	taxon_order	size	genes	contigs	n_unique_kos	n_total_ko_genes	guild	pca1	pca2	genus	species
FW300-N2F2	FW300-N2F2.ncbi.1	Pseudomonas sp. FW300-N2F2	Pseudomonadales	7096068	6140	19	2666	3983.0	2	18.74147355415821	3.3706239349040827	Pseudomonas_E	Pseudomonas_E fluorescens_AA
FW301-JW63	FW301-JW63.1	Environmental isolate FW301-JW63 Unconfirmed Organism.	Enterobacterales	4905761	4583	15	2917	3926.0	1	8.421146180595127	11.343675061056544	Enterobacter	Enterobacter cloacae_L
FW305-113	FW305-113.ncbi.1	Pseudomonas sp. FW305-113	Pseudomonadales	5642541	5118	111	2457	3400.0	2	16.139799835188864	4.636498087206223		
FW305-3	FW305-3.2	Pseudomonas sp. FW305-3	Pseudomonadales	6991736	6258	1	2783	4225.0	2	21.52875904916661	5.0246428586565175	Pseudomonas_E	Pseudomonas_E chlororaphis
FW305-3-2-15-A-LB2	FW305-3-2-15-A-LB2.ncbi.1	Pseudomonas sp. GW456-A2	Pseudomonadales	6598417	5993	107	2646	3900.0	2	19.32214575536721	4.252730816593118	Pseudomonas_E	Pseudomonas_E extremorientalis
FW305-3-2-15-F-LB2	FW305-3-2-15-F-LB2.1	Pseudomonas sp. FW305-3-2-15-F-LB2	Micrococcales	3775289	3682	112	1411	1981.0	5	-15.565227515877778	12.328408742029632	Microbacterium	
FW305-36	FW305-36.3	Environmental isolate FW305-36	Unknown	6636128	6027	67	2154	3251.0	3	-3.5625133474414503	-9.965389614070734	Pelomonas	
FW305-C-10-2	FW305-C-10-2.1	Environmental isolate FW305-C-10-2	Unknown	4301706	4151	62	1622	2219.0	5	-13.450218056924175	9.469642922160306	Deinococcus	Deinococcus soli
FW305-C-101	FW305-C-101.1	Environmental isolate FW305-C-101 Unconfirmed Organism: Environmental isolate FW305-C-101.	Hyphomicrobiales	5643712	5450	30	1994	3185.0	6	-7.596210546902503	1.8449353566849087	Bosea	
FW305-C-134A	FW305-C-134A.1	Environmental isolate FW305-C-134A	Hyphomicrobiales	8081408	7414	67	2176	4117.0	6	-6.169789072150289	0.5697015807549892	Phreatobacter	
FW305-C-30-S16	FW305-C-30-S16.1	Environmental isolate FW305-C-30-S16 Unconfirmed Organism.	Caulobacterales	3499716	3455	12	1473	1763.0	6	-11.94995928440206	4.40566596809173	Caulobacter	
FW305-C-49	FW305-C-49.1	Environmental isolate FW305-C-49	Chitinophagales	3586371	3156	7	1256	1553.0	7	-15.44089339921746	9.892258338303	Sediminibacterium	
FW306-02-B	FW306-02-B.1	Environmental isolate FW306-02-B	Burkholderiales	8154996	7453	72	2412	4214.0	3	0.8317413295225998	-8.944777320527107	Paraburkholderia	Paraburkholderia sp038050405
FW306-1C-G01B	FW306-1C-G01B.1	Environmental isolate FW306-1C-G01B Unconfirmed Organism.	Burkholderiales	7718061	6867	45	2520	4116.0	3	3.6904595397497824	-8.303740754625721	Burkholderia	Burkholderia pyrrocinia_C
FW507-14D01	FW507-14D01.3	Environmental isolate FW507-14D01	Bacillales	5196512	5371	39	2093	3080.0	4	-14.04674856915577	14.537088418169194	Priestia	Priestia megaterium
FW507-14TSA	FW507-14TSA.ncbi.2	Environmental isolate FW507-14TSA	Pseudomonadales	6881809	6357	53	2681	3966.0	2	19.55762262284439	4.8981214236916175	Pseudomonas_E	Pseudomonas_E piscis
FW507-4G11	FW507-4G11.3	Cupriavidus basilensis	Burkholderiales	8421443	7701	2	2511	4274.0	3	1.6476496491723145	-13.661227854609304	Cupriavidus	Cupriavidus basilensis_F
FW510-R12	FW510-R12.1	Rhodanobacter thiooxydans FW510-R12	Xanthomonadales	4204225	3844	4	1670	2068.0	8	-8.061654438065435	2.452821695441989	Rhodanobacter	Rhodanobacter sp000427505
GW101-11A03	GW101-11A03.1	Environmental isolate GW101-11A03	Burkholderiales	5383492	4922	156	2068	2989.0	3	-3.1841756999778794	-14.85482013820759	Acidovorax	Acidovorax kalamii
GW101-11D10	GW101-11D10.1	Environmental isolate GW101-11D10	Burkholderiales	5546518	5059	451	2078	3021.0	3	-3.170948334791787	-14.824337968475351	Acidovorax	Acidovorax kalamii
GW101-20D03	GW101-20D03.1	Environmental isolate GW101-20D03	Burkholderiales	5375203	4883	300	2060	2979.0	3	-3.2783698547971327	-14.687960453212034	Acidovorax	Acidovorax kalamii
GW101-3H06	GW101-3H06.kbase.1	Environmental isolate GW101-3H06	Pseudomonadales	6702868	6198	2	2659	3867.0	2	18.92824652626346	3.703807393180604	Pseudomonas_E	Pseudomonas_E sp900187565
GW101-3H11	acidovorax_3H11	Acidovorax sp. GW101-3H11	Burkholderiales	5442520	5005	39	2061	2919.0	3	-3.538697032676392	-14.272101555261877	Acidovorax	Acidovorax sp001633105
GW247-26LB	GW247-26LB.1	Environmental isolate GW247-26LB	Burkholderiales	3068147	2984	31	1667	2162.0	3	-6.675700685171074	-3.2560299295216946	Castellaniella	Castellaniella sp040276085
GW247-4R2A	GW247-4R2A.1	Environmental isolate GW247-4R2A	Burkholderiales	4298300	4073	64	1897	2554.0	3	-4.954202145284473	-9.661140110994875	Simplicispira	Simplicispira hankyongi
GW456-11-11-14-LB4	GW456-11-11-14-LB4.2	Environmental isolate GW456-11-11-14-LB4	Flavobacteriales	5243832	4318	1	1326	1812.0	7	-15.267923245163876	10.385437063246536	Flavobacterium	Flavobacterium sp023251135
GW456-11-11-14-TSB2	GW456-11-11-14-TSB2.ncbi.1	Pseudomonas sp. FW507-14D01	Pseudomonadales	7093041	6672	278	2734	3912.0	2	20.565604072453432	4.902012705018954	Pseudomonas_E	Pseudomonas_E mandelii
GW456-12-10-14-LB3	GW456-12-10-14-LB3.1	Environmental isolate GW456-12-10-14-LB3	Caulobacterales	3200324	3112	86	1445	1713.0	6	-12.990272353548212	5.004203416289519	Brevundimonas	Brevundimonas aurantiaca
GW456-12-10-14-TSB1	GW456-12-10-14-TSB1.ncbi.1	Environmental isolate GW456-12-10-14-TSB1	Sphingomonadales	5078579	4899	6	1605	2215.0	6	-10.545178034263346	3.038534325266028	Sphingobium	Sphingobium xenophagum
GW456-L13	GW456-L13.1	Pseudomonas fluorescens	Pseudomonadales	5757432	5405	2	2507	3488.0	2	17.6004309068318	4.914750199532064	Pseudomonas_E	Pseudomonas_E jessenii
GW456-L15	GW456-L15.ncbi.1	Environmental isolate GW456-L15	Pseudomonadales	6972007	6309	29	2658	4019.0	2	20.491671827191528	5.138739428507212	Pseudomonas_E	Pseudomonas_E protegens
GW456-R20	GW456-R20.2	Environmental isolate GW456-R20	Burkholderiales	6658838	7174	2	2257	4356.0	3	-0.9066319335832004	-12.673807084982268	Comamonas	Comamonas acidovorans
GW458-11-26-14-LB3	GW458-11-26-14-LB3.1	Pseudomonas sp. GW458-11-26-14-LB3	Pseudomonadales	6859306	6323	78	2702	3815.0	2	20.64627743308932	5.035105752583488	Pseudomonas_E	Pseudomonas_E mandelii
GW458-11-26-14-TSB4	GW458-11-26-14-TSB4.1	Environmental isolate GW458-11-26-14-TSB4	Unknown	6894347	6467	285	2202	3482.0	3	-1.7226910330416878	-13.87401563250393	Acidovorax	
GW458-12-9-14-LB2	GW458-12-9-14-LB2.1	Environmental isolate GW458-12-9-14-LB2	Burkholderiales	6838290	6263	119	2298	3647.0	3	-0.3118183531799736	-12.975278241025798	Variovorax	Variovorax boronicumulans
GW460-11-11-14-LB1	GW460-11-11-14-LB1.1	Environmental isolate GW460-11-11-14-LB1	Burkholderiales	6135295	5856	11	2195	3448.0	3	-2.2271490995385483	-12.356436862877958	Hydrogenophaga	
GW460-11-11-14-LB4	GW460-11-11-14-LB4.1	Environmental isolate GW460-11-11-14-LB4	Burkholderiales	5115931	4744	155	2032	2898.0	3	-3.475032999477525	-14.57799612711466	Acidovorax	Acidovorax delafieldii
GW460-11-11-14-LB5	GW460-11-11-14-LB5.1	Sphingobacteriaceae bacterium GW460-11-11-14-LB5	Sphingobacteriales	6182066	5092	1	1446	2079.0	7	-14.859796316310293	10.216493650193293	Pedobacter	Pedobacter sp002151545
GW460-11-11-14-TSB4	GW460-11-11-14-TSB4.1	Environmental isolate GW460-11-11-14-TSB4	Sphingobacteriales	6140514	5045	74	1449	2083.0	7	-14.850355138236283	10.24318540449814	Pedobacter	Pedobacter sp002151545
GW460-12-1-14-LB5	GW460-12-1-14-LB5.1	Environmental isolate GW460-12-1-14-LB5	Unknown	6384786	5618	82	2191	3138.0	3	-0.8867853826323824	-10.905956581526064	Janthinobacterium	Janthinobacterium sp020858115
GW460-12-10-14-LB2	GW460-12-10-14-LB2.ncbi.1	Brevundimonas sp. GW460-12-10-14-LB2	Caulobacterales	3263775	3255	1	1498	1826.0	6	-12.9815278918948	4.769419858527261	Brevundimonas	Brevundimonas vesicularis
GW460-E12	GW460-E12.1	Environmental isolate GW460-E12	Pseudomonadales	7060367	6568	80	2732	3904.0	2	20.675953026178004	4.898892902248113	Pseudomonas_E	Pseudomonas_E mandelii
GW460-LB6	GW460-LB6.1	Environmental isolate GW460-LB6	Burkholderiales	8596854	7841	218	2499	4363.0	3	0.5940806482399814	-12.977566102969956	Cupriavidus	Cupriavidus necator
GW704-E3	GW704-E3.ncbi.1	Environmental isolate GW704-E3	Pseudomonadales	6616972	6101	122	2659	3933.0	2	18.783169473680093	4.212574869133535	Pseudomonas_E	Pseudomonas_E veronii
GW821-FHT01A05	GW821-FHT01A05.3	Environmental isolate GW821-FHT01A05 Unconfirmed Organism.	Burkholderiales	5792590	5057	1	2121	3057.0	3	-0.9974011357186257	-8.606412573698375	Collimonas	Collimonas humicola
GW821-FHT01B05	GW821-FHT01B05.4	Environmental isolate GW821-FHT01B05 Unconfirmed Organism.	Burkholderiales	5832497	5384	1	2100	3425.0	3	-2.4064499089857194	-11.299175373343456	Xylophilus	Xylophilus sp038961845
GW821-FHT01D01	GW821-FHT01D01.3	Environmental isolate GW821-FHT01D01 Unconfirmed Organism: Environmental isolate GW821-FHT01D01.	Micrococcales	3384554	3233	36	1292	1761.0	5	-16.29997008893841	12.619874851204996	Clavibacter	Clavibacter michiganensis_K
GW821-FHT01E09	GW821-FHT01E09.3	Environmental isolate GW821-FHT01E09 Unconfirmed Organism.	Moraxellales	4648935	4287	2	1812	2363.0	3	-1.570507794549656	2.2836875452041334	Acinetobacter	Acinetobacter guillouiae
GW821-FHT01H02	GW821-FHT01H02.3	Environmental isolate GW821-FHT01H02 Unconfirmed Organism: Environmental isolate GW821-FHT01H02.	Xanthomonadales	3912364	3554	1	1645	1980.0	8	-7.161036519248207	2.520548091457369	Stenotrophomonas	
GW821-FHT01H03	GW821-FHT01H03.kbase.1	Environmental isolate GW821-FHT01H03	Burkholderiales	6646155	6146	1273	2124	3141.0	3	-2.21054337145067	-8.868757114627336	Duganella	Duganella aquatica
GW821-FHT02A12	GW821-FHT02A12.3	Environmental isolate GW821-FHT02A12 Unconfirmed Organism.	Burkholderiales	8410855	7697	3	2489	4301.0	3	1.827673178995077	-9.756850138897123	Paraburkholderia	Paraburkholderia lacunae
GW821-FHT02D01	GW821-FHT02D01.kbase.1	Environmental isolate GW821-FHT02D01	Xanthomonadales	4544448	4141	33	1744	2156.0	8	-6.006971938424437	2.344860245848696	Stenotrophomonas	Stenotrophomonas indicatrix
GW821-FHT02D03	GW821-FHT02D03.3	Environmental isolate GW821-FHT02D03	Hyphomicrobiales	4939369	4618	3	2016	2956.0	6	-6.441196063343956	3.621218573751935	Agrobacterium	Agrobacterium cavarae
GW821-FHT03E06	GW821-FHT03E06.3	Environmental isolate GW821-FHT03E06	Enterobacterales	5114160	4787	3	2701	3873.0	1	6.804732271404053	11.029282454010884	Pantoea	Pantoea floridensis
GW821-FHT03G07	GW821-FHT03G07.3	Environmental isolate GW821-FHT03G07	Enterobacterales	5305801	4911	1	2899	4015.0	1	8.53010778601547	11.097830980455653	Serratia	Serratia liquefaciens
GW821-FHT04C10	GW821-FHT04C10.3	Environmental isolate GW821-FHT04C10 Unconfirmed Organism.	Hyphomicrobiales	7533912	7149	2	2281	4209.0	6	-5.378182520931547	2.148850938841698	Mesorhizobium	Mesorhizobium sp006442655
GW821-FHT05B06	GW821-FHT05B06.1	Environmental isolate GW821-FHT05B06	Enterobacterales	4587536	4400	62	2623	3542.0	1	6.618250851430584	10.9579998001663	Erwinia	
GW821-FHT05B07	GW821-FHT05B07.1	Environmental isolate GW821-FHT05B07	Pseudomonadales	7050251	6371	332	2678	4058.0	2	20.43579817757151	5.053604966027895	Pseudomonas_E	Pseudomonas_E protegens
GW821-FHT05D12	GW821-FHT05D12.3	Environmental isolate GW821-FHT05D12	Pseudomonadales	6706414	6041	54	2645	3998.0	2	19.41991236048929	4.583995740279229	Pseudomonas_E	Pseudomonas_E aylmerensis
GW821-FHT05F01	GW821-FHT05F01.1	Environmental isolate GW821-FHT05F01 Unconfirmed Organism.	Micrococcales	5122078	4834	62	1683	2679.0	5	-13.67445572522778	10.941077234239742	Arthrobacter	Arthrobacter aurescens_A
GW821-FHT05F04	GW821-FHT05F04.3	Environmental isolate GW821-FHT05F04	Unknown	5502621	5044	23	1751	2482.0	6	-10.18625711119984	3.46740483677203	Caulobacter	
GW821-FHT05F08	GW821-FHT05F08.1	Environmental isolate GW821-FHT05F08	Burkholderiales	6407803	5903	1349	2076	3088.0	3	-2.609214623282416	-9.692110726075787	Pseudoduganella	Pseudoduganella aquatica
GW821-FHT05G03	GW821-FHT05G03.3	Environmental isolate GW821-FHT05G03 Unconfirmed Organism: Environmental isolate GW821-FHT05G03.	Burkholderiales	9894221	9006	113	2537	5012.0	3	0.2911801913017376	-13.58914927224452	Variovorax	Variovorax sp900115375
GW821-FHT05H10	GW821-FHT05H10.3	Environmental isolate GW821-FHT05H10 Unconfirmed Organism: Environmental isolate GW821-FHT05H10.	Burkholderiales	6330319	5546	61	2199	3197.0	3	-1.151123530139122	-11.062255141557538	Janthinobacterium	
GW821-FHT09A04	GW821-FHT09A04.1	Environmental isolate GW821-FHT09A04 Unconfirmed Organism.	Burkholderiales	3508239	3335	3	1711	2266.0	3	-5.698453509186199	-7.601475508244087	Herminiimonas	
GW821-FHT09A07	GW821-FHT09A07.5	Environmental isolate GW821-FHT09A07 Unconfirmed Organism.	Burkholderiales	5356009	4830	2	2085	2917.0	3	-2.6560321697806346	-11.914849859005876	Comamonas	Comamonas testosteroni_G
GW821-FHT09A12	GW821-FHT09A12.3	Environmental isolate GW821-FHT09A12 Unconfirmed Organism.	Burkholderiales	5255481	4891	371	2006	3059.0	3	-2.192181510708936	-9.109416162806363	Herbaspirillum	Herbaspirillum sp006715495
GW821-FHT09G11	GW821-FHT09G11.4	Environmental isolate GW821-FHT09G11	Rhizobiales	4911558	4681	4	1969	2935.0	6	-7.050483969447286	3.523454667369766	Brucella	Brucella quorumnocens
GW821-FHT10B07	GW821-FHT10B07.4	Environmental isolate GW821-FHT10B07	Burkholderiales	5725223	5066	1	2108	3242.0	3	-1.118400073816952	-9.73518999377118	Herbaspirillum	Herbaspirillum sp000282135
GW821-FHT11D02	GW821-FHT11D02.1	Environmental isolate GW821-FHT11D02	Xanthomonadales	5071294	4261	1	1601	2037.0	8	-8.726605635967067	2.63650969553617	Dokdonella_A	
GW822-FHT02A01	GW822-FHT02A01.1	Environmental isolate GW822-FHT02A01	Burkholderiales	5450865	5136	74	2170	3213.0	3	-2.3887626975642715	-10.863242555383671	Rhodoferax_C	Rhodoferax_C sp038784515
GW822-FHT02A07	GW822-FHT02A07.3	Environmental isolate GW822-FHT02A07 Unconfirmed Organism.	Caulobacterales	6102435	5681	3	1821	2753.0	6	-9.798764443712123	3.5357553386684986	Caulobacter	
GW822-FHT02F02	GW822-FHT02F02.1	Environmental isolate GW822-FHT02F02	Pseudomonadales	6810638	6105	35	2745	4115.0	2	21.34094761797417	4.957203003742914	Pseudomonas_E	Pseudomonas_E chlororaphis
GW822-FHT02H01	GW822-FHT02H01.3	Environmental isolate GW822-FHT02H01 Unconfirmed Organism.	Cytophagales	5660776	4639	5	1375	1937.0	7	-15.135000237507937	10.254340059964758	Arcicella	
GW822-FHT02H05	GW822-FHT02H05.2	Environmental isolate GW822-FHT02H05	Rhodocyclales	5460137	4841	1	1997	2860.0	3	-2.6621875236023467	-6.925567339458978	Zoogloea	
GW822-FHT03B01	GW822-FHT03B01.1	Environmental isolate GW822-FHT03B01 Unconfirmed Organism.	Rhabditida	8417543	7847	107	2328	4302.0	6	-4.673796609485647	1.7196297027169798	Labrys	
GW822-FHT03B03	GW822-FHT03B03.3	Environmental isolate GW822-FHT03B03 Unconfirmed Organism.	Burkholderiales	6313825	5512	3	2082	3047.0	3	-4.102526461147325	-9.470562632182215	Pelomonas	
GW822-FHT03C01	GW822-FHT03C01.1	Environmental isolate GW822-FHT03C01	Burkholderiales	6415629	5745	77	2186	3158.0	3	-1.1436639678202556	-11.1418212576973	Janthinobacterium	Janthinobacterium sp002127585
GW822-FHT03E04	GW822-FHT03E04.3	Environmental isolate GW822-FHT03E04 Unconfirmed Organism: Environmental isolate GW822-FHT03E04.	Burkholderiales	8930220	7993	88	2558	4500.0	3	2.1810495998799406	-13.607299801396143	Cupriavidus	Cupriavidus basilensis
GW822-FHT04H01	GW822-FHT04H01.4	Environmental isolate GW822-FHT04H01 Unconfirmed Organism.	Hyphomicrobiales	5910636	5564	2	1963	2820.0	6	-7.371715436913965	3.278099209043627	Methylobacterium	Methylobacterium podarium
GW822-FHT05A05	GW822-FHT05A05.1	Environmental isolate GW822-FHT05A05	Burkholderiales	6462415	6020	799	2188	3214.0	3	-0.8500797925099504	-11.496197939917536	Cupriavidus	Cupriavidus pauculus
GW822-FHT05A08	GW822-FHT05A08.1	Environmental isolate GW822-FHT05A08	Pseudomonadales	6732793	6137	630	2710	4038.0	2	20.79043947125736	5.095309227300487	Pseudomonas_E	Pseudomonas_E chlororaphis
GW822-FHT05A11	GW822-FHT05A11.1	Environmental isolate GW822-FHT05A11	Hyphomicrobiales	5460201	5280	478	1931	3129.0	6	-7.654886629319274	2.4824250924692515	Bosea	Bosea robiniae
GW822-FHT05B01	GW822-FHT05B01.4	Environmental isolate GW822-FHT05B01	Burkholderiales	6591700	6031	3	2262	3349.0	3	-0.1647607860154911	-12.270698379871297	Cupriavidus	Cupriavidus pauculus
GW822-FHT05C05	GW822-FHT05C05.1	Environmental isolate GW822-FHT05C05	Burkholderiales	6208794	5631	773	2165	3113.0	3	-1.448212956548233	-11.00407886306303	Janthinobacterium	
GW822-FHT05C07	GW822-FHT05C07.3	Environmental isolate GW822-FHT05C07	Rhodocyclales	5385652	4843	53	1995	2840.0	3	-2.6957025947263795	-6.874341827518472	Zoogloea	
GW822-FHT05D05	GW822-FHT05D05.1	Environmental isolate GW822-FHT05D05	Burkholderiales	6126219	5814	1042	2198	3309.0	3	-1.1094118370691983	-12.486389636749536	Comamonas	Comamonas acidovorans
GW822-FHT05E02	GW822-FHT05E02.2	Environmental isolate GW822-FHT05E02	Caulobacterales	3264008	3139	3	1467	1763.0	6	-12.794859044947676	5.029776112072942	Brevundimonas	Brevundimonas aurantiaca
GW823-FHT01D03	GW823-FHT01D03.3	Environmental isolate GW823-FHT01D03	Pseudomonadales	6023246	5358	57	2508	3475.0	2	18.74453760582116	4.749533273032796	Pseudomonas_E	Pseudomonas_E koreensis_G
GW823-FHT01E07	GW823-FHT01E07.1	Environmental isolate GW823-FHT01E07 Unconfirmed Organism.	Bacillales	5522078	5648	51	1958	3027.0	4	-15.04518668747306	14.810213459798629	Bacillus_A	Bacillus_A thuringiensis
GW823-FHT01H08	GW823-FHT01H08.1	Environmental isolate GW823-FHT01H08	Burkholderiales	5942831	5504	949	2140	2986.0	3	-1.4078677812843334	-10.650166816369667	Janthinobacterium	Janthinobacterium sp001758725
GW823-FHT02C05	GW823-FHT02C05.1	Environmental isolate GW823-FHT02C05	Pseudomonadales	6927898	6322	216	2694	4027.0	2	20.44408815830485	5.0856182780865264	Pseudomonas_E	Pseudomonas_E protegens
GW823-FHT02E09	GW823-FHT02E09.3	Environmental isolate GW823-FHT02E09 Unconfirmed Organism: Environmental isolate GW823-FHT02E09.	Corynebacteriales	5768081	5450	68	1746	2798.0	5	-13.164278214546222	9.207431447509562	Prescottella	
GW823-FHT02F05	GW823-FHT02F05.1	Environmental isolate GW823-FHT02F05	Pseudomonadales	6268169	5605	55	2572	3658.0	2	18.77649761434585	5.02372906835285	Pseudomonas_E	Pseudomonas_E paracarnis
GW823-FHT02G10	GW823-FHT02G10.1	Environmental isolate GW823-FHT02G10 Unconfirmed Organism.	Bacillales	4489625	4494	34	1802	2556.0	4	-15.352501208961526	12.48432757701305	Lysinibacillus	Lysinibacillus capsici
GW823-FHT04A11	GW823-FHT04A11.4	Environmental isolate GW823-FHT04A11	Flavobacteriales	5287621	4463	366	1383	1865.0	7	-14.90738918182276	10.418257248052832	Flavobacterium	
GW823-FHT05C09	GW823-FHT05C09.1	Environmental isolate GW823-FHT05C09	Burkholderiales	5417442	4985	382	2048	3010.0	3	-2.8689827524903504	-13.697506448421343	Acidovorax	Acidovorax sp019218755
GW823-FHT05D11	GW823-FHT05D11.3	Environmental isolate GW823-FHT05D11	Burkholderiales	5583588	5106	1	2076	3063.0	3	-2.764266844490175	-14.04153746244595	Acidovorax	Acidovorax sp019218755
GW823-FHT05G12	GW823-FHT05G12.1	Environmental isolate GW823-FHT05G12	Pseudomonadales	5961563	5411	140	2514	3587.0	2	15.848606631604282	3.62615276322944	Pseudomonas_E	Pseudomonas_E alloputida
MLSB5-FHT05B04	MLSB5-FHT05B04.1	Environmental isolate MLSB5-FHT05B04 Unconfirmed Organism.	Pseudomonadales	11421938	10541	80	3014	5918.0	2	19.43378013382621	3.730158673978145	Pseudomonas_E	Pseudomonas_E mandelii
MLSD5-FHT05A06	MLSD5-FHT05A06.1	Environmental isolate MLSD5-FHT05A06	Burkholderiales	3716199	3451	626	1724	2216.0	3	-6.41990453685806	-7.644779755008005	Rhodoferax_C	Rhodoferax_C sp019449595
MLSD5-FHT05B12	MLSD5-FHT05B12.1	Environmental isolate MLSD5-FHT05B12	Unknown	4858403	4657	66	1795	2637.0	6	-9.37069134729644	1.232220208981838	Afipia	
MLSD5-FHT05C12	MLSD5-FHT05C12.1	Environmental isolate MLSD5-FHT05C12	Bacillales	2585850	2494	60	1430	1758.0	4	-17.327371363350785	14.854513228076074	Staphylococcus	Staphylococcus warneri
MPR-LB4	MPR-LB4.2	Environmental isolate MPR-LB4	Rhodocyclales	3735522	3363	1	1656	2084.0	3	-7.094413880850596	-3.522027750030192	Azospira	Azospira oryzae
MT123	MT123.1	Environmental isolate MT123	Burkholderiales	3412102	3192	95	1771	2378.0	3	-6.0656230833669	-4.42294829337791	Castellaniella	Castellaniella sp019104865
MT20	MT20.3	Environmental isolate MT20 Unconfirmed Organism.	Xanthomonadales	4463744	4030	3	1587	2072.0	8	-8.542671954107647	3.809617240905919	Rhodanobacter	Rhodanobacter glycinis
MT49	MT49.ncbi.1	Serratia liquefaciens	Enterobacterales	5395544	5055	1	2899	3994.0	1	8.720468934970228	10.91876123145002	Serratia	Serratia liquefaciens
MT58	MT58.ncbi.1	Pantoea sp. MT58	Enterobacterales	4675847	4384	4	2615	3361.0	1	6.673128241258328	10.886034172910128	Pantoea	Pantoea eucalypti
MT92	MT92.1	Environmental isolate MT92	Pseudomonadales	6965481	6568	64	2666	3967.0	2	17.94755565890066	3.373429703457018	Pseudomonas_E	Pseudomonas_E mohnii
SSO-M6-C2-NECRO-RL66	SSO-M6-C2-NECRO-RL66.1	Environmental isolate SSO-M6-C2-NECRO-RL66	Deinococcales	4355987	4221	60	1630	2221.0	5	-13.44822026990748	9.422101175544022	Deinococcus	Deinococcus sedimenti
