gtdb_species_clade_id,GTDB_species,phylum,class,order,family,genus,has_P_acquisition,has_N_fixation,has_metal_handling,n_phz_genes,has_phzA,has_phzB,has_phzD,has_phzF,has_phzG,has_phzS,has_phzM
s__Kitasatospora_purpeofusca--RS_GCF_000718025.1,s__Kitasatospora_purpeofusca,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_venezuelae_B--RS_GCF_008642355.1,s__Streptomyces_venezuelae_B,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_mirabilis--GB_GCA_001550305.1,s__Streptomyces_mirabilis,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_silaceus--RS_GCF_001419745.1,s__Streptomyces_silaceus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_bryophytorum--RS_GCF_016916835.1,s__Streptomyces_bryophytorum,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,1,0,1,1,0,0
s__Streptomyces_glaucescens--RS_GCF_002154375.1,s__Streptomyces_glaucescens,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_sp016654115--RS_GCF_016654115.1,s__Streptomyces_sp016654115,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,3,0,0,0,1,1,1,0
s__Streptomyces_purpureus--RS_GCF_014648195.1,s__Streptomyces_purpureus,p__Actinomycetota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,1,0,1,5,0,1,1,1,1,1,0
s__Microbispora_triticiradicis--GB_GCA_003260025.2,s__Microbispora_triticiradicis,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,1,0,1,4,0,1,0,1,1,1,0
s__Nocardiopsis_terrae--RS_GCF_014651695.1,s__Nocardiopsis_terrae,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Nocardiopsis,1,0,1,3,0,0,0,1,1,1,0
s__Nocardiopsis_dassonvillei--RS_GCF_000092985.1,s__Nocardiopsis_dassonvillei,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Nocardiopsis,1,0,1,3,0,0,0,1,1,1,0
s__Spirillospora_latina--RS_GCF_001552195.1,s__Spirillospora_latina,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Spirillospora,1,0,1,3,0,0,0,1,1,1,0
s__Microbispora_amethystogenes--RS_GCF_016863015.1,s__Microbispora_amethystogenes,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,1,0,1,4,0,1,0,1,1,1,0
s__Nonomuraea_parvosata--RS_GCF_900323885.1,s__Nonomuraea_parvosata,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Nonomuraea,1,0,1,3,0,0,0,1,1,1,0
s__Nocardiopsis_sp009830945--RS_GCF_009830945.1,s__Nocardiopsis_sp009830945,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Nocardiopsis,1,0,1,3,0,0,0,1,1,1,0
s__Microbispora_hainanensis--RS_GCF_006874475.1,s__Microbispora_hainanensis,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,1,0,1,4,0,1,0,1,1,1,0
s__Microbispora_bryophytorum--RS_GCF_006874465.1,s__Microbispora_bryophytorum,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,1,0,1,4,0,1,0,1,1,1,0
s__Microbispora_aerata--RS_GCF_014647835.1,s__Microbispora_aerata,p__Actinomycetota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Microbispora,1,0,1,4,0,1,0,1,1,1,0
s__Burkholderia_cepacia--RS_GCF_001411495.1,s__Burkholderia_cepacia,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,1,1,1,3,0,0,0,1,1,1,0
s__CADEDU01_sp902826155--GB_GCA_902826155.1,s__CADEDU01_sp902826155,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__SG8-39,g__CADEDU01,1,1,1,3,0,0,0,1,0,1,1
s__Xenorhabdus_ehlersii--RS_GCF_003610465.1,s__Xenorhabdus_ehlersii,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,3,0,0,0,1,0,1,1
s__Xenorhabdus_stockiae--RS_GCF_002632825.1,s__Xenorhabdus_stockiae,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,3,0,0,0,1,0,1,1
s__Xenorhabdus_hominickii--RS_GCF_002632725.1,s__Xenorhabdus_hominickii,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,4,0,0,1,1,0,1,1
s__Xenorhabdus_griffiniae_A--RS_GCF_001028135.1,s__Xenorhabdus_griffiniae_A,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,3,0,0,1,1,0,0,1
s__Xenorhabdus_cabanillasii--RS_GCF_003386665.1,s__Xenorhabdus_cabanillasii,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,4,0,1,0,1,1,0,1
s__Xenorhabdus_szentirmaii--RS_GCF_002632585.1,s__Xenorhabdus_szentirmaii,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Xenorhabdus,1,0,1,4,0,1,1,1,0,1,0
s__Pseudomonas_E_khavaziana--RS_GCF_019145205.1,s__Pseudomonas_E_khavaziana,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_aeruginosa--RS_GCF_001457615.1,s__Pseudomonas_aeruginosa,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,1,1,1,7,1,1,1,1,1,1,1
s__Pseudomonas_aeruginosa_A--RS_GCF_000017205.1,s__Pseudomonas_aeruginosa_A,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,1,0,1,6,1,1,1,1,1,0,1
s__Pseudomonas_E_lini--RS_GCF_001042905.1,s__Pseudomonas_E_lini,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_gingeri_C--RS_GCF_013386165.1,s__Pseudomonas_E_gingeri_C,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,3,0,1,0,1,1,0,0
s__Pseudomonas_E_sp012985465--RS_GCF_012985465.1,s__Pseudomonas_E_sp012985465,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,s__Pseudomonas_E_chlororaphis_F,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,5,1,1,0,1,1,1,0
s__Pseudomonas_E_orientalis_B--RS_GCF_022807995.1,s__Pseudomonas_E_orientalis_B,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_chlororaphis--RS_GCF_003945765.1,s__Pseudomonas_E_chlororaphis,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_orientalis--RS_GCF_001439815.1,s__Pseudomonas_E_orientalis,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_sp012935755--RS_GCF_012935755.1,s__Pseudomonas_E_sp012935755,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_yamanorum--RS_GCF_900105735.1,s__Pseudomonas_E_yamanorum,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_synxantha--RS_GCF_900105675.1,s__Pseudomonas_E_synxantha,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_orientalis_A--RS_GCF_002934065.1,s__Pseudomonas_E_orientalis_A,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_libanensis--RS_GCF_001439685.1,s__Pseudomonas_E_libanensis,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_sp003014915--RS_GCF_003852315.1,s__Pseudomonas_E_sp003014915,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Pseudomonas_E_sp003852235--RS_GCF_003852235.1,s__Pseudomonas_E_sp003852235,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,1,0,1,4,1,1,0,1,1,0,0
s__Lysobacter_antibioticus--RS_GCF_001442535.1,s__Lysobacter_antibioticus,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,1,0,1,5,0,0,1,1,1,1,1
s__Lysobacter_antibioticus_B--RS_GCF_000731095.1,s__Lysobacter_antibioticus_B,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,1,0,1,5,0,0,1,1,1,1,1
